track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
1gUAX2ImxDsB3YDcyxMXlB,美波,カワキヲアメク,カワキヲアメク,71,251933,False,0.541,0.846,6,-2.729,0,0.0551,0.0122,0.000149,0.163,0.524,129.138,4,anime
1di1C0QI6Y92yZPYn6XYAZ,KANA-BOON,TIME,シルエット,73,240133,False,0.436,0.934,2,-2.685,1,0.0507,1.03e-05,0.14,0.321,0.384,91.481,4,anime
3khEEPRyBeOUabbmOPJzAG,Kenshi Yonezu,KICK BACK,KICK BACK,83,193495,False,0.577,0.941,1,-5.17,1,0.105,0.00207,3.36e-06,0.0891,0.292,101.921,4,anime
1rN9QoVxw5U7TJkyaUR8C1,TK from Ling tosite sigure,Fantastic Magic,unravel,73,238360,False,0.508,0.889,7,-2.755,0,0.0862,0.0495,0.0,0.0984,0.332,135.014,4,anime
23phSRwoMy48rwFpmuAP8q,Yoko Takahashi,残酷な天使のテーゼ/魂のルフラン,残酷な天使のテーゼ,60,247746,False,0.691,0.773,0,-5.244,0,0.0494,0.0174,0.000451,0.117,0.502,128.162,4,anime
6y4GYuZszeXNOXuBFsJlos,Eve,Kaikai Kitan / Ao No Waltz,Kaikai Kitan,75,221426,False,0.584,0.911,5,-3.515,0,0.09,0.0119,0.0,0.119,0.606,92.502,4,anime
364JzOajs76bJymjHm3sVY,Kenshi Yonezu,BOOTLEG,ピースサイン,71,238533,False,0.593,0.935,10,-3.853,0,0.0684,0.00221,0.0,0.315,0.618,100.003,4,anime
0UzymivvUH5s8z4PeWZJaK,ENHYPEN,BORDER : CARNIVAL,FEVER,77,172106,False,0.6,0.713,6,-5.079,0,0.0592,0.0642,0.0,0.142,0.471,72.999,4,anime
6AFkv6rIVRusZNifR74Q7t,Hiroyuki Sawano,"TV Anime ""Attack on Titan Season 2"" (Original Soundtrack)",Shingeki Gt 20130218 Kyojin,55,151400,False,0.159,0.197,9,-15.228,0,0.0312,0.505,0.94,0.127,0.125,85.869,3,anime
2XpV9sHBexcNrz0Gyf3l18,Ikimonogakari,Chou Ikimonobakari Tennen Kinen Members Best Selection,ブルーバード,70,215706,False,0.536,0.966,6,-2.929,0,0.0558,0.121,0.0,0.0477,0.849,152.076,4,anime
74sYtRs4LCDIpdBP8xDMSP,渕上 舞,人芝居,人芝居,58,247506,False,0.674,0.87,6,-3.607,0,0.0865,0.241,0.0,0.0875,0.86,119.99,4,anime
3YOZLPRiTuYgItSGO41gPT,BURNOUT SYNDROMES,檸檬,FLY HIGH!!,66,244493,False,0.475,0.961,11,-1.434,1,0.0705,0.0132,0.0,0.331,0.355,94.466,4,anime
4BvuZVf9KyBN3QiPfeI9hw,LiSA,LANDSPACE,crossing field,69,248946,False,0.45,0.983,5,-2.246,1,0.282,0.0186,0.0,0.265,0.314,179.041,4,anime
0cSkn2l67csUljEy0EEBPn,LiSA,炎,炎,67,275000,False,0.477,0.685,2,-4.554,1,0.0325,0.105,0.0,0.277,0.308,152.04,4,anime
5RXmLhscstsdvWPN0XtUa0,Vickeblanka,Black Catcher,Black Catcher,68,195000,False,0.586,0.892,11,-5.259,0,0.0349,0.00079,4.05e-06,0.16,0.665,100.04,4,anime
0qMip0B2D4ePEjBJvAtYre,LiSA,LEO-NiNE,紅蓮華,74,237586,False,0.541,0.977,4,-2.828,0,0.157,0.00321,5.13e-05,0.0796,0.263,134.938,4,anime
5kKloaKFvAuDNFi8m52hxy,MUSASHI PROJECT,NARUTO -ナルト- オリジナルサウンドトラック,NARUTO Main Theme,56,266920,False,0.525,0.766,4,-8.448,0,0.0438,0.00634,0.00235,0.125,0.383,119.974,4,anime
3IDF7N86lrcWaJEt9C1gbS,Official HIGE DANdism,Cry Baby,Cry Baby,66,240284,False,0.318,0.902,1,-4.605,1,0.131,0.0116,0.0,0.393,0.437,199.844,4,anime
4dPVmeisPfQrLcjx0Wz1KW,Apollo Fresh,JoJo Pose,JoJo Pose,66,105333,True,0.781,0.533,1,-9.215,1,0.302,0.0366,0.0,0.597,0.326,133.967,4,anime
0xmWQKzc5m9rLv2ucDWxwD,FLOW,MICROCOSM,Sign,67,236426,False,0.363,0.914,11,-2.899,0,0.0983,0.00183,0.0,0.335,0.678,177.968,4,anime
17VP4tofJ3evJbtY8Tk1Qi,Yugo Kanno,JOJO'S BIZARRE ADVENTURE -Golden Wind O.S.T vol.1 Overture,il vento d'oro,66,295575,False,0.491,0.915,11,-4.834,1,0.143,0.00652,0.125,0.0906,0.582,134.947,4,anime
7v8wKvNQQIxkugCFFjrkaO,Aimer,残響散歌,残響散歌,77,184893,False,0.367,0.896,11,-4.002,1,0.091,0.000627,0.0,0.207,0.38,170.863,4,anime
5elW2CKSoqjYoJ32AGDxf1,ENHYPEN,DIMENSION : ANSWER,Polaroid Love,78,184601,False,0.738,0.67,7,-3.766,0,0.0439,0.458,0.0,0.361,0.651,138.055,4,anime
