track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
5qm0KiVKMXW1kq6VrnIhz5,Eric Johnson,Ah Via Musicom,Cliffs Of Dover - Instrumental,59,249767,False,0.449,0.775,7,-12.029,1,0.0405,0.162,0.149,0.248,0.313,94.907,4,bluegrass
5VYOUBkObeGOnCt30YDTJ3,Mipso,Edges Run,People Change,64,212853,False,0.373,0.276,7,-14.945,1,0.0357,0.883,0.0124,0.122,0.409,79.204,4,bluegrass
0f7OHfUNNs5DGTijGFPalp,Alison Krauss;Brad Paisley,A Hundred Miles Or More: A Collection,Whiskey Lullaby,52,260826,False,0.532,0.371,2,-8.908,1,0.0334,0.817,0.0,0.131,0.161,74.47,4,bluegrass
6HveTIMynTMzTc5L0TcS20,Alison Krauss & Union Station,Now That I've Found You: A Collection,When You Say Nothing At All,64,260800,False,0.514,0.243,3,-12.348,1,0.0288,0.752,0.00054,0.0822,0.388,171.816,4,bluegrass
78ivvTBqkt3e6eBBkWMuV8,Wood & Wire,No Matter Where It Goes from Here,John,36,175466,False,0.388,0.47,5,-10.011,1,0.0377,0.584,1.99e-06,0.176,0.776,183.893,3,bluegrass
2Q54qZEaQnGkdx3834TBfz,Pickin' On Series;Iron Horse,Pickin' on Modest Mouse,Interstate 8,36,254026,False,0.678,0.737,2,-7.146,1,0.029,0.321,0.000416,0.188,0.774,129.166,4,bluegrass
5jiV53HABsmPO0y0138jwf,The Steeldrivers,The Muscle Shoals Recordings,Hangin’ Around,39,171506,False,0.487,0.558,7,-8.793,1,0.0289,0.539,5.12e-06,0.308,0.668,93.959,4,bluegrass
47VEW1aJJAkwaZc2g6Bait,The Infamous Stringdusters,Let It Go,Colorado,38,209346,False,0.607,0.588,9,-6.882,1,0.0268,0.406,0.0,0.127,0.495,93.705,4,bluegrass
7mwFpSD2Y6wTAi9lWTPNRB,Trampled by Turtles,Duluth,Empire,36,203053,False,0.434,0.796,9,-3.71,1,0.0325,0.658,0.00685,0.156,0.471,94.611,4,bluegrass
56fKca6XW3xorTI3Ok6QQQ,J.D. Crowe & The New South,Come On Down To My World,White Freightliner,33,207000,False,0.566,0.781,11,-6.963,1,0.0302,0.376,0.0916,0.0967,0.962,133.312,4,bluegrass
3hlCKrynZ2a1MuoMh2DGsC,The Steeldrivers,Bad For You,Falling Man,35,194333,False,0.437,0.341,6,-7.773,0,0.0292,0.822,0.0,0.109,0.436,148.067,3,bluegrass
5DH5PdLCY67GIkjYsfWtNo,Greensky Bluegrass,If Sorrows Swim,Burn Them,37,201226,False,0.584,0.806,2,-4.858,0,0.0339,0.191,0.0658,0.234,0.755,136.687,4,bluegrass
2E8fCCVffRCDERwEHLRsbA,Town Mountain,Leave the Bottle,Lawdog,35,288720,False,0.466,0.565,10,-10.29,1,0.0379,0.718,0.00194,0.295,0.698,199.894,4,bluegrass
1BrS9cy4zHpXYq9oVYQJF5,Flatt & Scruggs,Foggy Mountain Jamboree (Expanded Edition),Blue Ridge Cabin Home,34,175800,False,0.61,0.512,10,-9.256,1,0.0322,0.628,0.000548,0.221,0.884,125.988,4,bluegrass
16R4mLsUaqxztNbnjkzV1n,The Steeldrivers,The Muscle Shoals Recordings,Drinkin’ Alone,34,160346,False,0.476,0.684,2,-7.764,1,0.0594,0.299,1.34e-05,0.271,0.503,188.156,3,bluegrass
4grmYnfTTC5s25gdSmACiU,Trampled by Turtles,Life is Good on the Open Road,We All Get Lonely,34,238040,False,0.508,0.522,8,-6.032,1,0.0326,0.219,0.0,0.138,0.463,127.964,4,bluegrass
5UfTNVAB536Op3MZnwY5dk,Greensky Bluegrass,If Sorrows Swim,Demons,34,249280,False,0.495,0.742,11,-5.815,0,0.0301,0.239,0.0502,0.205,0.824,134.742,4,bluegrass
1Ij3P9I2P4J40C2cSlSIPI,The Steeldrivers,The Muscle Shoals Recordings,River Runs Red,35,240733,False,0.296,0.308,7,-10.365,1,0.0301,0.532,0.0,0.123,0.331,149.956,3,bluegrass
1wbDSpBA0d36mgsE2QhrPM,The Steeldrivers,Bad For You,Glad I’m Gone,35,179186,False,0.555,0.696,7,-5.992,1,0.0298,0.599,7.24e-05,0.145,0.84,169.963,4,bluegrass
6XvMLLAyNZaAXFvEpFDH4M,Pickin' On Series;Iron Horse,Pickin' on Modest Mouse,Float On,35,253640,False,0.708,0.682,9,-7.987,1,0.031,0.331,0.0166,0.282,0.714,120.316,4,bluegrass
5llrpUzc5oZ4U2RLruiDeI,Yonder Mountain String Band,"Mountain Tracks, Vol. 3",Holding,33,537106,False,0.472,0.702,9,-8.965,1,0.0981,0.82,4.25e-05,0.362,0.351,104.656,4,bluegrass
4W42uTkqyIdNrhxHcmomnx,The Devil Makes Three,Do Wrong Right,Gracefully Facedown,39,251346,False,0.651,0.515,2,-9.237,1,0.0366,0.475,2.11e-06,0.122,0.895,157.174,4,bluegrass
10clXWnF1WxfpWhuiHGZfx,Kitchen Dwellers,Ghost in the Bottle,Mountain,38,297640,False,0.583,0.63,0,-11.301,1,0.0353,0.459,0.115,0.285,0.662,150.064,4,bluegrass
