track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
3JiyUyibMs31de0hmoeSK9,Bassnectar;Ohana Bam;Lafa Taylor,Fast & Furious 8: The Album,Speakerbox (feat. Ohana Bam & Lafa Taylor) - F8 Remix,49,188906,False,0.576,0.88,8,-2.01,0,0.126,0.0208,8.99e-05,0.334,0.514,87.969,4,breakbeat
6PXbVEz2q5U3S56AAbQShG,Noisia;Skrillex;josh pan;Dylan Brady,Horizon (with Noisia),Supersonic (VIP),48,206010,False,0.416,0.506,9,-7.885,0,0.1,0.0404,0.0202,0.11,0.0613,172.028,4,breakbeat
05V0EUXnGRfV940BTV30Xa,Evil Nine;Toastie Taylor,The Fast And The Furious: Tokyo Drift (Original Motion Picture Soundtrack),Restless,42,294373,False,0.555,0.888,5,-5.489,0,0.0398,0.000145,0.37,0.493,0.561,131.959,4,breakbeat
6Rxa3iS3kpo9iTHg97Vxo3,Datsik;Virtual Riot,Sensei,Nasty,49,217600,False,0.461,0.964,1,-3.275,1,0.223,0.00025,0.3,0.247,0.0558,112.586,3,breakbeat
2yMKMPK4B51730EaBIO2KD,The Prodigy,Invaders Must Die,Omen,17,216026,False,0.542,0.955,7,-5.174,1,0.0435,0.00097,0.154,0.309,0.586,140.013,4,breakbeat
4bz7uB4edifWKJXSDxwHcs,The Chemical Brothers,Push The Button,Galvanize,64,393813,False,0.745,0.714,7,-3.681,1,0.0751,0.0141,0.0222,0.363,0.365,104.003,4,breakbeat
3NPYT4nilQ6YW1uA8I7orI,Bassnectar;Lafa Taylor,Into the Sun,Speakerbox (feat. Lafa Taylor),53,282272,False,0.507,0.934,8,-2.325,0,0.188,0.00936,0.00175,0.222,0.471,175.954,4,breakbeat
702bgtK1RC080O8pozq94S,The Chemical Brothers,Born In The Echoes,Wide Open,52,354603,False,0.607,0.593,7,-9.291,1,0.0259,0.102,0.32,0.183,0.207,124.014,4,breakbeat
01CXtj7DFZETkiCDosMFjy,Hybrid,Driveclub Original Game Soundtrack (Remixes),All Torque - Original Version,23,288000,False,0.546,0.717,1,-9.917,0,0.034,0.00307,0.906,0.262,0.0621,129.998,4,breakbeat
0D5oADYCG5QbPKk3QEOP1F,The Prodigy;RZA;René LaVice,Breathe (feat. RZA) [Liam H and Rene LaVice Re-Amp],Breathe (feat. RZA) [Liam H and Rene LaVice Re-Amp],45,149233,False,0.661,0.954,5,-1.866,0,0.128,0.0519,0.000667,0.22,0.332,141.911,4,breakbeat
2cNjgoSh1TBHFQIhfzRJUE,The Chemical Brothers,Born In The Echoes,Go,59,260696,True,0.751,0.897,1,-3.598,1,0.0468,0.00957,2.88e-05,0.329,0.482,119.97,4,breakbeat
4ahFzFAZRpfWaGbA2J3dAq,The Chemical Brothers,The Darkness That You Fear,The Darkness That You Fear,50,365932,False,0.554,0.81,9,-5.079,1,0.0382,0.0725,0.369,0.148,0.21,128.023,4,breakbeat
2Ed6f0N3tWiTBfB7pFIqLp,The Crystal Method,Fast & Furious 6,Roll It Up,21,361266,False,0.617,0.991,10,-3.26,0,0.13,0.0157,0.856,0.597,0.289,117.006,4,breakbeat
2grynUHH0A3faPhGjdkjeJ,Freestylers;Belle Humble;Flux Pavilion,Cracks,Cracks - Flux Pavilion Remix,54,281083,False,0.499,0.826,9,-7.082,0,0.0534,0.00095,0.029,0.122,0.427,140.007,4,breakbeat
5xcunlfaZvD9BDQsLONI7A,Orbital,Orbital 2,Halcyon and On and On,57,567106,False,0.577,0.729,11,-14.376,0,0.0319,0.0953,0.928,0.184,0.177,126.988,4,breakbeat
62gxgaPO9glD56Kt17KXFX,Bassnectar,Vava Voom,Empathy,42,260571,False,0.382,0.976,11,-2.909,1,0.0729,1.28e-05,0.556,0.109,0.337,140.014,4,breakbeat
7kXmJwrZGIhDaLT9sNo3ut,The Chemical Brothers,Surrender,Hey Boy Hey Girl,65,290493,False,0.632,0.92,2,-4.976,1,0.0531,0.119,0.508,0.114,0.363,127.001,4,breakbeat
03cAFCWyzUOFus6Os8EoQG,Orbital;Yotto,Belfast (Yotto Remix),Belfast - Yotto Remix,51,395449,False,0.608,0.895,0,-9.447,1,0.042,0.000204,0.753,0.11,0.0699,123.007,4,breakbeat
1nqUi4wKalk5jFoFfQET2n,ILS,Bohemia,Feed The Addiction,44,278280,False,0.583,0.893,1,-6.514,1,0.0438,0.000178,0.748,0.589,0.212,134.888,4,breakbeat
0nOSl3LNa48hT8VT2R1Fh8,Far Too Loud,Firestorm EP,Lightbringer,33,248581,False,0.397,0.941,1,-4.254,1,0.131,1.46e-05,0.442,0.268,0.342,175.001,4,breakbeat
5SpkQpc9OyY4Tuzd7fgpXU,The Prodigy;RZA;René LaVice,Fast & Furious 9: The Fast Saga (Original Motion Picture Soundtrack),Breathe (feat. RZA) [Liam H and Rene LaVice Re-Amp],34,149233,False,0.661,0.954,5,-1.866,0,0.128,0.0519,0.000667,0.22,0.332,141.911,4,breakbeat
0Ja4hLKiUSw01E01pJ1yGr,The Prodigy,The Fat of the Land,Breathe,66,336280,False,0.673,0.808,9,-6.183,1,0.0491,0.0121,0.878,0.037,0.303,130.041,4,breakbeat
6eypw7fGYBtYxD3dCE2pld,The Chemical Brothers,We Are The Night,Do It Again,51,332973,False,0.867,0.714,4,-5.144,1,0.0662,0.0224,0.704,0.104,0.623,123.974,4,breakbeat
144adL7pGHEWRwute2wxzZ,The Prodigy,Invaders Must Die,Omen,59,216026,False,0.545,0.953,7,-5.172,1,0.0441,0.000941,0.117,0.281,0.558,140.002,4,breakbeat
6cYJBIE9FC1QAoPw5EhdLA,The Prodigy,Experience,Out of Space,61,302106,False,0.652,0.944,9,-4.804,1,0.0515,0.00225,0.276,0.103,0.454,147.078,4,breakbeat
48vDCZIRmrFO33fH4QU4ij,The Prodigy,The Fat of the Land,Smack My Bitch Up,63,343386,True,0.604,0.995,10,-3.641,0,0.164,0.00306,0.626,0.109,0.262,136.216,4,breakbeat
21QQ5b9PP7GnWl2GI98kjD,Bassnectar;W. Darling,Noise vs Beauty,You & Me (feat. W. Darling),44,244285,False,0.493,0.744,7,-4.021,1,0.0342,0.000748,0.384,0.322,0.151,140.041,4,breakbeat
7C0PzxbsQx59DgGVRsquwJ,The Prodigy;Pendulum,Their Law The Singles 1990 - 2005,Voodoo People - Pendulum Mix,55,307813,False,0.443,0.96,1,-5.481,1,0.0661,0.000127,0.875,0.194,0.533,174.011,4,breakbeat
3vc1sGOGAVxhx8S1kERqyn,The Prodigy,"Always Outnumbered, Never Outgunned",You'll Be UNDER MY WHEELS,52,236973,False,0.672,0.944,4,-5.214,0,0.0761,0.0102,0.9,0.321,0.382,114.015,4,breakbeat
2wPFy7SAFnt9Nj2TipWcqb,The Chemical Brothers,Brotherhood,Block Rockin' Beats,54,294026,False,0.606,0.977,1,-3.642,1,0.06,0.0206,0.5,0.179,0.809,109.41,4,breakbeat
7oJNgM72SenJwREyTLyzk1,Deekline;Trigga;David Boomah;Specimen A;Navigator,Duppy Destroyers (Sound Boy Killer) (VIP Dub Mix),Duppy Destroyers (Sound Boy Killer) - VIP Dub Mix,12,324000,False,0.552,0.921,6,-3.283,1,0.0399,0.00897,0.0457,0.0935,0.701,173.996,4,breakbeat
39wGAAxg1ymlJ1r6acT6Wb,Noisia;Subtension,The Resonance IV,The Entangled - Subtension Remix,27,219692,False,0.403,0.917,6,-5.785,0,0.072,0.000155,0.886,0.0689,0.0369,173.409,5,breakbeat
6GM93QLita5nZknl6G2s4M,Noisia;Mefjus,The Resonance IV,Concussion - Mefjus Remix,44,226046,False,0.607,0.98,1,-0.488,1,0.25,0.000282,0.841,0.566,0.396,172.039,4,breakbeat
2aRWAz05qiQ9j5HgX7xNHC,Noisia;Burr Oak,The Resonance IV,Stigma - Burr Oak Remix,32,273488,False,0.55,0.865,7,0.025,1,0.0473,0.0085,0.894,0.409,0.12,171.973,4,breakbeat
1GKPne6qMhx5hjvo3foaCj,Noisia;Futurebound,The Resonance IV,Oh Oh - Futurebound Remix,33,226046,False,0.528,0.957,1,-1.265,1,0.114,0.121,0.91,0.144,0.0772,171.992,4,breakbeat
5HWSgQrP9DgRSSykqOjkRu,Noisia;Evol Intent;Audio,The Resonance IV,Long Gone - Audio Remix,29,297209,False,0.574,0.832,5,-2.138,0,0.0545,0.0033,0.328,0.0734,0.0579,172.074,4,breakbeat
3vRYtf5xgPrYeVzAmqvzTd,The Chemical Brothers,We Are The Night,The Salmon Dance,55,220226,True,0.863,0.736,0,-6.888,1,0.0439,0.0421,5.03e-05,0.0968,0.739,124.013,4,breakbeat
79CUrU5o2KAVDTNm4x3eGU,The Prodigy,The Fat of the Land,Firestarter,64,279800,False,0.545,0.948,11,-5.098,1,0.0779,0.00335,0.364,0.226,0.355,141.507,4,breakbeat
4XKEVz0X1BIDhCAfb782tm,The Crystal Method,Tweekend,Name Of The Game,50,255093,True,0.522,0.933,1,-4.086,1,0.0544,0.000113,0.724,0.112,0.679,181.957,4,breakbeat
2BPhDwy0B6J0NUfRQvpDME,Noisia;Joe Seven;MAACHINEN,The Resonance IV,Hand Gestures - MAACHINEN Remix,28,274821,False,0.761,0.605,8,-4.026,1,0.255,0.0229,0.834,0.101,0.207,171.922,4,breakbeat
