track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
4IlqQhaxrGPxmg35YcXXuS,Aaron Smith;Luvli;Krono,Ibiza 2019,Dancin - Krono Remix,76,256000,False,0.751,0.727,10,-9.789,0,0.0304,0.0442,0.0338,0.1,0.28,119.982,4,chicago-house
6WkJ2OK163XXS2oARUC9JM,Aaron Smith;Krono;Luvli,Dancin (feat. Luvli) [Krono Remix],Dancin (feat. Luvli) - Krono Remix,78,198053,False,0.72,0.741,10,-6.529,0,0.0287,0.101,1.41e-05,0.289,0.357,119.896,4,chicago-house
4h4AEqy0iBbjdlbtWvIx5O,Paul Johnson,Get Get Down,Get Get Down,58,367786,False,0.879,0.95,5,-6.375,0,0.0746,0.000161,0.806,0.0714,0.615,126.903,4,chicago-house
3YXIVMQLRRq2K7kxC7UYx6,Marshall Jefferson;Solardo,Move Your Body,Move Your Body,62,196109,False,0.791,0.801,4,-6.344,0,0.07,0.00531,0.189,0.509,0.609,124.985,4,chicago-house
1E8hMeQvfgvQPjN3BZ2viF,Mr. Fingers,Amnesia,Mystery of Love,47,430576,False,0.767,0.686,7,-10.476,1,0.0461,0.0681,0.91,0.111,0.565,114.07,4,chicago-house
5o97IsOGSYy67xqIxSprpL,Aaron Smith;Krono;Luvli,Dancin (Remixes) - EP1 (feat. Luvli),Dancin (feat. Luvli) - Krono Extended Remix,49,271986,False,0.77,0.767,6,-6.978,1,0.0335,0.00737,0.000894,0.0716,0.486,119.995,4,chicago-house
0vryyKyxCFXT0gg670yNEw,Frankie Knuckles,Baby Wants to Ride / Your Love,Your Love,52,403706,False,0.7,0.725,4,-11.433,0,0.0492,0.0439,0.851,0.125,0.129,116.824,4,chicago-house
09IT6ZbPsY5EioVEqeyq4j,Cajmere;Dajae,It's Time,Brighter Days - Dajae- Underground Mix '93,50,327138,False,0.878,0.737,2,-7.979,1,0.0817,0.000271,0.445,0.11,0.235,123.993,4,chicago-house
52qNIY0h8bzZ410sZPRRWX,Aaron Smith;Alicia Campbell,Outer Level,Outer Level,31,441904,False,0.779,0.519,0,-6.274,1,0.042,0.232,0.00539,0.123,0.731,125.993,4,chicago-house
5nIL1etglKhsfxRPcVhbjq,Alinka,Who Am I,Who Am I,27,232500,False,0.726,0.855,0,-7.386,1,0.0418,0.00858,0.72,0.163,0.566,128.01,4,chicago-house
796T2ROxTNibXRjVhjSzCa,Joe Smooth,Promised Land,Promised Land,55,331706,False,0.718,0.93,7,-4.532,1,0.038,0.0026,0.0176,0.0363,0.697,128.736,4,chicago-house
6bFw52N7HiGxn8ful690HF,Aaron Smith;Hannah Streeter;Horacio Payan,Just a Kiss (Horacio & Aaron Smith Remix),Just a Kiss - Horacio & Aaron Smith Remix,27,320952,False,0.868,0.492,9,-8.237,0,0.0545,0.00084,0.754,0.112,0.519,126.003,4,chicago-house
6fSdR81YvNG8Wo6i2ytLPR,Roy Davis Jr.;Peven Everett,Gabriel,Gabriel - Live Garage Mix,52,443849,False,0.829,0.332,11,-13.837,0,0.047,0.0125,0.294,0.0918,0.448,128.627,4,chicago-house
2VAMRYzi5TM5GChU6pTtIE,Mark Farina,Air Farina,Dream Machine - Downtempo Mix,45,368200,False,0.938,0.424,1,-10.299,1,0.059,0.146,0.00209,0.262,0.652,110.783,4,chicago-house
