track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
5ygDXis42ncn6kYG14lEVG,Pinkfong,Pinkfong Animal Songs,Baby Shark,77,80927,False,0.829,0.886,8,-1.746,1,0.112,0.259,0.0,0.0559,0.777,115.056,4,children
6YQ7aPJhk0MGpwoKfFAEbS,CoComelon,"CoComelon Kids Hits, Vol. 1",Wheels on the Bus,72,207340,False,0.941,0.387,9,-11.92,1,0.0427,0.184,2.88e-05,0.157,0.965,125.021,4,children
4UPrf1sQYOG2TIBScms919,LooLoo Kids,"The Best Songs for Kids, Vol. 1",Johny Johny Yes Papa,46,94451,False,0.597,0.764,0,-6.034,1,0.0318,0.0551,0.000764,0.249,0.786,154.98,4,children
7zD97mcPo9fng0aJqUhFvd,CoComelon,Nursery Rhymes by CoComelon,Baby Shark,64,127203,False,0.779,0.587,7,-8.131,1,0.0721,0.33,3.85e-06,0.0792,0.908,199.956,4,children
3N6kzbnfpTPB5J9NAGc1rU,Super Simple Songs,Twinkle Twinkle Little Star & More Kids Songs,Twinkle Twinkle Little Star,69,152691,False,0.696,0.227,1,-11.763,1,0.042,0.866,1.25e-05,0.0794,0.284,87.88,4,children
0dF7HP4wDwxCtID3mXpdYX,CoComelon,"CoComelon Kids Hits, Vol. 1",Baa Baa Black Sheep,68,147780,False,0.711,0.396,0,-11.266,1,0.0486,0.829,3e-05,0.119,0.969,199.955,4,children
5txSLkf7BeYIgTtUnVDDG8,CoComelon,"CoComelon Kids Hits, Vol. 1",Old MacDonald,64,147147,False,0.704,0.479,1,-12.362,1,0.0348,0.292,1.14e-06,0.0419,0.936,199.841,4,children
1nTBgueuGtO762MadGoWvZ,CoComelon,"CoComelon Kids Hits, Vol. 2",Five Little Monkeys Jumping on the Bed,64,169302,False,0.959,0.2,4,-12.65,1,0.155,0.8,0.00398,0.0842,0.717,119.925,3,children
2R5iTxkCln6NLTw6l0kjWw,CoComelon,"CoComelon Kids Hits, Vol. 3",Happy Birthday Song,62,62228,False,0.866,0.387,4,-11.011,1,0.0345,0.403,0.0,0.145,0.79,94.976,3,children
4viZNXLsmhCsSVjiRZ7GC1,CoComelon,Nursery Rhymes by CoComelon,Baa Baa Black Sheep,49,147780,False,0.711,0.396,0,-11.266,1,0.0486,0.829,3e-05,0.119,0.969,199.955,4,children
6xfOJl9l0Gc5WxjmBAvQsA,CoComelon,CoComelon Essentials,Head Shoulder Knees and Toes,64,127026,False,0.516,0.351,0,-11.012,1,0.044,0.709,8.61e-05,0.116,0.796,159.757,4,children
5wVJTaoVAbhFrQC1QZVPO3,CoComelon,Nursery Rhymes by CoComelon,Wheels on the Bus,52,207340,False,0.941,0.387,9,-11.92,1,0.0427,0.184,2.88e-05,0.157,0.965,125.021,4,children
097ftnCPnGHhn93lS0HHlO,CoComelon,"CoComelon Kids Hits, Vol. 3",Twinkle Twinkle Little Star,67,177477,False,0.459,0.206,0,-9.694,1,0.0282,0.673,0.0,0.294,0.354,160.072,4,children
6cKlr2BOXBaqiuaHUY5Zwo,CoComelon,"CoComelon Kids Hits, Vol. 1",Itsy Bitsy Spider,67,129761,False,0.919,0.289,2,-12.244,1,0.048,0.586,3.19e-06,0.075,0.866,100.042,4,children
