track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
2hhFpD32iXUd4GaCu6T4wn,Jon Lajoie,You Want Some of This?,Everyday Normal Guy 2,75,195693,True,0.823,0.731,3,-4.273,1,0.307,0.42,0.0,0.306,0.876,90.302,4,comedy
6dbSBQXCctYSVryynHXaZ4,Lil Dicky;Chris Brown,Freaky Friday (feat. Chris Brown),Freaky Friday (feat. Chris Brown),45,216631,True,0.755,0.599,8,-5.042,1,0.224,0.147,0.0,0.109,0.755,133.123,4,comedy
7lakl3bPRdQqUGX9m755jX,Lil Dicky,Earth,Earth,40,281500,True,0.694,0.664,2,-4.649,1,0.05,0.639,0.0,0.0929,0.676,95.941,4,comedy
0rRboI6IRuGx56Dq3UdYY4,Afroman,The Good Times,Because I Got High,69,197760,True,0.802,0.341,7,-8.56,1,0.488,0.169,0.0,0.0783,0.849,166.01,4,comedy
5PEleSkK4p4E1sx3x7cOLt,The Lonely Island;Akon,Turtleneck & Chain (Explicit Version),I Just Had Sex,63,166560,True,0.615,0.811,6,-4.316,1,0.144,0.0188,0.0,0.196,0.808,167.995,4,comedy
7MkysLvt3L8UFji2PceoFU,Lil Dicky;Brendon Urie,Professional Rapper,Molly (feat. Brendon Urie of Panic at the Disco),66,244339,True,0.829,0.514,7,-6.694,1,0.037,0.203,0.000157,0.115,0.397,114.955,4,comedy
1TkWsnheqK0gBtvh07BtNX,Lil Dicky;Fetty Wap;Rich Homie Quan,Professional Rapper,$ave Dat Money (feat. Fetty Wap & Rich Homie Quan),64,290835,True,0.858,0.697,2,-5.361,1,0.23,0.114,0.0,0.224,0.364,98.013,4,comedy
2KldK81uQyPpbJLwEekaLQ,Jon Lajoie,You Want Some of This?,Everyday Normal Guy,52,201493,True,0.662,0.721,7,-4.726,1,0.316,0.284,0.0,0.106,0.69,169.914,4,comedy
2zpQ30BpR6teeCeivQoo5p,The Lonely Island;Justin Timberlake,Turtleneck & Chain (Explicit Version),Motherlover,58,169506,True,0.762,0.708,2,-6.297,1,0.0573,0.0191,0.000374,0.145,0.639,131.22,4,comedy
5TlAXiBCBwiQnIZUAA4Jkg,Lil Dicky;Snoop Dogg,Professional Rapper,Professional Rapper (feat. Snoop Dogg),62,353959,True,0.684,0.621,11,-8.442,0,0.362,0.432,0.0,0.607,0.537,128.882,3,comedy
0uguTAc0yJY2vfmqiuYoob,Pink Guy,Pink Season,セックス大好き,51,142760,True,0.804,0.676,9,-3.749,1,0.236,0.102,0.0,0.235,0.485,89.984,4,comedy
46nJ8ZPiUX4TuvCey0Wcz1,Lil Dicky,Professional Rapper,Lemme Freak,56,285894,True,0.8,0.656,5,-5.874,0,0.114,0.0143,0.0,0.354,0.437,119.921,4,comedy
5IJbTPhcj0IjdzUaYqwe2I,Pink Guy,Pink Season,Stfu,56,224493,True,0.827,0.524,10,-9.819,1,0.0536,0.552,0.000112,0.198,0.356,136.785,4,comedy
1j8bp1BNjMxUJV7nLkSUrb,Pink Guy,Pink Season,Fried Noodles,54,170946,True,0.58,0.552,0,-8.877,1,0.456,0.892,0.0,0.182,0.807,158.002,4,comedy
2SmXJEhm1yJvXK6Hx4XAYT,Pink Guy,Pink Season,Help,51,165040,True,0.837,0.554,2,-10.165,1,0.109,0.734,5.6e-05,0.129,0.676,117.012,4,comedy
1ACZpHI5vZ5Ea4xGlkdGWM,Afroman,The Good Times,Crazy Rap (Colt 45 & 2 Zig Zags),74,328666,True,0.927,0.367,9,-7.797,1,0.382,0.325,0.0,0.132,0.576,99.053,4,comedy
3IQSYqnKsCTMLWn2xE3HFT,The Lonely Island;T-Pain,Incredibad,I'm On A Boat,59,156266,True,0.623,0.871,0,-2.403,1,0.239,0.0465,0.0,0.111,0.653,150.079,4,comedy
0Dfctnkk9xIikDKJ06uwzo,Pink Guy,Pink Season,She's So Nice,64,163493,True,0.828,0.577,6,-7.656,0,0.158,0.599,0.0,0.0814,0.587,86.339,4,comedy
7Kaw17qTEqmJU5j5rjuQ2M,Muck Sticky,Dang!,I.H.T.B.T.O.T.T.Y.I.D.F.Y.M.,31,199826,True,0.899,0.759,7,-6.644,0,0.283,0.512,1.34e-06,0.0721,0.822,103.046,4,comedy
7dx3l9Q5BpBYrOmu3su1JF,Mitch Fatel,Miniskirts and Muffins - EP,Sloppy Drunk,30,79093,True,0.443,0.865,1,-13.341,1,0.927,0.925,0.000504,0.776,0.306,145.511,3,comedy
1mGPRNd31oB74oEZ22s4Sn,Katt Williams,Pimp Chronicles Pt.1,Stop Trippin,30,155280,True,0.653,0.904,9,-12.741,0,0.92,0.782,0.0,0.805,0.379,90.105,3,comedy
6A3mLcrJtbaMM8n1ONxMFa,Jim Norton,Despicable - EP,What Sex Is That Thing?,31,88533,True,0.488,0.954,8,-11.292,0,0.928,0.833,0.0,0.851,0.0766,102.926,5,comedy
0GIorNnH3LXP4uOGzI6wh6,Stephen Lynch,3 Balloons,3 Balloons,29,244413,False,0.547,0.55,2,-9.675,1,0.0347,0.0793,0.0,0.124,0.412,96.473,4,comedy
0m5PV2y8rtKL6PhX9JvxGg,Jim Norton,Despicable - EP,"The Bridge, Lol",30,56106,True,0.643,0.653,6,-11.67,1,0.955,0.819,0.0,0.9,0.719,85.666,4,comedy
1JjQ0vNVatTsOYL6plWAo9,Jeff Foxworthy,We've Been Thinking,Facts of Life,29,606023,False,0.581,0.879,0,-10.652,1,0.947,0.794,0.0,0.963,0.144,106.192,4,comedy
7fb4GWVt3V6OxKN23Leohq,Kyle Kinane,Loose in Chicago,Water,30,350340,True,0.593,0.822,2,-6.852,1,0.914,0.741,0.0,0.927,0.334,117.325,4,comedy
0oOjVxtm0TaqqNlTODoP7C,Kyle Kinane,Loose in Chicago,Beef,29,247188,False,0.613,0.7,1,-6.339,0,0.896,0.862,0.0,0.934,0.402,112.908,5,comedy
4fvjWN4iTBr7sQB1qponDE,Jeff Foxworthy,We've Been Thinking,The Only Prostate,30,206684,False,0.497,0.792,5,-10.411,1,0.945,0.735,0.0,0.653,0.18,180.71,4,comedy
6ibDrp6aS9sKTtqFcNwEWc,Kyle Kinane,Loose in Chicago,Salt,29,262597,True,0.579,0.745,8,-6.486,1,0.932,0.785,0.0,0.663,0.386,83.512,4,comedy
33WcLoQHg3MShHTA3DX09f,Kyle Kinane,Whiskey Icarus,Sweet Pain,29,362848,True,0.52,0.853,4,-5.003,1,0.929,0.754,0.0,0.693,0.408,88.014,4,comedy
4UJBhyT0ePoYkj1qQPgSoK,Hype Duo,Yeah the Boys,Yeah the Boys,35,194594,True,0.692,0.769,0,-3.66,1,0.151,0.348,0.0,0.186,0.898,148.07,4,comedy
