track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
48QmG1dfvMuYLxMPt7KSRA,Sean Paul;Dua Lipa,Mad Love The Prequel,No Lie,83,221176,False,0.742,0.882,7,-2.862,1,0.117,0.0466,0.0,0.206,0.463,102.04,4,dancehall
493QaNbrvbEiQdPH9hDP6z,AMARIA BB,Slow Motion,Slow Motion,71,166000,True,0.733,0.479,11,-9.27,0,0.301,0.575,0.00053,0.0831,0.485,88.742,4,dancehall
0VzBKgimNRMauaqzT2rEnS,Spice;Shaggy;Sean Paul,Go Down Deh (feat. Shaggy and Sean Paul),Go Down Deh (feat. Shaggy and Sean Paul),74,154666,False,0.817,0.8,2,-4.475,1,0.108,0.12,3.9e-05,0.187,0.534,90.016,4,dancehall
2169IKAivSUUFGcedGASXc,Stefflon Don,16 Shots,16 Shots,69,224727,True,0.684,0.79,3,-4.871,0,0.0735,0.0271,0.000371,0.0854,0.549,95.083,4,dancehall
58dGRQrNmAJeRMFuguUbvD,Spice;Shaggy;Sean Paul,10,Go Down Deh (feat. Shaggy and Sean Paul),69,154151,False,0.801,0.764,2,-5.112,1,0.0986,0.109,1.62e-05,0.247,0.578,89.999,4,dancehall
3oZcHR0hqmmdnP06bc84Gd,Burna Boy,I'm Blue - Hits of 2022,Last Last,4,172342,False,0.795,0.565,3,-4.457,0,0.0948,0.131,0.0,0.0802,0.55,87.925,4,dancehall
2bIllkzKKCotWs0AuCsIoh,Burna Boy;Wizkid,2Step - Pop R'n'B,B. D’OR,2,189800,False,0.873,0.658,4,-8.031,0,0.108,0.00858,0.0061,0.0999,0.483,104.033,4,dancehall
35cGkoZHj3mcUYa1kVjFOh,Burna Boy,Good Vibes,On the Low,2,185898,False,0.816,0.781,1,-4.237,0,0.0425,0.692,0.00928,0.0835,0.937,99.95,4,dancehall
66tPJue1SdDqvK9ifs6H3t,Burna Boy;Stormzy,Sundown Rap,Real Life,0,197933,False,0.488,0.572,9,-7.29,0,0.0901,0.138,0.000235,0.27,0.415,132.45,5,dancehall
40pz6QQ5xwbaCZX5gK8GcQ,Burna Boy,Hits Hits Hits,Last Last,0,172342,False,0.795,0.565,3,-4.457,0,0.0948,0.131,0.0,0.0802,0.55,87.925,4,dancehall
36YlzbkAZLnOke9yib6Yin,Burna Boy;Stormzy,The Hype,Real Life,1,197933,False,0.488,0.572,9,-7.29,0,0.0901,0.138,0.000235,0.27,0.415,132.45,5,dancehall
0YtYAaCp626cLIDyjB5bcS,Burna Boy;Ed Sheeran,New Arrivals,For My Hand,0,159123,False,0.87,0.479,9,-7.779,1,0.165,0.161,0.000157,0.209,0.717,104.059,4,dancehall
2cFjQQ33h8NiQAKqpJGhgd,Burna Boy,20's R'n'B,Last Last,0,172342,False,0.795,0.565,3,-4.457,0,0.0948,0.131,0.0,0.0802,0.55,87.925,4,dancehall
03um6hfYLzq0p4c3Lk0Dld,Burna Boy,Daily Pop Mix,Last Last,0,172342,False,0.795,0.565,3,-4.457,0,0.0948,0.131,0.0,0.0802,0.55,87.925,4,dancehall
1SaqHX3JGpcnngTKFnXcP3,Burna Boy,New Grooves,Last Last,0,172342,False,0.795,0.565,3,-4.457,0,0.0948,0.131,0.0,0.0802,0.55,87.925,4,dancehall
6Nf3pMNxscEiw6a7phdlmm,Burna Boy,African Heat - Afro Hits,Last Last,1,172342,False,0.795,0.565,3,-4.457,0,0.0948,0.131,0.0,0.0802,0.55,87.925,4,dancehall
2ECokGI5VuABjcNb90be3p,Burna Boy,Summer Music Festival Hits,Last Last,0,172342,False,0.795,0.565,3,-4.457,0,0.0948,0.131,0.0,0.0802,0.55,87.925,4,dancehall
27C9LOKwqrjYNHwZ5pu8zH,Burna Boy,2Step - Pop R'n'B,Last Last,0,172342,False,0.795,0.565,3,-4.457,0,0.0948,0.131,0.0,0.0802,0.55,87.925,4,dancehall
2IUkw09LrFwfXNRwnecgmG,Burna Boy,Hit After Hit,Last Last,0,172342,False,0.795,0.565,3,-4.457,0,0.0948,0.131,0.0,0.0802,0.55,87.925,4,dancehall
0hWBiQZZ7btfzKoMDUUHCH,Burna Boy,Internet Sensations,Last Last,0,172342,False,0.795,0.565,3,-4.457,0,0.0948,0.131,0.0,0.0802,0.55,87.925,4,dancehall
300HJHC8ZR1r8quEn5OqwZ,Burna Boy,It's You - Fresh Hits,Last Last,0,172342,False,0.795,0.565,3,-4.457,0,0.0948,0.131,0.0,0.0802,0.55,87.925,4,dancehall
7HSM7sfoyw4xKdGcNhXuBy,Burna Boy,All Bops,Last Last,0,172342,False,0.795,0.565,3,-4.457,0,0.0948,0.131,0.0,0.0802,0.55,87.925,4,dancehall
41cDKFuTigPfBWyLYQKMsO,Burna Boy,New Arrivals,Last Last,0,172342,False,0.795,0.565,3,-4.457,0,0.0948,0.131,0.0,0.0802,0.55,87.925,4,dancehall
7mRCgqF1eXVoDUpOldz9Nl,Burna Boy;Wizkid,African Heat - Afro Hits,B. D’OR,0,189800,False,0.873,0.658,4,-8.031,0,0.108,0.00858,0.0061,0.0999,0.483,104.033,4,dancehall
4753v8gP7AT9df2zgxa2N9,Burna Boy;Wizkid,New Grooves,B. D’OR,0,189800,False,0.873,0.658,4,-8.031,0,0.108,0.00858,0.0061,0.0999,0.483,104.033,4,dancehall
6X6sPHhSGbxucFpSDPiH55,Burna Boy;Ed Sheeran,Hits à suivre 2022,For My Hand,0,159123,False,0.87,0.479,9,-7.779,1,0.165,0.161,0.000157,0.209,0.717,104.059,4,dancehall
6CufiqOcVejTejlXDqDb4j,Burna Boy,New Pop Classics,Last Last,0,172342,False,0.795,0.565,3,-4.457,0,0.0948,0.131,0.0,0.0802,0.55,87.925,4,dancehall
6AjuU68Z5I6zzG03bs2MS2,Burna Boy;Ed Sheeran,Daily Pop Mix,For My Hand,0,159123,False,0.87,0.479,9,-7.779,1,0.165,0.161,0.000157,0.209,0.717,104.059,4,dancehall
0XLZqnVwuqsvl0WbZRStel,Burna Boy;Ed Sheeran,Hit After Hit,For My Hand,0,159123,False,0.87,0.479,9,-7.779,1,0.165,0.161,0.000157,0.209,0.717,104.059,4,dancehall
2hcV6XZZvIltyvgjo0Xd6U,Burna Boy;Ed Sheeran,Refresh - Pop To Cool Down,For My Hand,1,159123,False,0.87,0.479,9,-7.779,1,0.165,0.161,0.000157,0.209,0.717,104.059,4,dancehall
2dHckwsT6KYp6qZ3KJ4Ad8,Burna Boy;Ed Sheeran,New Rap 20s,For My Hand,0,159123,False,0.87,0.479,9,-7.779,1,0.165,0.161,0.000157,0.209,0.717,104.059,4,dancehall
43CLNfvNyalChk97jKDiAD,Burna Boy,Evergreen,Last Last,0,172342,False,0.795,0.565,3,-4.457,0,0.0948,0.131,0.0,0.0802,0.55,87.925,4,dancehall
0hopQjlj7hNsE60RXFl1V9,Burna Boy;Wizkid,Tropical Vibes,B. D’OR,1,189800,False,0.873,0.658,4,-8.031,0,0.108,0.00858,0.0061,0.0999,0.483,104.033,4,dancehall
6k3lATWmM3Z9TJvrzDHfga,Burna Boy;Ed Sheeran,New Grooves,For My Hand,0,159123,False,0.87,0.479,9,-7.779,1,0.165,0.161,0.000157,0.209,0.717,104.059,4,dancehall
3RU4IbiteV8v6Haa7sDrOV,Burna Boy,Your Perfect Soundtrack,Last Last,0,172342,False,0.795,0.565,3,-4.457,0,0.0948,0.131,0.0,0.0802,0.55,87.925,4,dancehall
1NdGOt0hJikfIy2OUkXdi2,Burna Boy,Totally Rap,Last Last,0,172342,False,0.795,0.565,3,-4.457,0,0.0948,0.131,0.0,0.0802,0.55,87.925,4,dancehall
0ozGUAz5IE3DAWoe7C1kG2,Burna Boy,Pop Brandneu,Last Last,0,172342,False,0.795,0.565,3,-4.457,0,0.0948,0.131,0.0,0.0802,0.55,87.925,4,dancehall
6phUiTdE97Qq2sPNvbAlLP,Burna Boy,CruiseControl: How I Met The Biggest Bird (DJ Mix),23 (Mixed),3,90500,False,0.688,0.541,1,-10.899,1,0.217,0.178,0.127,0.252,0.731,102.736,4,dancehall
2JabszmDYl2x7B7blqtp8l,Burna Boy;Ed Sheeran,Give You Love - Cozy Hits,For My Hand,0,159123,False,0.87,0.479,9,-7.779,1,0.165,0.161,0.000157,0.209,0.717,104.059,4,dancehall
61f7OTlfrjrZqZc8YZtNGd,Burna Boy;Stormzy,CruiseControl: How I Met The Biggest Bird (DJ Mix),Real Life (Mixed),4,124000,True,0.437,0.592,0,-9.726,1,0.299,0.181,6.45e-06,0.331,0.632,75.493,3,dancehall
3LF7gk7E5fDz1nRfbFXaUf,Burna Boy;Ed Sheeran,Evergreen,For My Hand,1,159123,False,0.87,0.479,9,-7.779,1,0.165,0.161,0.000157,0.209,0.717,104.059,4,dancehall
6Uqc4WAhVelhB3tkkjaKoM,Burna Boy;Wizkid,Totally Rap,B. D’OR,0,189800,False,0.873,0.658,4,-8.031,0,0.108,0.00858,0.0061,0.0999,0.483,104.033,4,dancehall
13VcHnE3q5TRU5ig2FcbOP,Burna Boy;Ed Sheeran,"#Multiverse, If the Multiverse Is Real",For My Hand,0,159123,False,0.87,0.479,9,-7.779,1,0.165,0.161,0.000157,0.209,0.717,104.059,4,dancehall
58s7n1XdbmiUDYh4cGkHKB,Burna Boy,CruiseControl: How I Met The Biggest Bird (DJ Mix),Onyeka (Baby) (Mixed),3,107750,False,0.781,0.728,2,-7.612,1,0.1,0.179,0.000206,0.73,0.363,103.27,4,dancehall
