track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
3829oHimRwuUHePcD2Jj7S,Octave One,One Black Water (feat. Ann Saunderson) [Full Strings Vocal Mix],Blackwater - 128 full strings vocal mix,52,518945,False,0.763,0.81,5,-8.943,0,0.0545,0.264,0.000563,0.0823,0.496,128.24,4,detroit-techno
5NKHUvpRs7zr0yOQjx8Exr,Cybotron,Clear,Clear,43,294533,False,0.802,0.637,11,-13.008,0,0.0624,0.000231,0.831,0.587,0.336,125.284,4,detroit-techno
0tlaL77Z5yhz5yD821mhbh,Dopplereffekt,Climax (Original Motion Picture Soundtrack),Superior Race,23,185600,False,0.785,0.713,9,-11.201,1,0.149,0.0126,0.765,0.072,0.204,134.373,4,detroit-techno
67zr6xdiSAhsuyvL2Dczc1,Inner City,Good Life (Remastered),Good Life (Remastered) - Club Mix,54,196363,False,0.65,0.921,4,-3.711,0,0.0563,0.000943,0.619,0.0588,0.77,120.941,4,detroit-techno
3RdTRLulAJKR5An8vgfUig,Jay Daniel,Broken Knowz,Paradise Valley,39,282266,False,0.788,0.887,10,-8.287,0,0.0548,0.449,0.896,0.11,0.405,117.813,4,detroit-techno
4ncFRft2xEs4kanULQjaOz,Moodymann;Andres,Moodymann,Lyk U Use 2 (feat. Andres),50,343000,False,0.621,0.485,11,-13.429,0,0.219,0.108,0.13,0.156,0.14,183.391,4,detroit-techno
0ISxyAhfop0MoMeAUw72RN,Jeff Mills,SIGHT SOUND AND SPACE,The Bells,45,285413,False,0.616,0.995,7,-3.647,1,0.114,0.000372,0.952,0.112,0.772,137.514,4,detroit-techno
5sJiLlgQKBL81QCTOkoLB5,Inner City,Paradise,Good Life,58,244773,False,0.716,0.783,4,-12.876,0,0.0496,0.172,0.0346,0.0327,0.952,121.306,4,detroit-techno
5vOSahSFyo87bRpf3yoBNg,Moodymann;Amp Dog Knight,Black Mahogani,I'm Doing Fine (feat. Amp Dog Knight),46,556280,False,0.797,0.343,11,-15.334,1,0.0495,0.0692,0.362,0.479,0.536,119.988,4,detroit-techno
6myqY05kuMAR5KE8oH54hx,Carl Craig,Versus,The Melody,38,410040,False,0.386,0.489,11,-13.788,0,0.0485,0.0178,0.9,0.112,0.174,122.997,4,detroit-techno
77u4D7eaO0T6zVby7kybyP,Omar S;D Taylor,Thank You for Letting Me Be Myself,The Shit Baby,44,413315,False,0.805,0.602,9,-10.572,0,0.0606,0.0197,0.803,0.26,0.869,125.126,4,detroit-techno
1UsPlvgJj2mp5Ni8YAWQa5,Jay Daniel,Knowledge Of Selfie,Knowledge Of Selfie,16,506453,False,0.843,0.572,0,-8.83,0,0.101,0.0301,0.885,0.0677,0.783,128.214,4,detroit-techno
2MzzhQsGnxHr2IL5gjVYql,Dantiez,My Mind,My Mind,14,201578,False,0.705,0.92,10,-6.207,0,0.0599,0.015,0.868,0.0293,0.476,124.008,4,detroit-techno
3rquyyzec0JKU4UbGga9rP,Jay Daniel,TALA,Aja,17,278333,False,0.79,0.464,0,-8.194,0,0.17,0.285,0.888,0.0939,0.225,118.097,4,detroit-techno
4UKgwHcyWjHOeUIjixdyTj,Omar S;Nite Jewel,Confess to U,Confess to U - Vocal,25,347461,False,0.807,0.512,10,-11.868,0,0.124,0.000552,0.762,0.0908,0.59,118.414,4,detroit-techno
3JCR2LB1wx75opaI5qRTZu,Blake Baxter,The H-Factor,Our Luv,16,371466,False,0.749,0.665,6,-13.58,0,0.0377,1.07e-05,0.651,0.0859,0.529,124.988,4,detroit-techno
5YTggexo1ZuSsoipeGXfMP,Blake Baxter,Anitasians,Anitasians,18,60472,False,0.764,0.902,0,-13.482,1,0.0376,0.0447,0.8,0.0713,0.974,126.986,4,detroit-techno
0YogiL31adtjX8LqPJp3a7,Omar S;John C;L'Renee,You Want,Ambiance,17,287852,False,0.834,0.685,1,-13.043,1,0.0855,0.00945,0.845,0.0975,0.535,122.002,4,detroit-techno
6zFUmsa8mXX1bF4jRAYHI5,Moodymann,Silence In The Secret Garden,P.B.C.,15,78933,False,0.795,0.729,5,-17.626,1,0.0542,0.0235,0.939,0.0733,0.747,110.204,4,detroit-techno
65TTNPQ1YuKPYZ9RIsiXJP,Inner City,Big Fun,Big Fun - The Classic Magic Juan Mix Remake,18,372000,False,0.7,0.85,8,-7.804,0,0.0442,0.00494,0.146,0.0447,0.686,121.921,4,detroit-techno
2y0luFE4AEvIPrCJXtfcF1,Omar S,The Best!,Chama Piru's,15,423052,False,0.887,0.666,5,-10.997,0,0.0971,0.116,0.769,0.0872,0.305,123.022,4,detroit-techno
3Zof6WjlAty4A5acecEeLP,Omar S,Romancing the Stone,Romancing the Stone,20,369977,False,0.819,0.606,6,-9.579,1,0.055,0.0162,0.839,0.0743,0.957,120.997,4,detroit-techno
6pU9arMMETKXhDmUzvixqx,Cybotron;Dillinja,My Sound (1993-2004),Threshold,19,360200,False,0.618,0.943,1,-4.629,0,0.0569,0.000128,0.834,0.183,0.935,164.819,4,detroit-techno
79D1gWUL04fImvO1jlVhOG,Theo Parrish;Lori;Silentjay;Simon Mavin;Perrin Moss;Paul Bender;Dego,What You Gonna Ask For,What You Gonna Ask For - Dego,16,607121,False,0.789,0.84,4,-8.457,0,0.061,0.178,0.0396,0.0602,0.697,120.076,4,detroit-techno
3MVAY1R1IWkzZzj5570vfU,Model 500,Deep Space,I Wanna Be There - Edit,16,404826,False,0.602,0.891,2,-9.36,1,0.0463,0.0223,0.881,0.0865,0.679,129.999,4,detroit-techno
6j2HQ1kkjgx7y7bEOq4Kgw,Kenny Larkin,Integration,Integration,17,286126,False,0.713,0.745,7,-8.683,1,0.0385,0.000159,0.873,0.155,0.854,124.984,4,detroit-techno
6jOtwL07iJplX78FHgzzar,Omar S,The Best!,Time Mo 1,17,330222,False,0.809,0.595,6,-10.238,1,0.0486,0.000448,0.918,0.111,0.23,123.99,4,detroit-techno
2Q6itfdSzJjIZlzncN4StM,Theo Parrish,Cornbread & Cowrie Shells for Bertha,Cleo's Theme,22,645264,False,0.596,0.958,1,-7.105,0,0.0376,0.00279,0.869,0.101,0.605,118.578,4,detroit-techno
4cQSzZtlnVyWVT1cnRe2aE,Moodymann,Silence In The Secret Garden,Liveinla 1998,14,486533,False,0.857,0.86,10,-10.679,0,0.0822,0.0037,0.851,0.334,0.467,121.239,4,detroit-techno
6jMAXON1WKkHDu1hilkrCT,Omar S,Thank You for Letting Me Be Myself,"It's Money in The "" D """,15,490173,False,0.804,0.917,4,-8.145,1,0.0741,0.00113,0.926,0.0946,0.0367,123.999,4,detroit-techno
4U4goWxOoymokDVg2v4Ca0,Orlando Voorn;Elliot Fitch,In Da Jungle (Elliot Fitch Remix),In Da Jungle - Elliot Fitch Remix,15,209280,False,0.707,0.971,8,-5.692,1,0.0598,0.00871,0.518,0.0702,0.877,125.012,4,detroit-techno
6urOPAkDfSK1LZ3jeHVgGA,Kevin Saunderson;e-Dancer,Heavenly Revisited Album,Rock To The Beat,18,203333,False,0.63,0.79,6,-8.208,1,0.0381,0.0319,0.934,0.319,0.473,123.954,4,detroit-techno
6B3pkcohl0wDYCYuVHSOgG,Theo Parrish,Cornbread & Cowrie Shells for Bertha,Stop Lite,16,274466,False,0.793,0.568,6,-12.724,0,0.146,0.193,0.881,0.109,0.306,104.924,4,detroit-techno
6zDF2MWDFIfgo5yCShYwGC,Inner City,Paradise,Paradise,20,244826,False,0.719,0.56,8,-17.235,0,0.042,0.00364,0.0312,0.41,0.808,121.677,4,detroit-techno
1gCQSac65SXFh7FPW6MQz3,Terrence Parker,Cry 4 U (Sheryl's Authentic Love Festival Mix),Cry 4 U - Sheryl's Authentic Love Festival Mix,19,496163,False,0.638,0.921,8,-4.456,1,0.0343,0.000462,0.0013,0.204,0.755,125.016,4,detroit-techno
5b9CYpi4Sd89Zocvyo7djZ,Moodymann,Taken Away,Goodbye Everybody,19,236160,False,0.818,0.621,9,-8.091,0,0.0398,0.0862,0.152,0.162,0.397,125.043,4,detroit-techno
5lge0iAI5OxNiQyqN5mDye,Moodymann,Sinner: KDJ-48,I Got Werk,14,288400,False,0.821,0.468,10,-11.335,0,0.131,0.502,0.0443,0.105,0.853,121.023,4,detroit-techno
3jMH51YX9UQ6yKKeZBLhiB,Seth Troxler;The Martinez Brothers,Play In The Dark,Play In The Dark - Steam Mix,16,506039,False,0.732,0.73,6,-9.192,1,0.0552,0.00384,0.817,0.682,0.215,129.011,4,detroit-techno
1WBJ41oQnTjXEQPi58bhQS,Underground Resistance,Intersteller Fugitives,Unabomber,15,142933,False,0.544,0.693,10,-15.922,0,0.039,0.00405,0.907,0.0764,0.346,125.988,4,detroit-techno
2YYbO1tjcZbjaPm28Y90VX,Inner City,Good Life - The Best Of Inner City,Till We Meet Again,19,316880,False,0.672,0.685,1,-8.549,1,0.0294,0.0172,0.00148,0.126,0.228,102.077,4,detroit-techno
4qq02mbeGier8nfa1L3I77,Inner City,Paradise,Ain't Nobody Better,19,239933,False,0.659,0.919,4,-10.769,1,0.0641,0.0511,0.000581,0.247,0.703,119.285,4,detroit-techno
6dwR06Edc87fGq9vpSBBtJ,Moodymann,Silentintroduction,M Traxx,21,310466,False,0.874,0.568,8,-11.521,0,0.0894,0.00444,0.826,0.707,0.494,119.988,4,detroit-techno
2vjX8WKpN5JmI5TgnybM8M,Underground Resistance,Intersteller Fugitives,Moor Houseman on Bolarus 5,15,145640,False,0.611,0.951,6,-8.49,1,0.0303,0.017,0.902,0.113,0.313,106.996,4,detroit-techno
595MIU6K8FXFZOWbi06EHe,Moodymann,Silentintroduction,In Loving Memory,16,387400,False,0.707,0.443,11,-12.302,1,0.0439,0.382,0.936,0.345,0.757,117.909,4,detroit-techno
6l0lLJtko09ZQu77pm7ZWW,Inner City,Paradise,Do You Love What You Feel - Duane Bradley Album Mix,21,300373,False,0.596,0.708,9,-13.942,0,0.0425,0.0104,0.0505,0.0662,0.655,123.536,4,detroit-techno
7CPGeKhhCyKM3cMjGZOvMI,Terrence Parker;Reno Ka,Life On The Back 9,Finally (feat. Reno Ka) - Louie Vega's Dance Ritual Mix,17,599999,False,0.851,0.571,11,-8.143,1,0.0425,0.00295,0.191,0.108,0.556,122.0,4,detroit-techno
7t3QDBNnVJJTVTN8E6q6Ro,Moodymann,Silentintroduction,Answer Machine,17,320000,False,0.672,0.888,10,-9.885,0,0.0775,0.00155,0.897,0.665,0.385,120.0,4,detroit-techno
17E7pOkJUrPX6J9DcKTXNW,Moodymann,Silentintroduction,Sunday Morning,17,662520,False,0.63,0.595,3,-13.154,1,0.0745,0.0981,0.0837,0.687,0.356,118.019,4,detroit-techno
1yE7UZQuOVZt1RWEu2okkH,Jeff Mills,Blue Potential - Live with Montpelier Philharmonic Orchestra,Gamma Player - Blue Potential Version,15,419946,False,0.485,0.537,5,-14.658,0,0.0512,0.0477,0.87,0.893,0.223,121.992,4,detroit-techno
71bFTxruyaNaPQYujgR76H,Jeff Mills,SIGHT SOUND AND SPACE,Homing Device,15,279573,False,0.549,0.793,10,-13.857,0,0.0899,0.339,0.883,0.121,0.382,127.817,4,detroit-techno
553HOkDZQktOEBKvxTBPS1,Plastikman;Richie Hawtin,Recycled Plastik,Spastik,40,555626,False,0.795,0.989,4,-9.836,1,0.0856,0.0015,0.939,0.565,0.0397,126.274,4,detroit-techno
4PyhlL1vrSvPlhYLdphszr,Inner City,Paradise,Big Fun,53,206160,False,0.677,0.935,3,-11.55,0,0.0514,0.0787,0.376,0.0787,0.965,120.11,4,detroit-techno
56UofZ2cb1LDEXxAibDxtS,Orlando Voorn,So Deep,So Deep,13,405165,False,0.726,0.583,7,-13.07,1,0.0659,0.0132,0.793,0.111,0.187,124.987,4,detroit-techno
5oHZkmXPUVU9nX0b9xW2iL,Inner City;Carl Craig,30 Years EP,Good Life - Inner City Edit of Carl Craig Remix,41,195692,False,0.779,0.731,11,-8.43,0,0.0773,0.0268,0.000204,0.156,0.664,130.007,4,detroit-techno
5i85TBNAo928OKuOk5pQ3k,Blake Baxter,Addison Carr,Addison Carr,14,66734,False,0.715,0.194,0,-15.872,1,0.0376,3.45e-05,0.000397,0.896,0.557,98.017,4,detroit-techno
4Rfze8E9xn6DfHDLpoh2m5,ONYVAA;Mattia Trani,Climax EP,Climax,13,373137,False,0.493,0.948,4,-6.868,0,0.0753,0.000246,0.852,0.107,0.316,139.992,4,detroit-techno
4Vp9uIMjHdbmRzRZMUV8EQ,Ryan Elliott;André Galluzzi,Ostgut Ton Fünfzehn + 1,Fontane,14,401771,False,0.747,0.777,1,-11.129,1,0.0458,6.66e-05,0.815,0.11,0.286,126.016,3,detroit-techno
65POCexjbdPA7mbSKxL0vd,Carl Craig,The Album Formerly Known As ...,A Wonderful Life - Version,36,415759,False,0.596,0.586,0,-12.245,0,0.0348,0.394,0.886,0.0537,0.621,132.023,4,detroit-techno
