track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
2grjqo0Frpf2okIBiifQKs,"Earth, Wind & Fire","The Best Of Earth, Wind & Fire Vol. 1",September,83,215093,False,0.697,0.832,9,-7.264,1,0.0298,0.168,0.00131,0.269,0.979,125.926,4,disco
49X0LAl6faAusYq02PRAY6,Modjo,Modjo (Remastered),Lady - Hear Me Tonight,78,307153,False,0.72,0.808,6,-5.627,1,0.0379,0.00793,0.0293,0.0634,0.869,126.041,4,disco
5lWSa1rmuSL6OBPOnkAqoa,Boney M.,Daddy Cool,Rasputin,70,220666,False,0.69,0.752,6,-11.47,0,0.0455,0.463,0.00102,0.595,0.97,126.005,4,disco
0vB4Vd6PtkJSEnWsmqATnZ,George Benson,20/20,Nothing's Gonna Change My Love for You,71,242678,False,0.553,0.614,1,-5.098,1,0.0306,0.764,0.0,0.0811,0.345,136.628,4,disco
1MiEJdIwAK4zfwwQ2DKsvP,Akcent,That's My Name,That's My Name,42,248236,False,0.751,0.636,1,-4.791,0,0.0437,0.0479,0.0,0.354,0.535,127.953,4,disco
3WMbD1OyfKuwWDWMNbPQ4g,Boney M.,Take The Heat Off Me,Daddy Cool,72,208600,False,0.763,0.777,5,-6.932,0,0.0364,0.281,0.79,0.134,0.929,124.431,4,disco
2YDOjCfkGciEXxSutB6LJR,Bob Sinclar;FISHER;Steve Edwards,World Hold On (FISHER Rework),World Hold On - FISHER Rework,73,178304,False,0.771,0.883,1,-5.243,0,0.0584,0.00596,0.00607,0.135,0.895,127.008,4,disco
4UDmDIqJIbrW0hMBQMFOsM,Bee Gees,Staying Alive (Original Motion Picture Soundtrack),Stayin' Alive,77,92866,False,0.707,0.535,10,-19.793,0,0.0436,0.113,0.00615,0.0884,0.641,103.644,4,disco
4PTG3Z6ehGkBFwjybzWkR8,Rick Astley,Whenever You Need Somebody,Never Gonna Give You Up,45,213573,False,0.721,0.939,8,-11.823,1,0.0376,0.115,3.79e-05,0.108,0.914,113.309,4,disco
5ubvP9oKmxLUVq506fgLhk,Bee Gees,How Can You Mend A Broken Heart,Stayin Alive,80,285373,False,0.702,0.773,10,-9.256,0,0.0343,0.0288,0.00871,0.147,0.953,103.564,4,disco
4cOdK2wGLETKBW3PvgPWqT,Rick Astley,Whenever You Need Somebody,Never Gonna Give You Up,80,213573,False,0.721,0.939,8,-11.823,1,0.0376,0.115,3.79e-05,0.108,0.914,113.309,4,disco
67hbP9PFQZrb4XZc3TzB0s,Boney M.,Fantastic Boney M.,Rasputin - Single Version,67,220733,False,0.694,0.719,6,-12.734,0,0.048,0.47,0.00121,0.44,0.972,126.212,4,disco
7sf0zAvyBwviecbfzmjqBv,Bee Gees,Disco Boogie Mood,"More Than A Woman - From ""Saturday Night Fever"" Soundtrack",9,196213,False,0.601,0.703,7,-6.24,1,0.0379,0.175,8.4e-05,0.571,0.673,106.164,4,disco
2BHa53M6XzPMb3sBONBWG7,Bee Gees,Best Viral Tunes,"More Than A Woman - From ""Saturday Night Fever"" Soundtrack",0,196213,False,0.601,0.703,7,-6.24,1,0.0379,0.175,8.4e-05,0.571,0.673,106.164,4,disco
3tiPg5GBES46MKezGsimcG,Bee Gees;SG Lewis,Weekend Baby,More Than A Woman - SG's Paradise Edit,2,357936,False,0.679,0.762,10,-4.253,0,0.0316,0.00469,0.23,0.0446,0.511,105.407,4,disco
4Ky2iE37SBYir2GVOsW69u,Bee Gees,Viral Şarkılar,"More Than A Woman - From ""Saturday Night Fever"" Soundtrack",0,196213,False,0.601,0.703,7,-6.24,1,0.0379,0.175,8.4e-05,0.571,0.673,106.164,4,disco
6Xqzr8QjhCqUglo6JOmg5S,Bee Gees;SG Lewis,Pop Fun and Christmas Music 2022,More Than A Woman - SG's Paradise Edit,0,357936,False,0.679,0.762,10,-4.253,0,0.0316,0.00469,0.23,0.0446,0.511,105.407,4,disco
0rYHxEGSSNtH6UYGsZ9FqW,Kool & The Gang,Disco Boogie Mood,Fresh,5,264093,False,0.845,0.425,11,-15.242,0,0.0343,0.00929,0.0774,0.0366,0.93,116.872,4,disco
2UIoxw6hFDMKN6Ueboxijb,Kool & The Gang,Disco Boogie Mood,Get Down On It - Single Version,1,212906,False,0.879,0.627,7,-6.345,1,0.0604,0.205,6.07e-05,0.056,0.968,110.863,4,disco
1MrcbZai6wumuSm6JJ6BUA,Gloria Gaynor,Disco Boogie Mood,I Will Survive,0,296106,False,0.77,0.775,9,-9.571,0,0.0495,0.0227,0.0025,0.297,0.8,116.917,4,disco
0HlSPkpyZrgluk5EzAVLmJ,Bob Sinclar,"Swanky Club House, Vol. 1",Summer Moonlight - Club Mix,0,360224,False,0.693,0.834,10,-4.799,1,0.124,0.00684,2.37e-05,0.838,0.332,127.998,4,disco
0puqSsCdrsmI3HRlpRF5SB,Kool & The Gang,80s Bangers Vol. 1,Celebration,1,298640,False,0.857,0.782,1,-5.633,1,0.0657,0.139,0.0357,0.0495,0.899,120.763,4,disco
5E5O3l8coDuDDy49J43W98,Bee Gees,Disco Boogie Mood,"Night Fever - From ""Saturday Night Fever"" Soundtrack",2,212800,False,0.726,0.779,1,-7.057,0,0.0251,0.0178,0.00178,0.104,0.841,109.133,4,disco
0WBoGdKqK3Hlzt65o5vQqA,Diana Ross,Workout Hits 2023,I'm Coming Out,1,325266,False,0.741,0.92,5,-4.457,1,0.0516,0.182,0.122,0.0903,0.739,110.141,4,disco
2nh3U9fkXRXj8mEywrzZxE,Diana Ross,80s Bangers Vol. 1,I'm Coming Out,1,325266,False,0.741,0.92,5,-4.457,1,0.0516,0.182,0.122,0.0903,0.739,110.141,4,disco
2bnZSwkcI8Wd2qSQg4xQsd,Cyndi Lauper,Holly Jolly Christmas,Hard Candy Christmas,0,231981,False,0.549,0.361,0,-8.364,1,0.0235,0.742,0.0,0.0978,0.334,93.777,4,disco
1MP2tuC4P2eOAcAa5Eh4s7,Kool & The Gang,Diversión para los peques,Celebration,0,298640,False,0.857,0.782,1,-5.633,1,0.0657,0.139,0.0357,0.0495,0.899,120.763,4,disco
2koluJQJMBHkhQQ7YNYIGm,Diana Ross,Disco Boogie Mood,Upside Down,2,243493,False,0.883,0.923,0,-6.102,1,0.0757,0.145,0.0396,0.0407,0.896,108.189,4,disco
6oRYkFeQO0qhLw7PC4iRqz,Cyndi Lauper,Christmas Time,Hard Candy Christmas,0,231981,False,0.549,0.361,0,-8.364,1,0.0235,0.742,0.0,0.0978,0.334,93.777,4,disco
