track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
1ymvyDsiAUbzEhmSkfCSYh,Billy Eichner;Seth Rogen;JD McCrary;Childish Gambino,The Lion King (Original Motion Picture Soundtrack),Hakuna Matata,58,251520,False,0.53,0.584,0,-11.891,1,0.218,0.274,0.0,0.158,0.575,81.854,4,disney
2stkLJ0JNcXkIRDNF3ld6c,Randy Newman,Toy Story,"You've Got a Friend in Me - From ""Toy Story""/Soundtrack Version",71,124160,False,0.689,0.333,0,-12.134,0,0.0307,0.817,5.13e-06,0.285,0.471,115.835,4,disney
7tUSJY4nsDBJTjd1UXKRsT,Jodi Benson;Disney,The Little Mermaid Special Edition,Part of Your World,70,195493,False,0.274,0.144,5,-14.516,1,0.0482,0.92,0.000388,0.29,0.302,61.551,5,disney
3dfpZwSuosIuFqksY0F6gT,Cast - Sofia the First;Sofia,Sofia the First,"Sofia the First Main Title Theme - From ""Sofia the First""",55,52866,False,0.655,0.789,4,-3.995,1,0.0489,0.423,0.0,0.13,0.66,92.968,4,disney
1ERshJBUZysordGDZr5B3t,Auli'i Cravalho,Moana (Original Motion Picture Soundtrack/Deluxe Edition),How Far I'll Go,49,163386,False,0.571,0.307,1,-10.958,0,0.0499,0.649,0.0,0.178,0.108,83.72,4,disney
1r6jjBkaAjGp09h2R6heZp,Alan Menken,Enredados,Kingdom Dance,52,140160,False,0.27,0.623,4,-9.841,1,0.093,0.0972,0.349,0.267,0.463,157.24,3,disney
5fBcRH4CnYTaFMQtM0JtSl,Alanna Ubach;Antonio Sol,Coco (Original Motion Picture Soundtrack),La Llorona,56,165533,False,0.46,0.574,4,-7.414,0,0.112,0.318,0.0,0.1,0.37,67.697,4,disney
0juMU08O9byWiRBtKM1j5E,Lindiwe Mkhize;Lebo M.,The Lion King (Original Motion Picture Soundtrack),Circle of Life/Nants' Ingonyama,56,241800,False,0.297,0.518,10,-8.152,1,0.0378,0.412,1.1e-05,0.298,0.496,81.425,4,disney
67rctxgNOXUYhKiS3cv0MT,Billy Eichner;Seth Rogen,The Lion King (Original Motion Picture Soundtrack),The Lion Sleeps Tonight,60,84720,False,0.686,0.379,5,-15.243,1,0.223,0.856,0.0,0.103,0.923,137.953,4,disney
0HU5JnVaKNTWf6GykV9Zn8,Carmen Twillie;Lebo M.,The Lion King,"Circle of Life - From ""The Lion King""/ Soundtrack",67,239146,False,0.402,0.391,10,-16.112,1,0.0406,0.0634,0.0,0.296,0.568,83.789,4,disney
5k3U0OGYBccHdKJJu3HrUN,Nathan Lane;Ernie Sabella;Jason Weaver;Joseph Williams,The Lion King,"Hakuna Matata - From ""The Lion King""/Soundtrack",72,213600,False,0.408,0.313,0,-18.09,1,0.137,0.617,1.18e-05,0.115,0.725,170.013,4,disney
6oYkwjI1TKP9D0Y9II1GT7,Samuel E. Wright;Disney,The Little Mermaid Special Edition,Under the Sea,69,195146,False,0.511,0.475,10,-14.667,1,0.161,0.708,0.0,0.105,0.819,98.957,4,disney
