track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
6xB7E0HOWznwiO0v56mqwD,Sigma;Birdy,Find Me,Find Me,55,204444,False,0.584,0.805,5,-4.029,0,0.0465,0.0649,0.0,0.103,0.238,134.882,4,drum-and-bass
1iL5lMhZdMmVg34AM6xQxx,Wilkinson;Issey Cross,Cognition,Used To This,20,226206,False,0.686,0.756,5,-3.888,0,0.0374,0.0314,0.0234,0.154,0.345,87.004,4,drum-and-bass
5pzeevBDvU6GVXqUKoiYDX,Netsky;Bazzi;Lil Wayne,I Don’t Even Know You Anymore,I Don’t Even Know You Anymore (feat. Bazzi & Lil Wayne),51,167600,True,0.709,0.784,9,-3.182,0,0.1,0.23,0.0,0.147,0.584,97.007,4,drum-and-bass
560Ac5wm8qT64yGNRKRhpN,NERO;ZHU,Dreams,Dreams,46,268043,False,0.521,0.55,1,-6.222,1,0.0709,0.0029,0.171,0.0955,0.0391,184.018,4,drum-and-bass
6PXbVEz2q5U3S56AAbQShG,Noisia;Skrillex;josh pan;Dylan Brady,Horizon (with Noisia),Supersonic (VIP),48,206010,False,0.416,0.506,9,-7.885,0,0.1,0.0404,0.0202,0.11,0.0613,172.028,4,drum-and-bass
6LW3Z1GqbL78TIjfDyg4zp,Wilkinson;Becky Hill,Lazers Not Included,Afterglow,69,225172,False,0.516,0.915,7,-2.498,1,0.0562,0.0228,0.000789,0.125,0.0398,174.032,4,drum-and-bass
0OyM0Z2wdidouJdqQKT4e7,Friction;Kanine,Your Love,Your Love,58,250264,False,0.588,0.896,1,-1.779,1,0.0525,0.00152,0.00159,0.072,0.112,174.046,4,drum-and-bass
2qugfmw9Hi27DyIo2gite4,DJ Fresh,Gold Dust,Gold Dust - Radio Edit,65,192446,False,0.451,0.948,0,-0.74,1,0.147,0.255,0.0,0.392,0.295,176.985,4,drum-and-bass
4pfu1lEKJhRGTQf64cQPXd,Chase & Status;Tom Grennan,Tribe,All Goes Wrong,61,205253,False,0.454,0.782,6,-3.539,0,0.0498,0.0342,0.0,0.173,0.286,174.851,4,drum-and-bass
24hYr62Cz2iA3OOef8mykI,Pendulum;Skrillex,"The Island, Pt. 1 (Dawn) [Skrillex Remix]","The Island, Pt. 1 (Dawn) - Skrillex Remix",50,209583,False,0.667,0.747,9,-6.665,0,0.122,0.0333,0.00112,0.362,0.59,75.028,4,drum-and-bass
1LrYRj1iFsm9QJ72YqPTLY,Sigma;Paloma Faith,Life (Deluxe),Changing,62,205000,False,0.484,0.815,2,-3.833,1,0.0542,0.0997,0.0,0.164,0.353,171.079,4,drum-and-bass
4UZifG6wVTl3dFIeHKLi8y,NERO,Welcome Reality,Promises,56,257386,False,0.484,0.943,9,-4.364,0,0.0647,3.77e-05,0.00452,0.593,0.345,143.933,4,drum-and-bass
2nQyEHecmmt0WE43mOsScr,Krakota;Fred V;Tudor,Back To Me,Back To Me,55,255172,False,0.489,0.957,8,-2.697,1,0.0569,0.012,0.0768,0.197,0.0659,174.021,4,drum-and-bass
7eJqLdEQ96D5Xzc406xkeZ,Pendulum,Nothing For Free,Nothing For Free,56,183049,False,0.473,0.929,3,-3.825,0,0.0406,0.00353,0.000289,0.113,0.771,160.076,4,drum-and-bass
04OxTCLGgDKfO0MMA2lcxv,Chase & Status;Liam Bailey,No More Idols,Blind Faith,61,233666,False,0.45,0.846,9,-4.712,0,0.0472,0.00523,0.0,0.228,0.402,140.042,4,drum-and-bass
0a2cA9H6KuOsoHLCnjl6YL,Sub Focus;Dimension,Ready To Fly,Ready To Fly,64,204500,False,0.485,0.969,8,-0.517,0,0.0561,0.0485,0.664,0.192,0.448,173.941,4,drum-and-bass
2SSYLcSiT7oImgsS8cPyQu,DJ Fresh;Rita Ora,Nextlevelism,Hot Right Now (feat. RITA ORA) - Radio Edit,59,182333,False,0.524,0.972,4,-1.569,0,0.0431,0.00656,0.00058,0.224,0.476,175.017,4,drum-and-bass
1jfW9Ro29uuPlAUfnOqTVw,Sigma;Louisa Johnson,Here We Go Again,Here We Go Again,44,162584,False,0.535,0.842,4,-3.094,1,0.0846,0.132,0.0,0.148,0.598,152.807,4,drum-and-bass
507UUx311ghfFTMSuHUeyS,Sub Focus;Dimension,Desire (with Dimension),Desire (with Dimension),63,215172,False,0.537,0.906,8,-1.167,0,0.0651,0.133,0.0187,0.319,0.504,173.898,4,drum-and-bass
1gPJ3F2p8rwhlzr1AF58W7,Mefjus;Camo & Krooked,Sientelo,Sientelo,58,290742,False,0.528,0.934,1,0.42,1,0.168,0.00308,0.00614,0.084,0.41,174.91,4,drum-and-bass
2INMEN4ggEyB74SLqIT0hw,InsideInfo;Jakes,InsideInfo,Renegade,30,248372,False,0.567,0.975,7,-0.357,1,0.139,0.00146,0.424,0.0382,0.75,172.991,4,drum-and-bass
3wUpXD6yvVDJX0m06Bpenq,Dynamite MC;Rookwood,World of Dynamite (Deluxe),After Party,36,201954,False,0.839,0.578,0,-6.337,1,0.0638,0.0163,7.86e-06,0.0843,0.55,102.998,4,drum-and-bass
3WNzOFBAbi5Cc72223avI7,DJ Fresh;Fox Stevenson,Gold Dust (Fox Stevenson Remix),Gold Dust - Fox Stevenson Remix,57,233103,False,0.543,0.981,0,0.836,1,0.049,0.0031,0.00125,0.151,0.428,173.998,4,drum-and-bass
5ami95W9OOWQPwrBb5tud5,Pendulum,Immersion,Watercolour - Full Version; Single,58,304106,False,0.421,0.896,5,-5.696,0,0.103,0.000174,0.039,0.323,0.169,174.065,4,drum-and-bass
5UvLQncwvEGiRLn0xEZw45,Sub Focus,Off The Ground,Off The Ground,67,242750,False,0.582,0.791,0,-3.643,0,0.0427,0.0296,0.105,0.118,0.0422,174.01,4,drum-and-bass
