track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
5zviMoAeuerK1Rd58qXASv,ILLENIUM;Teddy Swims,All That Really Matters,All That Really Matters,70,244235,False,0.352,0.666,1,-4.909,1,0.0512,0.117,1.81e-06,0.0934,0.227,169.965,4,dub
6pooRNiLyYpxZeIA5kJ5EX,ILLENIUM;Jon Bellion,Good Things Fall Apart (with Jon Bellion),Good Things Fall Apart (with Jon Bellion),64,216668,False,0.643,0.594,2,-5.453,1,0.0318,0.0128,0.0,0.118,0.442,144.033,4,dub
7Bx0oBgnEfVR2bCs6Aul0X,ILLENIUM;MAX,Worst Day,Worst Day,0,167274,False,0.534,0.839,2,-2.951,1,0.053,0.0698,0.0,0.264,0.576,155.002,4,dub
39glqzRVRAy4vq3PqeTGb8,SLANDER;Dylan Matthew,Love Is Gone,Love Is Gone,67,256042,False,0.452,0.465,4,-10.006,0,0.0344,0.0589,0.000524,0.095,0.0832,149.586,4,dub
06kxa3al7bUqRRo5nAFduZ,ILLENIUM;Annika Wells,Nightlight,Nightlight,61,222400,False,0.494,0.651,11,-4.127,0,0.0384,0.0819,0.0,0.104,0.162,149.979,4,dub
0hJy4BGWgVsqbrYGoyMW2y,ILLENIUM;Skylar Grey,Worst Day,From The Ashes (with Skylar Grey),0,253983,False,0.404,0.789,2,-4.516,1,0.0566,0.0243,0.000231,0.226,0.159,154.858,4,dub
0iajFCLXYYqX2XS6q4ptsF,ILLENIUM;Teddy Swims,Worst Day,All That Really Matters,0,244235,False,0.352,0.666,1,-4.909,1,0.0512,0.117,1.81e-06,0.0934,0.227,169.965,4,dub
2eFjKl5cyPPYElDByCh6Tb,ILLENIUM;iann dior,First Time,First Time,62,165779,False,0.526,0.667,9,-5.451,1,0.0437,0.0505,0.0,0.321,0.43,155.085,4,dub
4ngQO2l7l5hAGKDo9q8QDw,ILLENIUM;Spiritbox,Worst Day,Shivering (feat. Spiritbox),0,300916,False,0.428,0.907,4,-3.063,0,0.163,0.00594,1.71e-06,0.129,0.244,149.955,4,dub
5fWRLdgfMlbKDncAhdN9zI,Said The Sky;ILLENIUM;Chelsea Cutler,Sentiment,Walk Me Home,58,216125,False,0.4,0.485,8,-7.145,0,0.0369,0.0789,0.0,0.135,0.211,159.909,3,dub
7xnElMPFCmSlMJ0AY2hnxc,Whales;Fraxo;Lox Chatterbox,Dead To Me Slow + Reverb,Dead To Me - Slow + Reverb,73,267227,False,0.682,0.543,1,-8.66,1,0.0688,0.261,0.0,0.108,0.112,127.526,4,dub
7LUsIrW9BlMJs3WhXne9Ue,PhaseOne;Kai Wachi,Death Waltz,Death Waltz,53,166400,False,0.599,0.912,6,-2.373,0,0.0429,3.34e-05,0.0188,0.247,0.0385,112.517,3,dub
1TURPL0kG4SEOanrx37yeo,Manudigital;Joseph Cotton,Only Just Begun,Only Just Begun,57,204032,True,0.831,0.854,7,-4.275,1,0.105,0.439,6.69e-06,0.147,0.743,93.025,4,dub
2CgOd0Lj5MuvOqzqdaAXtS,Porter Robinson;Madeon,Shelter,Shelter,66,218964,False,0.276,0.796,0,-4.499,1,0.0579,0.00293,0.0,0.184,0.26,199.526,4,dub
19m23w2ANVhtB7rApM6pbN,SLANDER;William Black,Back To U,Back To U,57,214400,True,0.586,0.499,4,-6.627,1,0.049,0.645,0.0,0.109,0.272,149.79,4,dub
1g7j5AxiNKTGjryhFIlAsA,ILLENIUM;Sueco;Trippie Redd,Story Of My Life (feat. Trippie Redd),Story Of My Life (feat. Trippie Redd),65,191124,False,0.521,0.892,3,-4.029,1,0.0433,0.0539,0.0,0.117,0.369,96.991,4,dub
1u7g6VLbqwqDeOhCKvUxv2,Whales;Fraxo;Lox Chatterbox,Dead To Me,Dead To Me - Original Mix,57,230282,False,0.384,0.772,8,-4.358,0,0.311,0.114,0.0,0.102,0.239,73.735,4,dub
4s9eMbBfWUDtBEFHC7sNp7,ILLENIUM;iann dior,Fallen Embers,First Time,61,165779,False,0.526,0.667,9,-5.451,1,0.0437,0.0505,0.0,0.321,0.43,155.085,4,dub
70YPzqSEwJvAIQ6nMs1cjY,ILLENIUM;X Ambassadors,ASCEND,In Your Arms (with X Ambassadors),63,220730,False,0.404,0.806,2,-4.75,1,0.0496,0.198,0.0,0.114,0.112,148.036,4,dub
5dAtKXyrQoQW054LZqJ5dP,ILLENIUM;Excision;I Prevail,Feel Something (With I Prevail),Feel Something (With I Prevail),65,221000,False,0.428,0.877,5,-4.722,0,0.0835,0.00153,0.00372,0.0943,0.113,75.518,4,dub
3bEkAkaKjxaC7DubsfCo1t,ILLENIUM;Skylar Grey,From The Ashes (with Skylar Grey),From The Ashes (with Skylar Grey),67,253983,False,0.404,0.789,2,-4.516,1,0.0566,0.0243,0.000231,0.226,0.159,154.858,4,dub
17Efhyf4A96n0EFXKeB7Ya,ILLENIUM;Bahari,ASCEND,Crashing (feat. Bahari),57,230000,False,0.582,0.681,5,-6.138,1,0.0458,0.342,0.0,0.186,0.273,95.995,4,dub
4KIoBpLdHX7nERPfDROJWR,Krewella;NERVO;Raja Kumari,Goddess,Goddess,52,177499,True,0.707,0.866,1,-4.097,1,0.0707,0.0772,0.000698,0.0841,0.277,95.932,4,dub
0EB5fgdGQXZOiOMdRhKeCZ,Hairitage;Rico Act,Triumph EP,40 Cal,61,200071,True,0.613,0.933,11,-2.29,1,0.297,0.00679,1.75e-06,0.346,0.357,75.005,4,dub
42Kla7E5bUL6tVqeaXaF2b,Midnight Tyrannosaurus,Black Label XL 5,The Warp,45,187874,False,0.542,0.925,6,-4.241,0,0.53,0.0158,1.07e-05,0.0931,0.14,108.535,4,dub
3WBRfkOozHEsG0hbrBzwlm,Porter Robinson;League of Legends,Everything Goes On,Everything Goes On,73,202821,False,0.55,0.648,7,-6.542,1,0.0309,0.0191,0.0,0.0999,0.323,156.957,4,dub
1bAhB2a2UeacLYrizlVfHG,ILLENIUM;X Ambassadors;Alan Walker,In Your Arms (with X Ambassadors) [Alan Walker Remix],In Your Arms (with X Ambassadors) [Alan Walker Remix],53,249264,False,0.496,0.691,2,-5.443,1,0.046,0.0697,1.7e-06,0.112,0.199,159.885,4,dub
3q31VHrRCF6slDPd4VIkRn,SLANDER;Danny Olson;Dylan Matthew,Love Is Gone - Danny Olson Remix,Love Is Gone - Danny Olson Remix,51,213463,False,0.246,0.539,7,-6.327,1,0.0408,0.0104,0.000132,0.094,0.194,153.597,4,dub
3muwzbbtusaWtqhvJG7Sti,SYN,Psycho,Psycho,50,200727,True,0.551,0.967,9,-1.17,1,0.206,0.00216,0.271,0.645,0.341,110.09,4,dub
3LxG9HkMMFP0MZuiw3O2rF,ILLENIUM;Jon Bellion,ASCEND,Good Things Fall Apart (with Jon Bellion),63,216668,False,0.643,0.603,2,-5.416,1,0.0311,0.012,0.0,0.118,0.42,144.01,4,dub
1Ylkd7GPx0VpwHNlAGpig2,SLANDER;Dylan Matthew,Replay (with Dylan Matthew),Replay (with Dylan Matthew),58,241411,False,0.209,0.634,9,-7.689,1,0.0538,0.000904,0.0,0.131,0.105,170.213,4,dub
6YBXCM0mLWNA6aLzFUNtEq,William Black;Monika Santucci,Pages,Deep Blue,53,201600,False,0.564,0.722,11,-5.453,1,0.0444,0.566,1.26e-06,0.323,0.244,150.042,4,dub
7uDjywLMNvTwD4WVYo9Yoh,Whales,Gilded Cage,Gilded Cage,32,136000,False,0.698,0.744,6,-3.082,1,0.158,0.0132,0.0261,0.214,0.56,100.667,3,dub
03tp1TUFVJRt1HuWGlpRy8,Sonic Journey,No More Tears,No More Tears,46,167014,False,0.65,0.632,8,-8.374,1,0.037,0.388,0.00875,0.134,0.352,97.046,4,dub
0pzGsgrMvEtHZW6XzpY6Cs,Miles Away;Claire Ridgely,Bring Me Back,Bring Me Back,52,219000,False,0.495,0.619,8,-4.774,1,0.0317,0.164,2.13e-06,0.118,0.25,139.988,4,dub
4cuBQhxCjoXW9EX2UqeQwo,Varien;Andrew Zink,Can You Feel My Heart,Can You Feel My Heart,63,232200,False,0.258,0.747,4,-4.857,0,0.0417,0.00689,1.2e-06,0.37,0.321,120.619,4,dub
5ZAUiOlYURVJEJ5ktV03v5,Culture Code;Karra,Make Me Move,Make Me Move,61,197052,False,0.537,0.65,8,-4.665,0,0.0415,0.215,0.000122,0.1,0.358,95.056,4,dub
1UtRBq2n0IlQNA1WI3axWX,William Black,Pieces,Deep End,51,208421,False,0.63,0.706,5,-5.989,1,0.0289,0.0991,0.0,0.119,0.215,114.028,4,dub
6HfZTdkheqDGQQwQGRV8et,SLANDER;Dylan Matthew,Thrive,Love Is Gone,52,254136,False,0.426,0.586,4,-6.279,0,0.0358,0.0644,0.000542,0.0992,0.0785,152.205,4,dub
