track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
5zviMoAeuerK1Rd58qXASv,ILLENIUM;Teddy Swims,All That Really Matters,All That Really Matters,70,244235,False,0.352,0.666,1,-4.909,1,0.0512,0.117,1.81e-06,0.0934,0.227,169.965,4,dubstep
6pooRNiLyYpxZeIA5kJ5EX,ILLENIUM;Jon Bellion,Good Things Fall Apart (with Jon Bellion),Good Things Fall Apart (with Jon Bellion),64,216668,False,0.643,0.594,2,-5.453,1,0.0318,0.0128,0.0,0.118,0.442,144.033,4,dubstep
7Bx0oBgnEfVR2bCs6Aul0X,ILLENIUM;MAX,Worst Day,Worst Day,0,167274,False,0.534,0.839,2,-2.951,1,0.053,0.0698,0.0,0.264,0.576,155.002,4,dubstep
2eFjKl5cyPPYElDByCh6Tb,ILLENIUM;iann dior,First Time,First Time,62,165779,False,0.526,0.667,9,-5.451,1,0.0437,0.0505,0.0,0.321,0.43,155.085,4,dubstep
39glqzRVRAy4vq3PqeTGb8,SLANDER;Dylan Matthew,Love Is Gone,Love Is Gone,67,256042,False,0.452,0.465,4,-10.006,0,0.0344,0.0589,0.000524,0.095,0.0832,149.586,4,dubstep
0hJy4BGWgVsqbrYGoyMW2y,ILLENIUM;Skylar Grey,Worst Day,From The Ashes (with Skylar Grey),0,253983,False,0.404,0.789,2,-4.516,1,0.0566,0.0243,0.000231,0.226,0.159,154.858,4,dubstep
0iajFCLXYYqX2XS6q4ptsF,ILLENIUM;Teddy Swims,Worst Day,All That Really Matters,0,244235,False,0.352,0.666,1,-4.909,1,0.0512,0.117,1.81e-06,0.0934,0.227,169.965,4,dubstep
06kxa3al7bUqRRo5nAFduZ,ILLENIUM;Annika Wells,Nightlight,Nightlight,61,222400,False,0.494,0.651,11,-4.127,0,0.0384,0.0819,0.0,0.104,0.162,149.979,4,dubstep
4ngQO2l7l5hAGKDo9q8QDw,ILLENIUM;Spiritbox,Worst Day,Shivering (feat. Spiritbox),0,300916,False,0.428,0.907,4,-3.063,0,0.163,0.00594,1.71e-06,0.129,0.244,149.955,4,dubstep
7xnElMPFCmSlMJ0AY2hnxc,Whales;Fraxo;Lox Chatterbox,Dead To Me Slow + Reverb,Dead To Me - Slow + Reverb,73,267227,False,0.682,0.543,1,-8.66,1,0.0688,0.261,0.0,0.108,0.112,127.526,4,dubstep
7LUsIrW9BlMJs3WhXne9Ue,PhaseOne;Kai Wachi,Death Waltz,Death Waltz,53,166400,False,0.599,0.912,6,-2.373,0,0.0429,3.34e-05,0.0188,0.247,0.0385,112.517,3,dubstep
5fWRLdgfMlbKDncAhdN9zI,Said The Sky;ILLENIUM;Chelsea Cutler,Sentiment,Walk Me Home,58,216125,False,0.4,0.485,8,-7.145,0,0.0369,0.0789,0.0,0.135,0.211,159.909,3,dubstep
2CgOd0Lj5MuvOqzqdaAXtS,Porter Robinson;Madeon,Shelter,Shelter,66,218964,False,0.276,0.796,0,-4.499,1,0.0579,0.00293,0.0,0.184,0.26,199.526,4,dubstep
70YPzqSEwJvAIQ6nMs1cjY,ILLENIUM;X Ambassadors,ASCEND,In Your Arms (with X Ambassadors),63,220730,False,0.404,0.806,2,-4.75,1,0.0496,0.198,0.0,0.114,0.112,148.036,4,dubstep
1u7g6VLbqwqDeOhCKvUxv2,Whales;Fraxo;Lox Chatterbox,Dead To Me,Dead To Me - Original Mix,57,230282,False,0.384,0.772,8,-4.358,0,0.311,0.114,0.0,0.102,0.239,73.735,4,dubstep
19m23w2ANVhtB7rApM6pbN,SLANDER;William Black,Back To U,Back To U,57,214400,True,0.586,0.499,4,-6.627,1,0.049,0.645,0.0,0.109,0.272,149.79,4,dubstep
1g7j5AxiNKTGjryhFIlAsA,ILLENIUM;Sueco;Trippie Redd,Story Of My Life (feat. Trippie Redd),Story Of My Life (feat. Trippie Redd),65,191124,False,0.521,0.892,3,-4.029,1,0.0433,0.0539,0.0,0.117,0.369,96.991,4,dubstep
5dAtKXyrQoQW054LZqJ5dP,ILLENIUM;Excision;I Prevail,Feel Something (With I Prevail),Feel Something (With I Prevail),65,221000,False,0.428,0.877,5,-4.722,0,0.0835,0.00153,0.00372,0.0943,0.113,75.518,4,dubstep
4s9eMbBfWUDtBEFHC7sNp7,ILLENIUM;iann dior,Fallen Embers,First Time,61,165779,False,0.526,0.667,9,-5.451,1,0.0437,0.0505,0.0,0.321,0.43,155.085,4,dubstep
3bEkAkaKjxaC7DubsfCo1t,ILLENIUM;Skylar Grey,From The Ashes (with Skylar Grey),From The Ashes (with Skylar Grey),67,253983,False,0.404,0.789,2,-4.516,1,0.0566,0.0243,0.000231,0.226,0.159,154.858,4,dubstep
17Efhyf4A96n0EFXKeB7Ya,ILLENIUM;Bahari,ASCEND,Crashing (feat. Bahari),57,230000,False,0.582,0.681,5,-6.138,1,0.0458,0.342,0.0,0.186,0.273,95.995,4,dubstep
3WBRfkOozHEsG0hbrBzwlm,Porter Robinson;League of Legends,Everything Goes On,Everything Goes On,73,202821,False,0.55,0.648,7,-6.542,1,0.0309,0.0191,0.0,0.0999,0.323,156.957,4,dubstep
