track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
7cWnks0lsRtpAi87COOiXK,Salim–Sulaiman;Rahat Fateh Ali Khan;Jaideep Sahni,Aaja Nachle,O Re Piya,71,379768,False,0.586,0.532,11,-8.837,0,0.0328,0.779,0.000565,0.124,0.494,99.994,4,folk
2iNqdCchlUZEgjJbQyZf8T,Kailash Kher;Paresh Kamath;Naresh Kamath,Kailasa,Teri Deewani,63,323520,False,0.447,0.6,4,-3.718,0,0.0332,0.324,0.0,0.0962,0.434,80.044,3,folk
1rDjwexewf4hrdZT7SRNsH,Faridkot;Amar Jalal,Nasha (Equals Sessions) - Single,Nasha (Equals Sessions),70,287573,False,0.78,0.46,6,-7.516,1,0.0851,0.455,0.000141,0.061,0.788,124.007,4,folk
08kTa3SL9sV6Iy8KLKtGql,Prateek Kuhad,Kasoor,Kasoor,70,197549,False,0.558,0.497,8,-7.175,1,0.0256,0.0285,5.36e-06,0.0799,0.444,107.047,4,folk
7uhINGViZPygI2AljxO8KN,Prateek Kuhad,cold/mess,cold/mess,61,281218,False,0.509,0.477,11,-6.571,1,0.0262,0.309,0.0168,0.158,0.283,146.031,3,folk
3hRV0jL3vUpRrcy398teAU,Lord Huron,Strange Trails,The Night We Met,83,208211,False,0.544,0.369,2,-9.514,1,0.038,0.969,0.279,0.639,0.102,87.01,3,folk
1gWtHDe403RuyZqhvSRcv8,Prateek Kuhad,Tune Kaha,Tune Kaha,56,216885,False,0.362,0.763,3,-8.514,1,0.0589,0.015,0.00481,0.237,0.431,187.291,4,folk
77mchfS0bncdYZgRxxJxLn,Kailash Kher,Jai Shri Mahakal,Jai Shri Mahakal,32,270324,False,0.378,0.791,11,-7.482,0,0.223,0.777,0.0,0.0583,0.848,90.836,1,folk
3A04b0nJb2nAzGUw2rqDsI,Achint,Scam 1992 Theme Music,Scam 1992 Theme Music,54,86206,False,0.516,0.486,4,-11.45,0,0.0249,0.00411,0.277,0.34,0.454,87.045,4,folk
1PZZtXR7nsNIyRcqd7UeiF,Piyush Mishra,Gulaal,Aarambh,67,295866,False,0.693,0.778,1,-8.087,0,0.248,0.555,0.0,0.094,0.282,125.025,4,folk
117gRrOjnRkMCgWxNtDNSv,Prateek Kuhad,Shehron Ke Raaz,Kasoor - Acoustic,57,213306,False,0.62,0.111,6,-14.142,1,0.0355,0.896,0.00135,0.113,0.477,127.96,5,folk
0jZO7p0nBUi9VHedWUBS9l,Lord Huron;Phoebe Bridgers,13 Reasons Why (Season 2),The Night We Met (feat. Phoebe Bridgers),68,208173,False,0.424,0.437,2,-8.588,1,0.0355,0.962,0.336,0.664,0.131,174.127,3,folk
4cNOOkWBjY41prOyd2r6Jz,Divya Kumar;Neeti Mohan,Baahubali - The Beginning,Manohari,55,216742,False,0.583,0.8,4,-6.95,0,0.0863,0.0864,0.0,0.115,0.797,159.998,4,folk
2vR23BjIzpLMtzsyKrM6Mb,Kailash Kher;Paresh Kamath;Naresh Kamath,Kailasa Jhoomo Re,Saiyyan,70,343906,False,0.473,0.562,0,-8.624,1,0.0451,0.65,0.000117,0.12,0.316,74.653,3,folk
1Fid2jjqsHViMX6xNH70hE,Seafret,Tell Me It's Real (Expanded Edition),Atlantis,90,229173,False,0.4,0.479,8,-7.989,0,0.0308,0.0529,2.14e-06,0.115,0.213,166.159,4,folk
1VcuJEXx7wZ81QrIXKYTlC,Kailash Kher;Sahil Kulkarni,Khatola,Khatola,40,221400,False,0.848,0.579,0,-9.111,1,0.145,0.256,1.58e-06,0.169,0.961,99.942,4,folk
12P8gSLA1zX3GqKjyAvUKy,Kailash Kher,Bahubali- The Conclusion,Jay-Jaykara,56,211902,False,0.603,0.72,2,-7.636,0,0.0616,0.783,9.14e-05,0.42,0.695,91.991,4,folk
3nKEiJUeaWn8q2O9I1xwlB,Salim–Sulaiman;Sonu Nigam;Shreya Ghoshal;Salim Merchant,Kurbaan (Original Motion Picture Soundtrack),Shukran Allah,64,290053,False,0.432,0.695,1,-8.022,1,0.111,0.732,0.0014,0.274,0.513,116.153,3,folk
77IPBSEbMAiH7gOGfLllKz,Kailash Kher;VIBIE,Saiyyan (Lofi Flip),Saiyyan - Lofi Flip,54,267834,False,0.52,0.464,0,-8.963,1,0.124,0.961,0.855,0.183,0.132,179.978,4,folk
2qHiyBpxyOXnRGG3t2iE96,Phillip Phillips,The World From The Side Of The Moon,"Gone, Gone, Gone",67,209693,False,0.664,0.642,6,-5.961,1,0.038,0.129,0.0,0.114,0.501,118.002,4,folk
5DyYcwMw0f6z3FefXNLOHv,Salim–Sulaiman;Sonu Nigam;Shreya Ghoshal;Jaideep Sahni,Aaja Nachle,Ishq Hua,57,263026,False,0.405,0.745,2,-7.914,0,0.108,0.657,0.00552,0.117,0.751,87.452,4,folk
5NORWMFC27ywGSZxi8uquP,The Lumineers,Cleopatra,Ophelia,79,160097,False,0.664,0.573,5,-6.519,1,0.0277,0.613,0.000363,0.0857,0.566,76.023,4,folk
2pUpNOgJBIBCcjyQZQ00qU,Passenger,All the Little Lights (Deluxe),Let Her Go,75,252733,False,0.445,0.541,7,-7.36,1,0.0736,0.359,0.0,0.109,0.217,76.289,4,folk
6osLH2yLhpwuESclKx84sg,When Chai Met Toast,Joy of Little Things,Joy of Little Things,53,239666,False,0.509,0.611,9,-5.786,1,0.0334,0.185,0.0,0.116,0.208,100.155,4,folk
2lntQGHk2ZQkyyrnpcu5sJ,Papon,Mujhe Kaise Pata Na Chala,Mujhe Kaise Pata Na Chala,55,317078,False,0.365,0.404,7,-7.228,1,0.0438,0.813,0.0,0.291,0.308,75.002,4,folk
3u6PxWema1snbjLbFEyjkJ,Seafret,Atlantis,Atlantis - Extra Sped Up Version,78,190758,False,0.471,0.561,11,-7.068,0,0.03,0.0472,1.91e-06,0.122,0.215,99.808,4,folk
7CDP4uXu6mkBDzaTOx9yTS,Salim–Sulaiman;Benny Dayal;Amitabh Bhattacharya,Ladies Vs Ricky Bahl,Aadat Se Majboor,56,277760,False,0.836,0.629,9,-7.812,0,0.0788,0.359,3.01e-05,0.101,0.801,115.048,4,folk
7yq4Qj7cqayVTp3FF9CWbm,Vance Joy,Dream Your Life Away,Riptide,82,204280,False,0.484,0.731,1,-6.694,1,0.0379,0.431,0.0,0.151,0.51,101.654,4,folk
4w2W5Gh1GjbbSWGF0TD2iC,Kailash Kher;Mounima,Baahubali - The Beginning,Kaun Hain Voh,59,197984,False,0.468,0.742,4,-8.229,0,0.0844,0.333,1.39e-05,0.0825,0.372,147.014,3,folk
3FTRSa9mWB3kKx2jkhUAN3,Prateek Kuhad,Tum Jab Paas - Single,Tum Jab Paas,60,235932,False,0.751,0.344,6,-7.712,1,0.0379,0.528,1.62e-06,0.113,0.471,122.1,3,folk
4137w3YEeQSgz52qxyjxHR,Papon,Special 26,Kaun Mera,55,172942,False,0.63,0.376,2,-9.814,1,0.0252,0.416,0.000179,0.0954,0.347,100.969,1,folk
6l1VsKiMyaUWElFrM1rsuu,Prateek Kuhad,Karwaan,Saansein,54,266041,False,0.693,0.518,1,-9.146,1,0.0282,0.653,0.531,0.138,0.374,128.041,4,folk
74AqVxZ3oXwJ8olHssBUG3,Salim–Sulaiman;Sunidhi Chauhan;Amitabh Bhattacharya,Band Baaja Baaraat,Ainvayi Ainvayi,58,267624,False,0.689,0.742,3,-7.571,0,0.0413,0.0339,0.0046,0.0928,0.876,155.986,4,folk
5wNpnKRUxbPoIpDXFZ5NkU,Nusrat Fateh Ali Khan;A1Melodymaster,Reformed,Sochta Houn,59,277278,False,0.8,0.634,1,-5.895,0,0.132,0.356,0.000605,0.0733,0.46,100.001,4,folk
4sNiMTu47WkUgW87qeUlWF,Nusrat Fateh Ali Khan;Rahat Fateh Ali Khan,Baadshaho,Mere Rashke Qamar,65,220382,False,0.718,0.83,4,-5.488,0,0.0505,0.404,2.5e-05,0.124,0.771,105.012,4,folk
4QSF0d4ENvMXA03ARpMfaP,Mame Khan,Coke Studio @ MTV Season 2: Episode 3,Chaudhary,59,423613,False,0.452,0.703,6,-6.523,1,0.195,0.484,9.32e-06,0.121,0.813,172.039,4,folk
7wKwX3QFmx3icbH7iKVPe4,Kabir Cafe,Panchrang,Matkar Maya Ko Ahankar,54,365672,False,0.796,0.517,1,-6.289,1,0.0257,0.613,1.28e-05,0.138,0.614,107.475,1,folk
6Y1cH3RzDCMWGQtOS0HmP8,Kailash Kher,Waisa Bhi Hota Hai Part 2,Allah Ke Bande,62,246883,False,0.543,0.44,7,-8.595,1,0.0597,0.795,0.0,0.224,0.726,125.53,5,folk
5aQe0faFOjeskrHwpleXLJ,When Chai Met Toast,Yellow Paper Daisy,Yellow Paper Daisy,55,199772,False,0.428,0.442,7,-10.485,1,0.0303,0.775,0.000132,0.0818,0.687,105.829,4,folk
1TkyDEdjiUuYhoMkxdZCiO,Prateek Kuhad,Tere Hi Hum,Tere Hi Hum,58,177026,False,0.738,0.305,0,-9.667,1,0.0286,0.851,1.74e-05,0.15,0.489,116.07,1,folk
1opxtm6zIv7IF19S0eCtvV,Salim–Sulaiman;Vishal Dadlani;Shweta Pandit;Amitabh Bhattacharya,Ladies Vs Ricky Bahl,Thug Le,56,218932,False,0.768,0.788,1,-5.514,1,0.0687,0.0992,2.94e-05,0.103,0.931,112.988,4,folk
555NYWQ1PbmLJiTW6XFwtr,Raghu Dixit,Just Maath Maathali,Munjaane Manjalli,52,340244,False,0.39,0.505,9,-8.671,1,0.0381,0.421,0.0,0.0918,0.28,113.706,4,folk
7nr3RAMpV11jb07Rw2sfzk,Nusrat Fateh Ali Khan;Afternight Vibes,"Revamped, Vol. 3 (Remix)",Dil Pe Zakham Khate Hain,58,284514,False,0.788,0.55,11,-7.747,0,0.189,0.173,0.433,0.0937,0.497,101.953,4,folk
2aHz87L2Z4a0ZEQ7vMlH8z,Salim–Sulaiman;Hema Sardesai;Jaideep Sahni,Chak De India,Badal Pe Paon Hai,54,243931,False,0.649,0.788,9,-9.607,1,0.0373,0.0717,0.00232,0.0936,0.869,104.999,4,folk
6D3vmtskO4RbZP3bBIDY3X,Salim–Sulaiman;Sukhwinder Singh;Marianne D'Cruz;Jaideep Sahni,Chak De India,Chak De India,55,283951,False,0.755,0.894,4,-8.544,0,0.0993,0.54,1.55e-05,0.141,0.799,104.985,4,folk
6nOf8jSSBzVVXXLz03dsrL,Vance Joy,Mellow Adult Pop,Call If You Need Me,0,163720,False,0.748,0.573,0,-6.057,1,0.0332,0.879,0.00581,0.0989,0.463,110.204,4,folk
3hhEJDjZDyG1M2fYJXY45R,The Lumineers,Chill Christmas Dinner,Pretty Paper,0,170493,False,0.452,0.267,8,-9.081,1,0.0407,0.856,0.129,0.114,0.148,159.606,3,folk
5sZgqfSApUfLjyPnql7i4M,The Lumineers,Calm Christmas,Pretty Paper,0,170493,False,0.452,0.267,8,-9.081,1,0.0407,0.856,0.129,0.114,0.148,159.606,3,folk
3uit1VjYh9PzjVdpuJNkP8,The Lumineers,Calm Christmas,Blue Christmas,0,182703,False,0.661,0.22,1,-8.31,1,0.0298,0.742,6.09e-06,0.115,0.274,102.771,3,folk
7EIuaWFdD2GovJs3pGcYFN,The Lumineers,Christmas Day Chill,Blue Christmas,0,182703,False,0.661,0.22,1,-8.31,1,0.0298,0.742,6.09e-06,0.115,0.274,102.771,3,folk
2n48BjaFSczfeIG3HaIaPv,Tom Walker,Just You and I,Just You and I,62,174982,False,0.567,0.696,9,-5.416,1,0.301,0.456,0.0,0.113,0.544,92.061,4,folk
1Y3W451uvsj7cz5KSaZFjn,Salim–Sulaiman;Sunidhi Chauhan;King,Doob Ja,Doob Ja,20,246844,False,0.72,0.691,1,-4.48,1,0.0496,0.457,2.94e-05,0.0768,0.377,134.953,4,folk
4sDbdBjuYQVdNNB4PiHUPo,Hollow Coves,Wanderlust,Coastline,74,233973,False,0.67,0.496,2,-11.23,1,0.0277,0.627,0.00319,0.0584,0.427,100.17,4,folk
2FGBAvdswjz67iMGUXgBZD,Faridkot;Amar Jalal,Equals Sessions (Season 1),Nasha (Equals Sessions),53,287573,False,0.78,0.46,6,-7.516,1,0.0851,0.455,0.000141,0.061,0.788,124.007,4,folk
4QK1qv4mgsfdWmMzp1Z3fx,When Chai Met Toast,Believe,Khoj (Passing By),52,212571,False,0.58,0.636,2,-6.649,1,0.0262,0.191,0.0313,0.0915,0.38,105.037,3,folk
0ekuaPp7dcww2tlJsa3imW,Salim–Sulaiman;Ayisha Abdul Basith;Salim Merchant,Salaam,Salaam,38,306994,False,0.511,0.468,7,-8.218,0,0.0305,0.762,0.0,0.0869,0.353,139.97,4,folk
0q1EaeaqfLBLqRvlkSbYi9,Papon;Harrlin,Kyon (Lofi Flip),Kyon - Lofi Flip,51,97822,False,0.582,0.419,2,-11.27,1,0.0358,0.403,0.129,0.133,0.183,99.169,4,folk
1bJAynHEPbXhmaezqhnPTu,Nusrat Fateh Ali Khan,DilLagi,Tumhe Dil Lagi Bhool Jani Padegi,51,983431,False,0.514,0.642,4,-11.835,1,0.246,0.17,0.0,0.262,0.81,78.657,4,folk
1YYhDizHx7PnDhAhko6cDS,John Denver,"Poems, Prayers and Promises","Take Me Home, Country Roads",73,190160,False,0.462,0.395,9,-9.376,1,0.0264,0.758,0.0,0.121,0.625,82.259,4,folk
1afITFFlf2Sg7JVhND5RZK,Nusrat Fateh Ali Khan,Sangam And Salaalm,Afreen Afreen,51,348986,False,0.808,0.402,11,-16.804,0,0.392,0.731,0.153,0.197,0.633,100.012,4,folk
1PH0yXNGtSZbL2eufpgFJ4,Salim–Sulaiman;Vishal Dadlani,Kurbaan (Original Motion Picture Soundtrack),Kurbaan Hua,49,259360,False,0.54,0.718,2,-6.169,0,0.0429,0.022,0.000119,0.248,0.526,166.003,4,folk
5tJqtSvAfTJkMrV4Wst4Le,Prateek Kuhad,cold/mess,100 words,52,210420,False,0.518,0.44,3,-14.536,1,0.034,0.888,0.457,0.111,0.575,76.154,4,folk
44uOreAESeRIBaxkuCW4wN,The Lumineers,Cleopatra,Sleep On The Floor,70,211851,False,0.389,0.431,7,-8.061,1,0.0344,0.249,0.0,0.13,0.275,142.14,4,folk
6KtNLc95StBKfOmFDAoTwi,Nusrat Fateh Ali Khan,Best Urdu Qawwalies,Kali Kali Zulfon Ke Phande Na,53,859345,False,0.4,0.694,3,-8.486,1,0.0621,0.573,0.0,0.874,0.727,153.902,3,folk
0fxglD52oLxhKpVv2od1x9,Kailash Kher,Adiyogi (The Source of Yoga),Adiyogi (The Source of Yoga),52,393219,False,0.611,0.512,11,-12.533,0,0.0361,0.3,0.000851,0.219,0.263,99.987,1,folk
3hB9lDLyAClYVZivMMl20N,Prateek Kuhad,The Way That Lovers Do,Co2,53,163653,False,0.533,0.678,1,-5.244,1,0.0256,0.663,0.0,0.145,0.683,80.96,4,folk
3TaoFBplKZB4AclYV2cDwT,When Chai Met Toast,Joy of Little Things,Firefly,50,218000,False,0.533,0.828,11,-5.533,1,0.0353,0.161,0.00242,0.0588,0.391,79.947,4,folk
40riOy7x9W7GXjyGp4pjAv,Eagles,Hotel California (2013 Remaster),Hotel California - 2013 Remaster,84,391376,False,0.579,0.508,2,-9.484,1,0.027,0.00574,0.000494,0.0575,0.609,147.125,4,folk
4sO9tnvCH3DJZ3AAXoixjd,Prateek Kuhad,Mismatched (Music from the Netflix Original Series),Kahaan Ho Tum,53,155289,False,0.714,0.393,5,-10.157,1,0.0754,0.733,0.00192,0.123,0.72,67.589,4,folk
0OWzDem8abfJvWpQcssjIE,Salim–Sulaiman;Krishna;Jaideep Sahni,Chak De India,Maula Mere Lele Meri Jaan,52,288365,False,0.636,0.41,7,-10.372,1,0.0277,0.941,0.000717,0.125,0.516,115.003,1,folk
37Z0JtMr9BBTpD1TPClCY3,Divya Kumar,Badlapur (Original Motion Picture Soundtrack),Jee Karda - Rock Version,51,239285,False,0.61,0.834,11,-6.918,0,0.0685,0.413,0.0,0.255,0.681,139.994,4,folk
0fcZ3nL9h1PV4mZKngBYxf,Vidhi Sharma,Ram Stuti (Shri Ram Chandra Kripalu Bhajman),Ram Stuti - Shri Ram Chandra Kripalu Bhajman,51,384235,False,0.687,0.819,8,-3.356,1,0.0231,0.441,5.2e-06,0.11,0.501,99.989,1,folk
7FROOyFNVDaTbnnBcghUXL,Kailash Kher,Chandni Chowk To China,Chak Lein De,50,262687,False,0.709,0.779,8,-8.187,1,0.041,0.334,0.000266,0.387,0.611,129.022,4,folk
7qH9Z4dJEN0l9bidizW7fq,Novo Amor,Bathing Beach,Anchor,75,257533,False,0.457,0.407,9,-11.475,1,0.0308,0.805,0.884,0.126,0.126,117.053,4,folk
7ibelrkhyU0Nd8AW1cjPil,Aamir Khan;6n,Surma,Surma,51,235128,False,0.665,0.854,0,-4.916,1,0.104,0.731,0.0,0.155,0.48,72.457,4,folk
5h1L6nOR9QYXeeNW14aeus,Prateek Kuhad,Pause,Pause,51,171149,False,0.619,0.277,11,-11.771,1,0.0322,0.892,0.0542,0.116,0.435,111.576,4,folk
6q7bXTv3yBedHblKRoC5uu,Prateek Kuhad,Karwaan,Kadam,51,214603,False,0.55,0.356,9,-14.142,1,0.0405,0.637,0.187,0.32,0.343,159.911,3,folk
