track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
5warSyd6NxMCrXBFDZI72y,Kevi Jonny;Tierry,Dona Encrenca,Dona Encrenca,50,179748,False,0.677,0.455,0,-11.963,1,0.141,0.616,0.0,0.249,0.782,127.651,4,forro
18EfjSH1r9Jf6vx52eby5c,Calcinha Preta;Gusttavo Lima,Agora Estou Sofrendo (Ao Vivo),Agora Estou Sofrendo,51,258968,False,0.612,0.654,9,-3.79,0,0.0299,0.613,0.0,0.446,0.386,124.881,4,forro
78rJR1WX6TD1TkoXJ2CQGz,Aldair Playboy,Pra Ouvir no Paredão,Ô Neguinha,54,180796,False,0.788,0.775,4,-1.776,1,0.0331,0.577,0.0194,0.0506,0.942,130.012,4,forro
03oCa1emECqILi28HObI4D,Vitor Fernandes;NATTAN,Nem Você Nem Eu,Nem Você Nem Eu,57,162019,False,0.558,0.78,3,-3.082,0,0.0549,0.466,0.0,0.187,0.692,156.002,4,forro
2e3JPNqIsGJHeTFGD1OoVE,Kevi Jonny;Priscila Senna,Até o Último Gole,Se Mandar um Vem - Saudade Indignada,53,150937,False,0.754,0.464,1,-10.928,1,0.0572,0.744,0.0,0.331,0.731,131.842,4,forro
1jyjRONEHBiPO3rcNQSLk8,Vitor Fernandes;Tarcísio do Acordeon,Roxinho,Roxinho,56,205961,False,0.642,0.678,5,-5.299,1,0.0346,0.547,0.000136,0.168,0.887,156.022,4,forro
2p35AKe25xW7cQHFXOR3LP,Japãozin,Solitário,Solitário,49,188571,False,0.675,0.848,4,-4.297,0,0.0328,0.363,0.0,0.273,0.972,153.987,4,forro
3mxmZzUM6BvpdmwEhgq1IC,Josué Bom de Faixa,O Bom de Faixa,Tou Embrasado,50,175716,False,0.683,0.887,8,-5.147,1,0.0321,0.707,0.0,0.281,0.891,148.799,4,forro
6D9LCnw6OCES0PlI5UdCdZ,Japãozin,Brabo dos Paredões,Balança o Celtinha,49,138750,True,0.671,0.886,8,-4.21,1,0.0463,0.275,0.0,0.132,0.914,165.944,4,forro
5iZQLhYMDoy9mD9V8dO93q,Vitor Fernandes,Piseiro Apaixonado - Pt. 1,Termina Comigo,54,167400,False,0.67,0.836,7,-3.932,0,0.0441,0.302,7.7e-06,0.733,0.694,149.962,4,forro
3nRooNh2wzDNXEy9KUnecK,Douglas & Vinicius,Ao Vivo Em São Paulo (Vol. 4),Te Amei A Mais - Ao Vivo,57,219130,False,0.599,0.664,1,-5.747,1,0.0408,0.827,0.0,0.293,0.452,139.902,4,forro
6ZUgqzF93RA6rnKIS6DXoa,Os Barões Da Pisadinha;Xand Avião,Conquistas (Ao Vivo),Basta Você Me Ligar - Ao Vivo,52,182976,False,0.599,0.914,5,-2.415,0,0.0629,0.5,0.0,0.694,0.831,168.008,4,forro
23eLpLRI1NZejKSQfxHGfw,Gabriel Diniz;Jorge & Mateus,Paraquedas,Paraquedas,54,168426,False,0.589,0.937,1,-2.332,1,0.0383,0.652,0.0,0.179,0.809,171.033,4,forro
02U2HxItROptvGJ5NPReWz,Os Barões Da Pisadinha,A Roça ou a Cidade (Da Roça Pra Cidade) [Ao Vivo],A Roça ou a Cidade (Da Roça Pra Cidade) - Ao Vivo,50,180615,False,0.602,0.962,6,-2.375,0,0.0621,0.293,0.0,0.156,0.835,172.201,4,forro
3QVqZqey3hxjKCqnHA3C2x,Biu do Piseiro,Biu do Piseiro - Até o Talo (Ao Vivo),Tremidinha - Ao Vivo,51,138857,False,0.736,0.978,4,-2.674,1,0.0409,0.345,0.0,0.616,0.971,140.071,4,forro
5vVKicXL5lVAUF4zcvscK6,Zé Vaqueiro,Nunca Foi Amor,Nunca Foi Amor,52,164416,False,0.673,0.891,11,-3.301,0,0.0478,0.698,2.92e-06,0.184,0.845,151.952,4,forro
5g4xbjKfI163vBHHOuOfqC,Marcynho Sensação;Mari Fernandez,Barra de São Miguel 2022,Parada Louca (feat. Mari Fernandez),51,187742,False,0.5,0.833,7,-6.44,1,0.106,0.23,0.0,0.145,0.697,166.087,4,forro
62rMSY7UlA9fmm3ZfRh4vi,Tayrone Cigano,20 Super Sucessos: Tayrone Cigano,Volte Amor,50,264947,False,0.725,0.788,11,-5.558,1,0.0278,0.576,0.0,0.0645,0.858,135.012,4,forro
7MB82aWojKYntOXvQUogZM,Calcinha Preta,"Fica Comigo, Paulinha, Vol. 17",Como Vou Deixar Você?,52,188800,False,0.517,0.933,4,-3.988,0,0.0678,0.222,2.51e-06,0.48,0.63,180.11,4,forro
5egFjQRWKSFGYfnPbE7gCg,Os Parazim,O Som do Bbq,Saveiro,50,164924,False,0.67,0.933,2,-2.427,0,0.0345,0.429,0.0,0.306,0.852,128.019,4,forro
4dSMQCHt5lPjKp1cAuiVNB,Os Parazim,Pisadinha dos Parazim,Cachaça Cabaré,52,166791,False,0.657,0.875,1,-3.621,0,0.0583,0.497,0.0,0.386,0.954,82.512,4,forro
4EgVViW2SyAHRbUk2Sk2hL,Dorgival Dantas,Simplesmente Dorgival Dantas (Ao Vivo),Coração - Ao Vivo,51,237813,False,0.533,0.931,9,-3.817,1,0.146,0.591,2.81e-05,0.725,0.711,170.392,4,forro
5LAsS7ulJBhUmlBVEKDl92,Pablo,Um Novo Passo,Fala a Verdade para Ele,51,218160,False,0.702,0.52,6,-6.219,0,0.0324,0.28,0.0,0.433,0.664,132.003,4,forro
3WbtamPQS9wdB784HVTeAN,Zé Vaqueiro,Vem Me Amar,Se Você Se Entregar,50,200986,False,0.672,0.787,2,-5.78,0,0.0331,0.215,0.0,0.114,0.963,155.991,4,forro
4oIRYmC4rhBUbF2HSduX4C,Desejo De Menina,Cumplicidade,Cumplicidade,49,182465,False,0.648,0.804,9,-5.623,1,0.0379,0.325,0.0,0.365,0.907,156.135,4,forro
4ABgbHvmr8tg7xOMMl7DXd,Cavalo De Pau,"Forró Cavalo de Pau, Vol. I (Ao Vivo)",Timidez - Ao Vivo,53,205706,False,0.632,0.963,7,-5.524,0,0.0519,0.00656,0.000327,0.314,0.735,121.267,4,forro
5KYSxBduEiyFgFOWpc4kJa,Iguinho e Lulinha,Simbora pra Vaquejada,Coração Acelera,55,135676,False,0.508,0.932,7,-4.366,1,0.0444,0.234,0.0042,0.13,0.923,133.065,3,forro
37DwW4hMKVxwt8dOAzAY1C,Limão Com Mel;NATTAN,Vivendo de Solidão,Vivendo de Solidão,51,241633,False,0.541,0.947,0,-3.659,1,0.0836,0.248,0.0,0.366,0.492,89.989,4,forro
1Rs9ecHoATzaBXb1BaSl2p,Humberto & Ronaldo;Ícaro e Gilmar,"Ao Vivo em Goiânia, Completo",Eu Também Não Vou - Ao Vivo,59,222271,False,0.495,0.754,9,-5.168,1,0.0514,0.581,0.0,0.771,0.599,155.612,4,forro
15B100wqf0z7vAnpiUN4MB,Vitor Fernandes,Piseiro Atualizado,Vou te Amar,54,182844,False,0.596,0.66,9,-5.333,0,0.0391,0.0533,0.00562,0.134,0.578,174.09,4,forro
1JEqsDV5Y7Qdtc4FeUhsl1,Os Barões Da Pisadinha;Wesley Safadão,Da Roça Pra Cidade (Ao Vivo),Beijo do Vampiro - Ao Vivo,51,149202,False,0.666,0.968,4,-2.076,1,0.059,0.446,0.0,0.0625,0.96,164.007,4,forro
2xADGxc3wNQk9YBSWIROyx,Eric Land;Tarcísio do Acordeon,Esqueceu Foi Porra,Esqueceu Foi Porra,61,177531,False,0.624,0.938,10,-1.145,0,0.0644,0.129,0.0,0.327,0.836,149.887,4,forro
