track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
1DIXPcTDzTj8ZMHt3PDt8p,Coolio;L.V.,Gangsta's Paradise,Gangsta's Paradise,89,240693,False,0.647,0.514,8,-10.05,1,0.0593,0.0655,0.0,0.398,0.386,79.975,4,funk
5knuzwU65gJK7IF5yJsuaW,Clean Bandit;Sean Paul;Anne-Marie,Rockabye (feat. Sean Paul & Anne-Marie),Rockabye (feat. Sean Paul & Anne-Marie),75,251088,False,0.72,0.763,9,-4.068,0,0.0523,0.406,0.0,0.18,0.742,101.965,4,funk
4YoRCz66S1Ar5KhDpsqmj1,Anitta;Missy Elliott,All That Really Matters - Just Hits,Lobby,2,157837,False,0.759,0.711,0,-5.199,1,0.0384,0.0477,1.19e-06,0.143,0.436,111.902,4,funk
5ySvAKzhoGkXm4WioV6MDS,Anitta,All Bops,Envolver,0,193805,False,0.813,0.733,4,-5.417,0,0.0847,0.15,0.00186,0.0909,0.397,91.988,4,funk
7zo6hLIhyY7zGCR0sWKvth,Anitta;Missy Elliott,Daily Pop Mix,Lobby,0,157837,False,0.759,0.711,0,-5.199,1,0.0384,0.0477,1.19e-06,0.143,0.436,111.902,4,funk
5yY7mLBGMrTvG1VldsiWEP,Anitta,Am I Ready - Pop Night Out,Boys Don't Cry,2,135046,False,0.594,0.874,5,-3.598,1,0.0387,0.00166,0.0,0.148,0.646,164.163,4,funk
3RZnAryVznQwgFCGeqjeAH,Anitta;Missy Elliott,Pop Hits Now,Lobby,0,157837,False,0.759,0.711,0,-5.199,1,0.0384,0.0477,1.19e-06,0.143,0.436,111.902,4,funk
5qYroveHW4ju33vECggh0o,Anitta;Missy Elliott,Hip Hop & R'n'B,Lobby,0,157837,False,0.759,0.711,0,-5.199,1,0.0384,0.0477,1.19e-06,0.143,0.436,111.902,4,funk
7uPX5QKvIT28CEIXTvp0tr,Anitta;Missy Elliott,The Look - R&B Feels,Lobby,0,157837,False,0.759,0.711,0,-5.199,1,0.0384,0.0477,1.19e-06,0.143,0.436,111.902,4,funk
5ukH66ZJQJ13FyZpqQrVA0,Anitta,Back to School!,Envolver,0,193805,False,0.813,0.733,4,-5.417,0,0.0847,0.15,0.00186,0.0909,0.397,91.988,4,funk
34B1pP9VnHpD2U6JtDag9E,Anitta;Missy Elliott,Baddest of Them All,Lobby,0,157837,False,0.759,0.711,0,-5.199,1,0.0384,0.0477,1.19e-06,0.143,0.436,111.902,4,funk
4rpFg7vffIW6v3MLWmVWOR,Anitta,Hit After Hit,Envolver,0,193805,False,0.813,0.733,4,-5.417,0,0.0847,0.15,0.00186,0.0909,0.397,91.988,4,funk
5PJJk6CpId3Feu6i4PFZVP,Anitta;Missy Elliott,New Pop Classics,Lobby,0,157837,False,0.759,0.711,0,-5.199,1,0.0384,0.0477,1.19e-06,0.143,0.436,111.902,4,funk
0XdLUGUaamRJax90fTO2ob,Anitta;Missy Elliott,Pop Brandneu,Lobby,0,157837,False,0.759,0.711,0,-5.199,1,0.0384,0.0477,1.19e-06,0.143,0.436,111.902,4,funk
4KkwCCRdEwNn72wIARkcRm,Anitta;Missy Elliott,"#Multiverse, If the Multiverse Is Real",Lobby,0,157837,False,0.759,0.711,0,-5.199,1,0.0384,0.0477,1.19e-06,0.143,0.436,111.902,4,funk
5sxhnFWkN6W2zfIOGD2k5t,Anitta;Missy Elliott,Your Perfect Soundtrack,Lobby,1,157837,False,0.759,0.711,0,-5.199,1,0.0384,0.0477,1.19e-06,0.143,0.436,111.902,4,funk
7HrTl8AfFjquGEfle9ckX1,Anitta;Swae Lee,Refresh - Pop To Cool Down,Poquito,2,175670,True,0.701,0.851,0,-4.03,1,0.125,0.508,0.0,0.309,0.609,144.832,4,funk
3IoDodkm15b3Gp9v5JOGEO,Anitta;Chencho Corleone,Trending Pop,Gata,0,206277,False,0.518,0.799,8,-4.316,1,0.123,0.0146,0.000189,0.787,0.882,92.02,4,funk
54toa3frFPD8yJdINp9hp1,Anitta;Swae Lee,New RnB,Poquito,0,175670,True,0.701,0.851,0,-4.03,1,0.125,0.508,0.0,0.309,0.609,144.832,4,funk
2vpMzSdFyQNq4gbVGLzdul,Anitta,It's You - Fresh Hits,Envolver,0,193805,False,0.813,0.733,4,-5.417,0,0.0847,0.15,0.00186,0.0909,0.397,91.988,4,funk
7AdEI3Yy1HuIQlZXPU7vKV,Anitta,Good Vibes,Envolver,1,193805,False,0.813,0.733,4,-5.417,0,0.0847,0.15,0.00186,0.0909,0.397,91.988,4,funk
5yDcLPIh0e0bwV09d6jWE1,Anitta,For the Girls: Summer Hits,Envolver,0,193805,False,0.813,0.733,4,-5.417,0,0.0847,0.15,0.00186,0.0909,0.397,91.988,4,funk
