track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
2RIq8jJy01rwLYXTGuVILo,Jessé Aguiar;Misaias Oliveira,Estações,Estações,49,167850,False,0.647,0.69,4,-6.568,0,0.0413,0.237,0.0,0.351,0.521,118.963,4,gospel
2DXAv8MRfb1uoJTF827CK0,Kleber Lucas,Aos Pés da Cruz,Deus Forte,50,276178,False,0.412,0.643,7,-8.444,1,0.0315,0.0595,0.0,0.972,0.373,85.425,4,gospel
29ZrGQad8homm9iN5mZQlp,Isaias Saad,Sua Presença (Ao Vivo),Sua Presença - Ao Vivo,58,314154,False,0.457,0.633,3,-6.056,1,0.0315,0.408,0.0,0.345,0.224,137.956,4,gospel
3oVtUUirowVa9DEtjazJVq,Nívea Soares;Isaias Saad,Só Existe Um Lugar (Ao Vivo),Só Existe Um Lugar - Ao Vivo,51,427917,False,0.489,0.674,2,-8.627,1,0.0362,0.0405,1.52e-06,0.644,0.18,131.963,4,gospel
6V37HbGkTESO25ksBhRIxf,Casa Worship;Léo Brandão;Julliany Souza,Fumaça (Ao Vivo),Fumaça (Ao Vivo),50,408805,False,0.274,0.792,5,-8.035,0,0.0663,0.0657,0.0,0.681,0.212,134.471,4,gospel
3prDqIeQ71JN430YOl55eB,Lukas Agustinho,Em Teus Braços (Acústico),Em Teus Braços - Acústico,52,255600,False,0.396,0.485,11,-8.249,1,0.0344,0.615,0.0,0.151,0.739,62.518,4,gospel
6bA5Bt4d2drlsBOYAghABi,Isaias Saad;Theo Rubia,Eu Amo a Tua Glória (Ao Vivo),Eu Amo a Tua Glória - Ao Vivo,57,538613,False,0.368,0.519,9,-9.827,1,0.0448,0.598,1.11e-05,0.313,0.183,133.879,4,gospel
0bMAWV9DDN2fllpvCtpzWl,Jefferson & Suellen,Vem Me Buscar (Ao Vivo),Vem Me Buscar - Ao Vivo,58,418698,False,0.423,0.74,3,-5.309,0,0.0344,0.0206,0.0,0.523,0.166,135.906,4,gospel
1zJCjjA3FRdjPvf2Dex7u2,Cassiane,Vou Deixar na Cruz,Vou Deixar na Cruz,51,334692,False,0.292,0.67,5,-5.685,1,0.0395,0.56,0.0,0.0803,0.182,136.085,4,gospel
7D5SHB5Qr6otVfXUh0jveD,Casa Worship;Julliany Souza,Seu Amor Me Persegue (Studio),Seu Amor Me Persegue (Studio),51,445970,False,0.364,0.603,6,-9.079,1,0.0356,0.0217,7.67e-05,0.0898,0.0886,133.784,4,gospel
360gCLBRm4Caa50Vlbluhy,Luma Elpidio,Venho a Ti,Venho a Ti,53,346044,False,0.374,0.414,2,-7.161,1,0.0344,0.0549,0.0,0.112,0.196,124.211,4,gospel
1HucuOdAhqUgPNgZJoFB3K,Rebeca Carvalho;Gabriela Rocha,Até te Encontrar (Ao Vivo),Até te Encontrar - Ao Vivo,55,576860,False,0.254,0.619,5,-6.779,1,0.0369,0.526,0.0,0.692,0.311,138.093,4,gospel
41b11ruecN0x1CSaziBxGB,Anderson Freire;Midian Lima,"Aguente, Guerreiro","Aguente, Guerreiro",50,307750,False,0.327,0.542,2,-8.352,1,0.0523,0.129,0.0,0.0945,0.291,89.533,4,gospel
0Y9nHU2Fhl76LHbRRmNQ6X,Fernanda Brum,Da Eternidade,O Que Sua Glória Fez Comigo,53,399243,False,0.279,0.597,2,-6.269,0,0.0398,0.405,0.0,0.697,0.365,140.192,4,gospel
2OmZjKpXjbDWXEsw1JEy1x,Isaias Saad;LUDI,Seu Amor / Diante da Cruz,Seu Amor / Diante da Cruz,55,497600,False,0.333,0.24,4,-12.006,1,0.0312,0.836,4.72e-05,0.0963,0.251,71.374,4,gospel
0NHPfnQMzg0GiwbC4SF2yR,Weslei Santos,O Que Meu Deus Vai Fazer,O Que Meu Deus Vai Fazer,53,269631,False,0.539,0.339,2,-10.969,1,0.0314,0.78,0.0,0.0889,0.29,121.815,4,gospel
6ULtPMzIdsayMraZMs2KBV,Isadora Pompeo,Seja Forte,Seja Forte,51,253866,False,0.567,0.609,7,-5.453,1,0.0322,0.00399,2.67e-06,0.106,0.276,128.132,4,gospel
5cS3LwObFvrv6Vfwge0D6R,Delino Marçal;Midian Lima,Você Não Imagina,Você Não Imagina,54,318020,False,0.504,0.526,4,-6.724,1,0.0317,0.273,0.0,0.15,0.342,116.349,4,gospel
5h7e9eHY6RnP617D9zzzKb,Gerson Rufino,Sobrevivi,Vai Passar,51,332933,False,0.526,0.555,4,-4.789,1,0.0262,0.037,0.0,0.14,0.223,136.008,4,gospel
47zHQVLf1JANzOYVX2bsVB,Davi Sacer,Foi Deus,Foi Deus,55,453941,False,0.612,0.492,10,-6.956,1,0.0476,0.435,0.0,0.559,0.5,117.878,4,gospel
0ZCJLp30rQp6O0Rf6CDeuO,Gerson Rufino,10 Anos de Louvor,Dia de Sol,49,252026,False,0.704,0.654,7,-6.266,1,0.0291,0.65,0.0,0.315,0.318,97.564,4,gospel
10dvxvLEh54eOaFr9bvofG,Fernandinho,Teus Sonhos (ao Vivo),Teus Sonhos - Ao Vivo,51,279906,False,0.384,0.787,7,-6.117,1,0.0371,0.00732,1.38e-06,0.746,0.332,147.988,4,gospel
0cEUrAqLYJafXksIpIBov4,Aline Barros,Jeová Jireh,Jeová Jireh,51,390953,False,0.4,0.758,7,-7.683,1,0.0534,0.00438,0.0,0.229,0.114,133.928,4,gospel
4DVIA9RLre5v407SeMerY3,Nívea Soares,Eu Vou Construir,Eu Vou Construir,52,409459,False,0.436,0.443,0,-10.068,1,0.029,0.357,0.0,0.362,0.314,139.701,4,gospel
0T9jZM8wQ4524KS1hiWBje,Randy Travis,Country Christmas Time,Meet Me under the Mistletoe,0,163320,False,0.626,0.422,9,-13.618,1,0.0492,0.246,0.0,0.342,0.661,151.466,4,gospel
0dhpQeQ8LR4UEp9gugrITU,Diante do Trono,Diante do Trono (Ao Vivo),Aclame ao Senhor - Ao Vivo,51,455106,False,0.309,0.486,9,-8.155,1,0.0359,0.778,0.0,0.117,0.232,119.52,4,gospel
2YOZHcypOnfbG5cfsSpW4N,Marcelo Markes;Sarah Beatriz,Redentor,Redentor,58,382272,False,0.43,0.706,0,-7.743,1,0.0538,0.235,0.0,0.107,0.085,131.816,4,gospel
0wlDUClcs4OEQb7DLhlSHO,Rebeca Carvalho;Gabriel Guedes de Almeida,Adorarei (Ao Vivo),Adorarei - Ao Vivo,50,348706,False,0.294,0.478,6,-7.136,0,0.0361,0.204,0.0,0.126,0.287,135.97,3,gospel
79WIhvQ5r22HEO4J7weobm,Fernandinho;Paula Santos,Acústico,Nada Além do Sangue - Acústico,50,388373,False,0.451,0.534,10,-5.511,1,0.0321,0.524,0.0,0.121,0.147,143.867,4,gospel
7HSi0K1ryVMOC9T6fWKMK5,Randy Travis,Country Holiday,Meet Me under the Mistletoe,0,163320,False,0.626,0.422,9,-13.618,1,0.0492,0.246,0.0,0.342,0.661,151.466,4,gospel
7dGksgOyGuJ9QCNZhxxN5e,Valesca Mayssa;Stella Laura,De Janeiro a Dezembro,Dias de Guerra,51,294312,False,0.568,0.616,1,-5.372,1,0.0351,0.366,0.0,0.119,0.391,137.845,4,gospel
57JAYiwPmU93oowUWKwrEF,Cassiane,Cassiane - Gospel Collection Ao Vivo,Com Muito Louvor,50,382014,False,0.359,0.681,10,-5.821,1,0.0361,0.528,0.0,0.665,0.324,138.701,4,gospel
0hD0KWK4te47pXBRJXVbY4,Aline Barros,Deus do Impossível (Ao Vivo em Mojave Desert),Deus do Impossível (Ao Vivo em Mojave Desert),52,209293,False,0.326,0.429,7,-8.561,1,0.0358,0.51,7.85e-06,0.114,0.148,136.186,5,gospel
22VpC56TcW8JL7oiCeEGJI,Valesca Mayssa,Árvore Cortada,Árvore Cortada,53,423915,False,0.387,0.458,5,-9.953,1,0.0344,0.297,0.0,0.117,0.346,138.32,4,gospel
3iw959smgKf8scwjRCRjgZ,Kellen Byanca,Pode Dormir Tranquilo,Pode Dormir Tranquilo,52,288457,False,0.716,0.524,10,-5.097,1,0.0349,0.457,0.0,0.0733,0.273,125.822,4,gospel
5ykUVPKww8cBxLC3ZbHABU,Jefferson & Suellen,Labareda (Ao Vivo),Labareda - Ao Vivo,54,269282,False,0.348,0.843,9,-6.963,1,0.08,0.116,0.0,0.105,0.306,133.038,4,gospel
7zqF7owVpOCqpCd51iYyUJ,Isaias Saad;John Dias,Águas Purificadoras/Oceanos (Ao Vivo),Águas Purificadoras/Oceanos - Ao Vivo,55,398188,False,0.395,0.523,4,-8.592,1,0.0349,0.601,0.0,0.683,0.215,133.989,4,gospel
3lo3fpR0BO8pe2z5UhbcZw,Randy Travis,Happy Country Christmas,Meet Me under the Mistletoe,0,163320,False,0.626,0.422,9,-13.618,1,0.0492,0.246,0.0,0.342,0.661,151.466,4,gospel
412DoidvZjwctMQeL5wK9D,Samuel Messias,Eu Não Perdi o Controle (Ao Vivo),Eu Não Perdi o Controle (Ao Vivo),51,437324,False,0.516,0.51,6,-9.462,1,0.0349,0.138,0.0,0.0721,0.332,123.648,4,gospel
