track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
4UtWPTUjpeHkka3VohQhIl,Despise You,West Side Horizons,Divisions,21,48333,True,0.302,0.934,1,-5.116,1,0.13,3.47e-05,0.223,0.265,0.0652,116.578,1,grindcore
08mN6zznHWwYmK0tjROuuf,Antigama,Whiteout,Undeterminate,18,105186,False,0.373,0.994,9,-5.567,1,0.209,1.23e-06,0.681,0.281,0.0992,129.604,4,grindcore
6jCR3HZ6KMZWsbQUKdIHMA,Vermin Womb,Decline,Entomb,21,141294,False,0.174,0.972,9,-4.484,1,0.161,1.19e-06,0.896,0.375,0.0773,143.825,1,grindcore
15d0isLStSVj3n7RTu3Mxp,Hatred Surge,Human Overdose,Psychonaut,20,235358,False,0.216,0.988,6,-6.863,1,0.113,7.26e-06,0.545,0.415,0.124,139.737,4,grindcore
7lNNgDlzU6kvwUo8m31rdC,Impetigo,Horror of the Zombies,Trap the and Kill Them,19,168040,False,0.312,0.981,6,-3.964,0,0.111,0.000129,0.61,0.0703,0.291,96.964,4,grindcore
2XT2hFAvG94wu9Zrcfm86Z,His Hero Is Gone,Fool's Gold,Scare Tactic,25,103492,False,0.252,0.743,1,-13.831,1,0.0403,1.21e-05,0.869,0.635,0.357,133.303,4,grindcore
5hPToY3Xrn94nSyzLvIIUM,His Hero Is Gone,Fool's Gold,Fool's Gold,22,55132,False,0.3,0.899,1,-13.131,1,0.111,0.000182,0.708,0.276,0.425,72.579,4,grindcore
1dkwgaSdf5aRxJJ0yJpfSK,Despise You,And On and On...,Roll Call,28,70960,False,0.234,0.948,1,-4.544,0,0.0542,3.19e-06,0.011,0.24,0.0771,66.787,4,grindcore
4KALDadsUtUkitPoIYEyza,Man Is The Bastard,"Sum of the Men ""The Brutality Continues...""",Skull Crusher,23,67266,False,0.444,0.986,1,-4.056,1,0.0607,8.5e-05,0.834,0.348,0.269,114.783,4,grindcore
2W8WnX4G0mfgafuNAjfgDA,Sex Prisoner,Tannhauser Gate,Loaded Dice,24,70682,False,0.272,0.906,1,-4.687,1,0.127,5.48e-06,0.166,0.24,0.433,141.935,4,grindcore
6MNsNcu8iPrJPoDEg9fkUL,Fluoride,Disentanglement,Degrade,21,149797,False,0.091,0.818,0,-4.443,1,0.106,1.06e-05,0.817,0.812,0.075,162.696,4,grindcore
2jdF1gF1j9NOUitnkgdsrA,Cripple Bastards,Frammenti Di Vita,Italia Di Merda,22,62426,True,0.325,0.945,9,-2.613,0,0.345,0.000206,0.0,0.185,0.427,118.929,3,grindcore
63Vq9D3lngLoEjGDbHy4v6,Impetigo,Ultimo Mondo Cannibale,Zombie,21,68506,False,0.325,0.82,8,-7.555,0,0.762,0.0767,0.105,0.16,0.861,162.366,3,grindcore
1ks7heHkJyAz7zL0kGisu6,Impetigo,Ultimo Mondo Cannibale,Maggots,20,224346,False,0.259,0.994,4,-5.818,0,0.455,0.0087,0.859,0.338,0.291,154.884,4,grindcore
4IwVHiRNCOVFE3dqFxHHwm,Disfear,Live the Storm,Get it Off,31,197293,False,0.205,0.994,3,-2.299,1,0.148,1.33e-06,0.197,0.391,0.104,154.168,4,grindcore
64syMK7oo9VPihJBj1IBGH,Napalm Death,Scum,Scum,45,158200,False,0.184,0.954,4,-7.719,1,0.103,1.22e-05,0.804,0.0932,0.222,83.346,3,grindcore
0ELwNEshcw9E3EQwPPtsFQ,Deterioration,Punish the Betrayer,Life Rejector,23,87941,False,0.449,0.654,10,-14.418,1,0.0841,0.41,0.15,0.208,0.144,94.488,4,grindcore
36qNxivRe7R6Tp63P7uv10,His Hero Is Gone,Fool's Gold,Sound The Alarm,24,56612,False,0.19,0.822,1,-12.577,1,0.148,3.23e-05,0.761,0.153,0.848,77.928,4,grindcore
7LGfapaZt3B0aX3lihpJgl,The Red Chord,Clients,Antman,23,187200,False,0.333,0.984,8,-4.317,1,0.164,0.000121,3.17e-06,0.132,0.191,115.464,3,grindcore
5LtfedMPI59Jr7oO1BKjCO,Manger Cadavre?,Decomposição,A Raiva Muda o Mundo,21,177640,False,0.217,0.887,6,-5.134,1,0.0697,0.000578,0.000689,0.373,0.186,135.569,4,grindcore
2Ro7WjXYFGPlRzrfiQs1pO,Impetigo,Horror of the Zombies,I Work for the Streetcleaner,20,431520,False,0.233,0.961,9,-4.404,1,0.276,0.00347,0.15,0.568,0.0799,118.255,4,grindcore
5UkeMZvaNppcttFM9O6qzN,Weekend Nachos,Worthless,Obituary,27,71760,False,0.29,0.946,4,-2.736,1,0.0899,1.08e-05,0.601,0.126,0.0486,62.659,4,grindcore
4ooiMSunmbnopkSqmfHBGh,Manger Cadavre?,Decomposição,Tragédias Previstas,21,124800,False,0.311,0.936,9,-4.729,0,0.0796,0.000275,0.105,0.0906,0.443,88.206,4,grindcore
0llTYbqZqaxsO4XeAYEd3S,His Hero Is Gone,The Plot Sickens,Domesticated Breed,21,54132,False,0.132,0.905,9,-12.388,1,0.0609,1.77e-06,0.949,0.235,0.441,198.465,4,grindcore
6q3fqTyUJHzMrRWFmPixkS,Disfear,Live the Storm,Fiery Father,21,159053,False,0.168,0.996,1,-2.307,1,0.176,2.71e-06,0.0305,0.33,0.0848,170.15,4,grindcore
5RuQPz7PldPj5BIB5JX5XK,Dropdead,Dropdead / Totalitar Split,A Disease Called Man,21,66066,False,0.26,0.998,6,-5.446,1,0.113,1.73e-06,0.936,0.699,0.0999,119.745,4,grindcore
0zxPQpLZ7kk5Bg1KTxj1tT,His Hero Is Gone,The Plot Sickens,Remedy Past Remedies,23,46412,False,0.317,0.917,1,-11.468,1,0.059,1.84e-05,0.76,0.278,0.526,98.015,4,grindcore
7s95qLaO0CHpjxXkb5YWea,disrupt,Unrest,Religion Is A Fraud,27,153693,False,0.315,0.98,8,-7.117,1,0.123,0.000153,0.00532,0.965,0.305,116.764,4,grindcore
58kMt9txLUoQxfpMJUaHrW,Haggus,Straight from the Slaughterhaus,Social Erosion,25,161505,False,0.168,0.997,4,-3.688,0,0.307,2.14e-05,0.825,0.112,0.0381,165.239,4,grindcore
4EncKcnRsZd3VgOQd9N8Jf,Haggus,Straight from the Slaughterhaus,Septic Birth Defects,26,202184,False,0.0868,0.998,4,-3.441,0,0.127,5.35e-06,0.921,0.375,0.0364,192.277,4,grindcore
5zPelF45Kzq4lwyjxIslC4,Haggus,Straight from the Slaughterhaus,Psychological Necrosis,29,214615,False,0.169,0.996,5,-3.393,1,0.143,4.28e-05,0.974,0.272,0.03,136.266,4,grindcore
0VEiBGM39xzLsgMONDIItm,His Hero Is Gone,The Plot Sickens,Angry Gods,24,111679,False,0.229,0.689,1,-11.707,1,0.0456,1.05e-05,0.832,0.0571,0.591,109.252,4,grindcore
0sPccB6KhTPnViCM0oGktV,disrupt,The Rest,Xenophobia,21,67520,False,0.267,0.997,5,-5.271,0,0.11,1.7e-06,0.0088,0.0879,0.151,175.047,4,grindcore
7qlsO3Zb03wszBnSlXxykA,Insult,Emobashing Fastcore Pimps,Maggot,23,88933,False,0.314,0.922,7,-7.311,1,0.146,0.000169,0.15,0.507,0.38,88.85,4,grindcore
3DJMYmquETMHqFoOICHeMH,Internal Rot,Grieving Birth,Unnegotiable Impact,20,76720,False,0.16,0.992,1,-3.73,1,0.126,0.00362,0.729,0.489,0.0316,131.607,1,grindcore
5luRVoc6FQ9i5Alb096JJF,Haggus,Straight from the Slaughterhaus,Terminally Infernal,21,175266,False,0.105,0.997,1,-3.48,1,0.116,6.13e-06,0.473,0.235,0.0361,178.725,4,grindcore
6W8dAyjBDGUxxVAftvJtOO,Soilent Green,Sewn Mouth Secrets & A String of Lies,Felt Nothing,21,61173,False,0.344,0.963,7,-5.766,0,0.148,0.0183,0.812,0.0901,0.0393,130.515,4,grindcore
7dznSjBv6UKfZMXM0fYNLo,Cloud Rat,Artoffact Records: Heavy,Cusp,0,130853,False,0.345,0.975,11,-7.376,0,0.18,6.63e-06,0.581,0.654,0.164,92.495,4,grindcore
2DeWPM0WcV9udu8kM2ClNL,Haggus,Straight from the Slaughterhaus,To What Fucking End?,23,111028,False,0.196,0.998,7,-3.326,0,0.129,3.17e-05,0.932,0.0507,0.0327,117.802,4,grindcore
6LVuUIsYZBbtY7NKp2o2As,Deterioration,Lupara Bianca,Car Battery Interrogation,21,64033,False,0.24,0.991,4,-7.33,0,0.148,0.00529,0.118,0.286,0.0295,107.747,4,grindcore
3MCc7tM5TGti2SlyJ6AEY8,His Hero Is Gone,The Plot Sickens,The Willing Host,22,73719,False,0.246,0.887,1,-12.088,1,0.0556,2.35e-06,0.894,0.324,0.681,81.487,4,grindcore
5TfWUUGYoCo71BLsXPdji7,Weekend Nachos,Worthless,Black Earth,22,93373,False,0.187,0.993,11,-2.747,0,0.116,1.3e-05,0.0229,0.421,0.0666,102.145,4,grindcore
6jHnBKkvGAwSrvcdEFu1VC,Haggus,Straight from the Slaughterhaus,Apology for Praxeology,20,187211,False,0.208,0.995,4,-3.389,0,0.159,4.92e-05,0.423,0.25,0.0365,122.859,4,grindcore
4lAbzIkrGNSU9kWgy4hMXB,Weekend Nachos,Worthless,Old Friends Don't Mean Shit,23,39733,False,0.388,0.836,8,-3.288,1,0.0616,2.21e-05,0.96,0.359,0.14,102.587,4,grindcore
28wfOKw4rYg6vhAR8Yyry8,Disfear,Misanthropic Generation,Powerload,21,219960,True,0.16,0.979,5,-5.46,0,0.104,1.53e-06,0.836,0.146,0.118,160.48,4,grindcore
2Gq0jG0NATmOcekA0YeAUY,Couple Skate,Gore Orphanage,Nearly Depacitated,20,36179,False,0.363,0.741,7,-2.763,1,0.358,0.207,0.00016,0.434,0.47,130.66,1,grindcore
7sHsfIDV3Cq9KgScKDaorq,Terrorizer,Gods of Death Metal,Hordes Of Zombies - Live,0,202945,False,0.349,0.981,2,-7.921,1,0.124,0.0117,0.359,0.536,0.0368,103.221,4,grindcore
0afs1qOMOzp14QQffEfNqf,Cloud Rat,Artoffact Records: Heavy,Losing Weight,0,75306,False,0.292,0.994,1,-4.998,1,0.172,2.66e-06,0.577,0.224,0.198,93.529,4,grindcore
2UaHvadRqKrUTabLgRdKSQ,Magrudergrind,Magrudergrind,Martyrs Of The Shoah,22,165746,False,0.258,0.936,8,-6.119,1,0.0815,5.68e-06,0.474,0.108,0.233,109.34,4,grindcore
2mZXtIDKh1lwSHzN1kklhR,Magrudergrind,Magrudergrind,Rise And Fall Of Empires Past,20,39893,False,0.26,0.933,3,-4.476,0,0.129,1.22e-06,0.964,0.0833,0.37,126.57,4,grindcore
2vjoV2tKJMfhLCPjPa9dWt,Cattle Decapitation,Death Atlas,Bring Back the Plague,46,268080,False,0.244,0.986,6,-4.149,1,0.1,3.78e-05,0.831,0.133,0.177,117.005,4,grindcore
2RIFAkLK6fA6DtWA9GceWI,Archagathus,Canadian Horse,Perennial Loser,18,81988,False,0.0631,0.961,1,-6.707,1,0.24,0.00054,0.242,0.776,0.218,199.496,4,grindcore
