track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
0vB4Vd6PtkJSEnWsmqATnZ,George Benson,20/20,Nothing's Gonna Change My Love for You,71,242678,False,0.553,0.614,1,-5.098,1,0.0306,0.764,0.0,0.0811,0.345,136.628,4,guitar
37Unx14mB8QnCx0bDjtCM8,Ichika Nito,i miss you,i miss you,55,116791,False,0.631,0.489,11,-6.966,1,0.101,0.58,0.821,0.12,0.418,203.953,4,guitar
6xKeQgzfjixSUld14qUezm,Andrew Foy;Renee Foy,ily (i love you baby),ily (i love you baby),56,129750,False,0.706,0.112,2,-18.098,1,0.0391,0.827,4.03e-06,0.125,0.414,110.154,4,guitar
4jXvLe7ERO8yIYETDZGU0m,Finlep,Farewell Summer,Brookline,56,191869,False,0.511,0.11,2,-20.248,1,0.0769,0.987,0.947,0.11,0.13,95.946,4,guitar
4Yo0igmcoNyat1secaH0OD,Andrew Foy;Renee Foy,At My Worst,At My Worst,54,169728,False,0.795,0.0841,10,-18.09,0,0.0461,0.742,1.17e-05,0.0853,0.609,91.803,4,guitar
2P6Opus7hGyXkC6Pd7k1Gk,Finlep,Hitchhiking,Hitchhiking,51,178445,False,0.512,0.0529,3,-19.642,1,0.0819,0.994,0.968,0.11,0.261,145.243,3,guitar
2iSRdZZpV8NhJOLaLdaoSD,Project AER;WYS,3 Am. Study Session,After Sunset,48,160644,False,0.682,0.105,5,-16.983,1,0.0337,0.877,0.884,0.0896,0.258,124.027,4,guitar
5RO0MNa5hBKIM4OcjygadU,Joseph Sullinger,Chi Mai,Chi Mai,40,188695,False,0.739,0.287,6,-14.007,0,0.059,0.969,0.961,0.111,0.557,80.64,4,guitar
6LsHKNorX6fPBNcGxU1jQZ,Andrew Foy;Renee Foy,Arcade,Arcade,37,186738,False,0.408,0.266,10,-12.9,0,0.0404,0.875,0.000498,0.104,0.35,143.651,4,guitar
0NNep3grWO95CVGp04gMM4,Joe Satriani,Surfing With The Alien,"Always with Me, Always with You",52,202533,False,0.575,0.295,11,-12.584,1,0.0326,0.484,0.703,0.0639,0.394,144.366,3,guitar
7Ca2CkwSqHyr3eCh8IRdjz,Agustín Amigó;Nylonwings,Mujer con Abanico,Mujer con Abanico,41,156787,False,0.769,0.135,5,-12.049,0,0.061,0.986,0.905,0.106,0.471,103.939,4,guitar
3uAdZpIbMTtVXitHVibLMV,Andrew Foy;Renee Foy,Let Her Go,Let Her Go,38,194013,False,0.549,0.291,2,-13.457,1,0.0388,0.858,0.000846,0.129,0.376,75.153,4,guitar
14NiShC5b46yQxBN1mu9VJ,Andrew Foy;Renee Foy,Heartbreak Anniversary,Heartbreak Anniversary,40,199256,False,0.674,0.122,1,-17.963,1,0.0427,0.882,0.0,0.139,0.339,130.014,4,guitar
6I8EbSSjimK98wiDCMtnBQ,Blues Delight,Rock Island Line,Slightly Hung Over,54,285506,False,0.666,0.4,9,-7.324,0,0.0328,0.717,0.000334,0.342,0.395,98.781,3,guitar
7EaZOfcQgKj53K2FPKWpIk,Valerio Castilla,Savoca,Guarisci il mio Cuore,55,189250,False,0.498,0.0749,4,-22.481,0,0.0473,0.982,0.925,0.111,0.263,106.329,4,guitar
2oC9Ah7npALCCPW5DC1gob,Project AER;cxlt.,Growth Patterns,A Better Place,54,119999,False,0.496,0.255,9,-17.984,1,0.0283,0.937,0.845,0.0909,0.0809,141.961,4,guitar
08OjvLnGR3M0HUhcePeMNO,Andrew Foy;Renee Foy,death bed (coffee for your head),death bed (coffee for your head),47,112008,False,0.565,0.0392,1,-28.276,1,0.045,0.835,0.183,0.117,0.601,125.399,4,guitar
1BpMzIbVYhLfXTQe7ob2sY,Steve Vai,Alien Love Secrets,Tender Surrender,52,301066,False,0.559,0.567,4,-7.155,0,0.036,0.174,0.103,0.122,0.227,130.036,4,guitar
5TmKvbzD7zEbZLNfhAHTar,Project AER,Journals,Where We Are,56,159389,False,0.733,0.147,9,-16.465,0,0.0393,0.902,0.883,0.114,0.0432,122.003,3,guitar
