track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
61QSuw5VlC0LTS8WMO356g,Fat Joe;Remy Ma;French Montana;InfaRed,All The Way Up (feat. Infared),All The Way Up (feat. Infared),66,191942,True,0.536,0.721,10,-6.44,0,0.386,0.062,0.0,0.824,0.393,117.139,5,hardcore
26ZzSLUJMmYp5u1hDELEWH,Crystal Castles,(III),Transgender,76,184760,False,0.522,0.914,7,-8.285,1,0.0379,0.000164,0.847,0.24,0.0364,137.939,3,hardcore
4F3AZKEJubvPsl0hBArVBW,The Beatnuts;Method Man,Take It Or Squeeze It,Se Acabo (feat. Method Man) - Remix,72,212293,True,0.935,0.519,6,-6.482,0,0.31,0.156,0.0,0.425,0.884,96.97,4,hardcore
7KwZNVEaqikRSBSpyhXK2j,The Notorious B.I.G.,Life After Death (2014 Remastered Edition),Hypnotize - 2014 Remaster,80,229826,True,0.901,0.697,9,-3.439,1,0.28,0.145,0.0,0.287,0.67,93.941,4,hardcore
1zzxoZVylsna2BQB65Ppcb,DMX,The Definition Of X: Pick Of The Litter,X Gon' Give It To Ya,74,217586,True,0.761,0.899,10,-3.09,0,0.183,0.0135,0.0,0.0719,0.673,95.027,4,hardcore
0aJglfKKlSuhwws0EU6Q5v,I Am King,Impossible,Impossible,62,225883,False,0.455,0.758,8,-6.349,1,0.0415,0.0067,1.67e-05,0.127,0.378,89.966,4,hardcore
2g8HN35AnVGIk7B8yMucww,The Notorious B.I.G.,Ready to Die (The Remaster),Big Poppa - 2005 Remaster,79,252746,True,0.78,0.575,9,-7.247,0,0.273,0.43,0.0,0.143,0.773,84.492,4,hardcore
1coB4xdhsMLxZafnM9Gwjt,Crystal Castles,Pop & Halloween,Transgender,4,184760,False,0.522,0.914,7,-8.285,1,0.0379,0.000164,0.846,0.24,0.0364,137.954,3,hardcore
1peoY67DcWdCsNoOzF9ffU,Crystal Castles,Pop & Halloween,Kerosene,6,192000,False,0.52,0.545,8,-9.368,1,0.0768,0.0827,0.0,0.133,0.0856,115.882,4,hardcore
1T1ihaGSLwkC2x0jaYodIp,For Revenge;Danindra DIVIDE,Get Closer with For Revenge,Serana,51,244153,False,0.489,0.404,2,-12.445,1,0.0332,0.101,6.78e-05,0.255,0.311,129.992,4,hardcore
6p7NrRPfrrcOUI1pPHJ7cU,Busta Rhymes,Rap Homage,Bladow!!,0,220373,True,0.765,0.705,8,-7.39,0,0.28,0.0398,0.0005,0.0392,0.642,88.316,4,hardcore
56T8rWR6szMJ22n5bv8DXo,N.W.A.,The Best 90s Hip Hop Hits,Niggaz 4 Life,2,298906,True,0.809,0.858,10,-6.089,0,0.245,0.0633,1.91e-06,0.565,0.529,93.112,4,hardcore
6CGlJEQW50xbxVWq1Kn0PU,Mase;Total,Gangsta Love,What You Want,0,242946,True,0.838,0.72,10,-6.593,0,0.384,0.0314,1.16e-05,0.422,0.846,93.761,4,hardcore
6Pzm6HXxN0cwfCWM7kngXL,The Notorious B.I.G.,Rap Homage,Hypnotize,0,230000,True,0.895,0.694,9,-4.384,1,0.275,0.176,0.0,0.292,0.632,93.94,4,hardcore
0t2NKkUqJAA72D8WabGTsN,The Notorious B.I.G.,Gangsta Love,One More Chance - Hip Hop Mix,0,305653,True,0.886,0.863,6,-3.839,0,0.2,0.625,0.0,0.332,0.737,90.941,4,hardcore
1Uyw5OKFNe2ebZWDK1G4Hv,The Notorious B.I.G.,Power Rap,Hypnotize,0,230053,True,0.922,0.573,9,-5.164,1,0.278,0.129,0.0,0.305,0.642,93.929,4,hardcore
499aDsnU8gICoOmftRSbLM,Redman,The Best 90s Hip Hop Hits,How To Roll A Blunt,1,201720,True,0.644,0.66,9,-11.175,0,0.332,0.121,2.96e-06,0.346,0.775,184.208,4,hardcore
7DDvObCeUdqV2CwRZopzK9,The Notorious B.I.G.,The Hip Hop Collection,Hypnotize - 2014 Remaster,0,229826,True,0.9,0.697,9,-3.439,1,0.282,0.146,0.0,0.287,0.67,93.94,4,hardcore
0CrCW8u5hXD6Ztd7V8ay1i,Mos Def,The Best 90s Hip Hop Hits,Speed Law,3,256453,True,0.794,0.667,11,-7.636,0,0.373,0.0565,0.0,0.407,0.695,98.02,4,hardcore
6lav95SObObMoj75oLMILu,Wu-Tang Clan,Power Rap,Pioneer the Frontier,0,238693,True,0.668,0.847,9,-4.49,1,0.351,0.695,0.0,0.183,0.7,82.004,4,hardcore
70RPgBqYKFB4yN88qku7Jf,Mase,The Hip Hop Collection,Feel So Good,0,203626,True,0.822,0.703,11,-8.464,0,0.24,0.192,0.0,0.0816,0.536,105.155,4,hardcore
5XZty1ZNT3vCm3QZttvpjH,Busta Rhymes,The Hip Hop Collection,Put Your Hands Where My Eyes Could See,0,195133,True,0.916,0.63,6,-6.815,0,0.29,0.00752,6.75e-06,0.0656,0.693,99.493,4,hardcore
4c5Qj9XKXPaYSIoRbh3CcY,Mase;Lil' Kim;Puff Daddy,Power Rap,Will They Die for You,0,244600,True,0.655,0.736,2,-7.297,1,0.385,0.106,0.0,0.24,0.721,102.771,4,hardcore
4j9XFRR2CFAOn4Z4eIklBP,Misfits,Rock & Halloween,Halloween,3,112426,False,0.382,0.937,0,-9.01,1,0.0758,0.0172,0.0,0.271,0.0957,108.729,4,hardcore
3dGFeK9WTwj2PAiQoaXMzB,Ol' Dirty Bastard,Rap Classics,Brooklyn Zoo,0,215040,True,0.73,0.801,11,-5.655,0,0.392,0.552,0.0,0.843,0.659,91.785,4,hardcore
2ZCfaMcJ4NhY4nRNWYLfkN,Mase,Rap Homage,Welcome Back,0,262213,False,0.764,0.744,1,-2.34,1,0.181,0.0109,0.000122,0.318,0.511,88.426,4,hardcore
0fgSNUfZsTNRpTZyRUA6cE,Misfits;Glenn Danzig,Rock & Halloween,Horror Business,1,165866,False,0.323,0.943,5,-8.451,1,0.0538,0.588,0.00529,0.227,0.0606,90.264,4,hardcore
