track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
6iBL6TOzsO75Yz0cG1MO0o,The Prophet,Wanna Play?,Wanna Play?,65,201451,False,0.569,0.996,5,-0.45,1,0.224,0.198,0.0114,0.707,0.461,100.02,3,hardstyle
6wiQ1tAGxUsnbJXyjgXLel,Headhunterz;KSHMR,Dharma,Dharma,50,182343,False,0.331,0.919,3,-4.707,0,0.452,0.0367,0.000759,0.124,0.389,191.112,3,hardstyle
1TwbzKMxFBExaDEUWqQ832,Ran-D,Zombie,Zombie,61,289548,False,0.436,0.869,4,-2.473,0,0.0615,0.0542,0.0,0.0979,0.0383,155.051,4,hardstyle
01xdiGuSuIf5qZulm1uqkY,D-Block & S-te-Fan;D-Sturb,Feel It!,Feel It!,64,236903,False,0.459,0.941,9,-2.053,0,0.0777,0.0191,0.0,0.371,0.399,155.023,4,hardstyle
3fdK0eZWK2iNOdigAxvDGr,Toneshifterz;Firelite,Paradise,Paradise,70,194921,False,0.319,0.861,5,-4.11,1,0.0544,0.0368,7.48e-05,0.252,0.202,149.652,4,hardstyle
1yoqnfKCN9QltgyjAF1dTm,MBW,Crossroads,Crossroads,38,240158,False,0.47,0.705,11,-7.098,1,0.0442,0.0235,0.0198,0.114,0.119,151.79,4,hardstyle
37qR4gabbE17D48m0aerCq,Hyjacked,Heroes Arising,Heroes Arising,56,270967,False,0.552,0.967,11,-2.01,0,0.0607,0.0207,2.2e-05,0.355,0.451,155.022,4,hardstyle
1WF4RTvSeDTOQBD9epYwEi,Refuzion,Around the World (La la La),Around the World (La la La),65,153328,False,0.602,0.948,9,-3.372,0,0.0502,0.0396,1.43e-06,0.186,0.812,149.933,4,hardstyle
2TgDK4TC5KsywTYafAE4Gd,Brennan Heart;Jonathan Mendelsohn,Imaginary,Imaginary,57,192500,False,0.552,0.594,2,-6.449,1,0.0306,0.298,6.17e-05,0.262,0.287,149.907,4,hardstyle
3QeEf7TMugwZkmn0hPmXio,D-Block & S-te-Fan;DJ Isaac,Harder State Of Mind,Harder State Of Mind,65,236800,True,0.515,0.94,9,-2.452,0,0.0478,0.0044,1.06e-05,0.23,0.284,150.051,4,hardstyle
7rKS9FoVpE1mLrbxCnlokX,Ran-D,Hurricane,Hurricane,56,295646,False,0.575,0.979,8,-1.561,0,0.396,0.0321,0.0,0.34,0.366,155.032,4,hardstyle
2TxMks82BULr2Kpr64aLkV,Radical Redemption,The Chronicles Of Chaos,Stronger & Better,58,182903,False,0.353,0.915,8,-2.691,1,0.145,0.225,7.61e-05,0.116,0.371,154.859,4,hardstyle
2jkoanGKXN9I3gfeYo4aph,Coone;Da Tweekaz;Hard Driver;Bram Boender,Toss A Coin To Your Witcher,Toss A Coin To Your Witcher,62,252800,False,0.268,0.867,10,-4.439,0,0.0922,0.0171,0.0,0.108,0.301,149.953,4,hardstyle
0BAsf69u0gltlMFYMADpAn,Phuture Noize;B-Front,My Beautiful Fantasy,My Beautiful Fantasy,64,192014,False,0.319,0.865,2,-2.526,0,0.0415,0.132,0.0,0.135,0.0832,155.133,4,hardstyle
3TRVbGbpw25iGsPlFaGShS,Zatox,Oxygen,For Ever,55,267200,True,0.352,0.794,0,-4.584,0,0.0501,0.0168,1.51e-05,0.109,0.155,149.953,4,hardstyle
6GXB5IyqwhZMdyYqpPkW1X,Neolux,Invincible,Invincible,58,177166,False,0.506,0.929,2,-4.026,1,0.0595,0.0429,0.602,0.1,0.139,150.064,4,hardstyle
1NlbmDUSYds1GJWHQkhm1D,Digital Punk,Fragments,Die Trying,57,232687,False,0.289,0.939,9,-4.135,0,0.341,0.0147,2.93e-05,0.352,0.144,154.928,4,hardstyle
7cEYCs44J2ATKFGhccGvWO,Gans Anders,Geile Neuk Sex,Geile Neuk Sex,36,163932,False,0.611,0.993,0,-2.502,1,0.0969,0.0244,6.75e-06,0.0426,0.904,155.031,4,hardstyle
1bHs8lt40yPg2VejypcFCZ,Showtek;VÉRITÉ,Night Drive Autumn/Winter 2022/23,Pour It Down,0,196000,False,0.652,0.743,11,-5.769,0,0.0642,0.084,0.000119,0.0764,0.23,120.986,4,hardstyle
