track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
23XWX09uupLjkbinjMyJ0H,X JAPAN,BLUE BLOOD REMASTERED EDITION,紅(イントロ ストリングス) - Remaster,37,379133,False,0.25,0.979,8,-5.472,0,0.419,0.0034,0.000122,0.183,0.0595,156.341,4,heavy-metal
75PRxVF10tp2Szd2mdHyFq,Riff,Que Sea Rock,Mala Noche,41,247253,False,0.522,0.857,4,-4.941,0,0.0308,0.000157,9.58e-05,0.354,0.538,96.177,4,heavy-metal
1ziPUOfnmbNmEPS7ToCGMK,Los Antiguos,Madera Prohibida,El Inventor Del Mal,35,283376,False,0.424,0.915,4,-5.182,1,0.0308,7.29e-06,0.0689,0.391,0.245,92.718,4,heavy-metal
1wws0f3qk1EUV7TrtbGmPw,De La Tierra,De La Tierra,Maldita Historia,35,266800,False,0.405,0.99,6,-3.067,1,0.088,0.000773,0.401,0.18,0.275,170.062,4,heavy-metal
5qjZgLx35G3YbZkI8cKlkn,Riff,Que Sea Rock,Lily Malone,40,302586,False,0.512,0.848,11,-5.559,0,0.0365,1.8e-05,0.000269,0.378,0.374,127.616,4,heavy-metal
1FQG72IMugWnzCQcCblz6j,Asspera,Hijo de Puta,Partiendo Cabezas,36,300328,True,0.507,0.961,1,-4.647,1,0.0568,0.000168,8.35e-05,0.703,0.759,75.002,4,heavy-metal
6HHruc9avBu4RLhcRmUZew,Rata Blanca,Rata Blanca,Chico Callejero,37,307693,False,0.535,0.546,4,-13.637,1,0.0344,0.0224,0.879,0.257,0.32,117.652,4,heavy-metal
70VfAhsPWCKIXO9yc1rKQN,Almafuerte,Mundo Guanaco,El Pibe Tigre,41,243106,False,0.58,0.852,4,-7.099,0,0.0756,0.000384,0.0,0.11,0.576,116.936,4,heavy-metal
3mrCVBnj3LOOKZLlRoj2MT,Stam1na,Stam1na,Kadonneet kolme sanaa,37,222726,False,0.452,0.817,2,-8.372,1,0.0459,4.06e-05,0.915,0.394,0.354,130.161,4,heavy-metal
1u2jxvIzH3wghSYG4Kc7Sv,Pappo;Divididos,"Pappo y Amigos, Vol. 2",Sucio y Desprolijo,37,266493,False,0.423,0.976,11,-5.044,0,0.0793,0.00334,0.00177,0.836,0.49,143.244,4,heavy-metal
5NCyqYGMVv9XJbymXH71d9,Rata Blanca,Rata Blanca,Sólo Para Amarte,38,342160,False,0.522,0.632,6,-15.762,0,0.0346,0.0268,0.916,0.202,0.539,91.95,4,heavy-metal
3Oylj0SZiK5tpFn5BXYEpZ,Ricardo Iorio,Atesorando los cielos,Justo Que Te Vas,41,287226,False,0.471,0.778,11,-3.941,1,0.0289,0.223,1.84e-05,0.428,0.52,93.969,4,heavy-metal
