track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
4BcrWCZPXuoGU0SnAsJW1s,George Jones,George Jones - 16 Biggest Hits,He Stopped Loving Her Today,54,197400,False,0.333,0.232,8,-14.605,1,0.0366,0.785,0.000548,0.252,0.398,144.788,4,honky-tonk
0F76EzCOmno4KJviO7iGNq,Hank Williams;Drifting Cowboys,The Complete Hank Williams,"Hey, Good Lookin'",50,174293,False,0.785,0.365,7,-9.963,1,0.0377,0.801,0.0,0.0662,0.913,141.167,4,honky-tonk
5sXTCG1UPYlwEa3KPOg3U3,Hank Williams;Drifting Cowboys,The Original Singles Collection . . . Plus,"Hey, Good Lookin'",38,175360,False,0.784,0.327,7,-11.222,1,0.0383,0.797,0.0,0.0941,0.898,141.185,4,honky-tonk
5zFgBVbfMdfo6kCKm5hD6t,Hank Williams;Drifting Cowboys,The Original Singles Collection . . . Plus,Alone And Forsaken,46,121066,False,0.575,0.162,5,-11.575,1,0.0489,0.975,0.0235,0.114,0.472,76.319,4,honky-tonk
5O3EyD5kv3n3lGFIWNBSWO,George Jones,Walk Through This World With Me,Walk Through This World With Me,46,137960,False,0.435,0.295,7,-9.043,1,0.0276,0.449,0.000279,0.11,0.49,94.292,4,honky-tonk
69WdAXh4RBYrAj28jCVjby,George Jones;Tammy Wynette,Greatest Hits,Take Me,22,139466,False,0.414,0.177,2,-16.023,1,0.0305,0.885,9.82e-05,0.133,0.472,67.209,3,honky-tonk
6vc2NgDneM6ya0i02LKdl7,Frankie Carle,The Piano Style Of Frankie Carle,"In The Cool, Cool, Cool Of The Evening",27,196481,False,0.763,0.211,5,-16.786,1,0.0335,0.973,1.44e-05,0.136,0.747,132.394,4,honky-tonk
6qMgx8ys4MNNxypaIvbG0i,George Jones,Super Hits,He Stopped Loving Her Today,54,195333,False,0.43,0.173,8,-18.597,1,0.0321,0.594,0.000111,0.224,0.365,72.103,4,honky-tonk
0deAIqyKFFw55JDMGWTcdA,Hank Williams;Drifting Cowboys,Memorial Album (Expanded Edition),"Hey, Good Lookin'",55,176893,False,0.777,0.36,7,-9.966,1,0.0401,0.805,0.0,0.0756,0.887,140.962,4,honky-tonk
61GEP8lryEfcuEgBMbRmNi,Hank Williams;Drifting Cowboys,Moanin' The Blues (Expanded Edition),Alone And Forsaken,50,121733,False,0.472,0.182,5,-12.279,1,0.0649,0.971,0.00604,0.113,0.488,80.458,4,honky-tonk
04bsExZXrwoRXYKKDWlTIU,Hank Williams;Drifting Cowboys,Sings,I Saw The Light,52,166000,False,0.349,0.273,7,-11.443,1,0.0325,0.95,6.21e-05,0.146,0.493,204.922,4,honky-tonk
2RIPyJ5U3kbJpTAqRzZGFj,Pete Bernhard,Straight Line,Orphan,23,272773,False,0.632,0.527,9,-9.335,1,0.0294,0.24,1.89e-06,0.113,0.679,101.663,4,honky-tonk
5gbm0aNo7eXNuOEkQi5m9B,Hank Williams;Drifting Cowboys,Honky Tonkin (Expanded Undubbed Edition),Jambalaya (On The Bayou),54,174866,False,0.504,0.298,7,-10.719,1,0.0345,0.725,0.0,0.0693,0.884,164.084,4,honky-tonk
1bqDQwBFPvykl6OiIHTVis,Hank Williams;Drifting Cowboys,Memorial Album (Expanded Edition),Settin' The Woods On Fire,45,158266,False,0.757,0.3,0,-9.017,1,0.0434,0.836,1.73e-06,0.0649,0.961,161.295,4,honky-tonk
7bvGIJWvOwCc1VOr9Lkwn7,James Hand,Shadow On The Ground,Floor To Crawl,26,169000,False,0.64,0.499,9,-8.219,1,0.0287,0.725,4.34e-05,0.0892,0.655,126.888,4,honky-tonk
44NoDY2IHo4Dw5lKUGoRI9,Charlie Walker,My Baby's Gone,Pick Me up on Your Way Down,21,143120,False,0.503,0.383,6,-7.438,1,0.0289,0.789,0.0,0.131,0.913,155.002,4,honky-tonk
6KB3UH8BVVQqbe24eBfJZn,Floyd Cramer,Last Date,Last Date - Instrumental,49,146933,False,0.296,0.287,0,-13.01,1,0.0345,0.701,0.00121,0.153,0.716,205.4,3,honky-tonk
4CfXi5WZ4niZDvuLDIZqvg,Hank Williams;Drifting Cowboys,I Saw The Light (Expanded Undubbed Edition),Calling You,23,175226,False,0.659,0.42,2,-7.953,1,0.0248,0.542,2.7e-05,0.105,0.93,95.927,4,honky-tonk
2Z4DnVXjGNJj7xPnjhlAcM,Railbenders,Segundo,Whiskey Rain,23,231813,False,0.51,0.898,4,-5.803,1,0.0394,0.193,0.0,0.111,0.711,125.163,4,honky-tonk
1pDO9I2o9IE2Tw79wxmo30,George Jones,Wine Colored Roses,Wine Colored Roses,24,197533,False,0.494,0.178,7,-16.524,1,0.0281,0.592,0.0,0.168,0.262,87.371,3,honky-tonk
5NItI4mEfxJqhnyaVRjMDR,Webb Pierce,Golden Hits - Volume I (Vol. 1),I'm Walking the Dog,22,143730,False,0.374,0.439,9,-10.924,1,0.0309,0.679,0.000209,0.132,0.83,144.654,4,honky-tonk
1q0wCfrE9eGFMzS2g8aVnx,George Jones,I Am What I Am (Expanded Edition),He Stopped Loving Her Today,56,195760,False,0.351,0.21,8,-14.838,1,0.0334,0.76,0.000138,0.29,0.394,144.25,4,honky-tonk
54lkjZWc8TO7r1QSCiIwVG,George Jones,The Full Discover Package,Still Doin' Time,22,168773,False,0.635,0.311,3,-12.621,1,0.0314,0.772,4.93e-05,0.0955,0.34,124.166,3,honky-tonk
62OQBigJvRuggCFv3E3LFK,George Jones,Country Heart: 24 Favorite Songs,The Race Is On,22,124800,False,0.653,0.487,9,-12.678,1,0.0341,0.723,0.0,0.17,0.921,87.963,4,honky-tonk
692SwkeacszJXUIXYN2y1I,George Jones,Nothing Ever Hurt Me (Half As Bad As Losing You),What My Woman Can't Do,24,154946,False,0.573,0.213,6,-13.541,1,0.0254,0.706,2.11e-06,0.279,0.549,91.793,4,honky-tonk
3TBo35jEFBoveimF1NJ4ER,George Jones,Greatest Hits from the King of Country,A Good Year for the Roses,24,186520,False,0.51,0.336,11,-11.351,1,0.029,0.748,0.189,0.185,0.436,92.571,4,honky-tonk
0DUrdV917olRPxTesJAI3n,George Jones,Columbia Country Classics - Volume 4: The Nashville Sound,The Grand Tour,29,185533,False,0.482,0.214,10,-15.021,1,0.0277,0.888,0.0029,0.287,0.442,88.649,4,honky-tonk
4FmnUrA4cN7bsTuHNuEOqv,Frankie Carle;Marjorie Hughes,From The Sony Vault: Christmas With The Big Bands,Little Jack Frost Get Lost (with Marjorie Hughes) - 78rpm Version,28,164160,False,0.779,0.247,10,-12.5,0,0.0338,0.942,0.000578,0.153,0.732,135.87,4,honky-tonk
2rygxuvAiis3OebdJHsR0q,Hank Williams;Drifting Cowboys,The Complete Hank Williams,Honky Tonkin',23,163493,False,0.537,0.414,4,-9.909,1,0.0307,0.831,1e-06,0.102,0.859,165.352,4,honky-tonk
05qxVI0FGM6OiestYxA8Wn,George Jones,Mr. Country and Western,White Lightnin',26,166368,False,0.603,0.717,8,-12.338,1,0.0622,0.685,1.59e-05,0.105,0.943,149.092,4,honky-tonk
4dim8F8t01qimHOmr6S3Gd,Faron Young,The Complete Capitol Hits Of Faron Young,Hello Walls,55,146840,False,0.62,0.406,0,-10.421,1,0.0281,0.722,6.73e-06,0.114,0.695,101.489,4,honky-tonk
6SAJ25rNLHCfYabbk9QCJm,George Jones,Love Songs,He Stopped Loving Her Today,22,195760,False,0.346,0.208,8,-14.705,1,0.0343,0.777,9.09e-05,0.244,0.382,144.134,4,honky-tonk
7nsvrteisxxfFN4U4BrkjE,Hank Williams;Drifting Cowboys,The Complete Hank Williams,Honky Tonk Blues,26,130573,False,0.773,0.309,9,-9.665,1,0.0417,0.807,2.44e-05,0.106,0.824,127.868,4,honky-tonk
3ZhzF6bok8eDxDRueEvW9O,George Jones;Tammy Wynette,Greatest Hits,Near You,21,140293,False,0.555,0.26,0,-15.042,1,0.0255,0.337,0.000122,0.125,0.329,97.586,4,honky-tonk
