track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
24BYTj1tb5ovZcnIbtdTYD,Seekae;Flume,Test & Recognise (Remixes),Test & Recognise - Flume Re-work,70,303660,False,0.544,0.579,8,-8.52,1,0.0712,0.193,1.43e-05,0.117,0.294,109.769,4,idm
7kzz52nsw2wy0LPQ84ynHE,Kyson,Every High,Every High,56,213204,False,0.702,0.372,11,-12.298,1,0.0478,0.629,0.0114,0.0972,0.189,114.077,4,idm
7BY2UnJcQbLO5AMEYgt0NR,Seekae,Test & Recognise (Remixes),Test & Recognise,38,215208,False,0.619,0.601,0,-8.727,0,0.0333,0.148,0.00235,0.146,0.373,126.993,4,idm
0z7IeekUiNaQvmGQhsfJdl,Kyson,atr/cal (Piano Solo),After the Rain - Piano Solo,44,179439,False,0.601,0.0971,11,-20.043,0,0.0373,0.984,0.91,0.0931,0.15,107.003,4,idm
4hSi4sD4OJ5AskhVtu9wTj,Kyson,"Hi Demons, Bye Demons","Hi Demons, Bye Demons",42,108148,False,0.442,0.442,7,-10.899,1,0.0456,0.164,0.33,0.334,0.245,110.227,4,idm
5tLOyz4zKn4M0lpMAT58FD,Ocoeur,Everything,Ascent,37,302465,False,0.32,0.2,1,-12.941,1,0.0315,0.957,0.897,0.0893,0.025,145.964,4,idm
75NSzNM87xKteVMHKzzGab,Ishome,Confession,Ken Tavr,44,307896,False,0.612,0.427,10,-11.645,0,0.0521,0.539,0.924,0.115,0.0693,91.016,4,idm
6mwHS78L18Da6HRO4HNo0i,Kyson,A Book Of Flying,You,47,236719,False,0.587,0.267,0,-14.936,0,0.0326,0.513,0.0363,0.075,0.0388,115.201,4,idm
2MYPFXScWdR3PQihBQxu7x,Yosi Horikawa,Wandering,Bubbles,44,347250,False,0.855,0.66,9,-11.632,0,0.137,0.653,0.699,0.0676,0.924,123.036,3,idm
7ALY67YY6NmlRuWwhYWnSA,Praveen;Shankar;Srinivas;Clinton Cerejo;DJ Aftab,Tamil Romantic Lofi,Endrendrum Punnagai LoFi Mix,2,194333,False,0.565,0.56,9,-8.198,0,0.0281,0.595,0.0025,0.207,0.592,90.016,4,idm
5JzTn1lBtfCwPvQmfBbwDp,Ishome,Confession,Adam,37,250682,False,0.731,0.508,9,-12.463,0,0.061,0.0306,0.875,0.0876,0.233,140.002,4,idm
3VSQJhXdcJZOLyTLPbmxDr,Ben Lukas Boysen;Kiasmos,Clarion (Kiasmos Remix),Clarion - Kiasmos Remix,44,343278,False,0.609,0.651,6,-14.3,0,0.0419,0.509,0.837,0.107,0.195,122.014,4,idm
4riVJ8dOg2QpIp3rdFh8kq,Kyson;Young & Sick,Every High (The Remixes),Every High - Young & Sick in-Flight Remix,50,258000,False,0.766,0.572,10,-10.182,0,0.0433,0.0202,0.0146,0.0554,0.231,119.952,4,idm
3E8cDI21EQkDQjncehTKFL,tstewart;Ólafur Arnalds,New Grass — piano reworks,New Grass — piano reworks,45,216141,False,0.205,0.271,1,-19.739,1,0.0325,0.93,0.841,0.134,0.086,85.356,5,idm
11Hk2BLZPrCLeiisGhVDMB,Bogdan Raczynski,Thinking Of You,Thinking Of You Thinking Of Me,47,59266,False,0.427,0.306,7,-15.619,1,0.0331,0.957,0.944,0.153,0.177,88.062,4,idm
5cTq8dOJy8ncgY4eVmqJK0,Kyson,A Book Of Flying,Flightless,20,158038,False,0.364,0.497,5,-12.745,0,0.0305,0.836,0.384,0.117,0.0353,156.132,3,idm
4gjWKsTwZZKwN0nnES8bGv,o9,o9-Silence,o9-Silence,22,44375,False,0.546,0.251,5,-14.804,1,0.0427,0.739,0.882,0.115,0.807,139.903,4,idm
0cCHIKsLcYwK8mDQrFgMrr,SE,RUSH,RUSH,20,193714,True,0.816,0.497,9,-11.577,0,0.12,0.845,1.75e-05,0.111,0.704,140.025,4,idm
0SDh7AAKlUSzzzXfuB1aVw,Rival Consoles,Persona,Memory Arc,46,133206,False,0.126,0.204,6,-21.014,0,0.0381,0.811,0.834,0.091,0.0393,79.158,3,idm
0vp09QgBhShrQOL2w7P8k4,Rival Consoles,Odyssey / Sonne,Recovery,50,290201,False,0.456,0.461,2,-11.337,1,0.0593,0.0978,0.815,0.102,0.119,155.008,4,idm
55Fp4sbWAowr5iUIPNnPhP,Automatic Tasty,Sentimentalist's Choice,Praise Brigade,23,353684,False,0.732,0.919,4,-7.429,1,0.0366,0.0201,0.922,0.0795,0.813,132.996,4,idm
320ePMZ8X0ugeffZk0wNzY,Rival Consoles,Persona,Dreamer's Wake,47,304162,False,0.656,0.508,5,-12.805,0,0.0372,0.605,0.902,0.0787,0.103,113.002,4,idm
39tUHDzQ5nlGPtYaA71Y9v,Rival Consoles,Persona,Untravel,42,351948,False,0.504,0.271,5,-19.877,1,0.045,0.846,0.815,0.0872,0.0564,125.942,4,idm
2A9TgvJLw4ZhWr4qSnGCEI,Serph,Disney Glitter Melodies,On My Way,21,196413,False,0.503,0.47,5,-11.935,1,0.0278,0.1,0.167,0.228,0.235,90.006,4,idm
2Dqdfa1syc2RDxjQSDFcsk,Rei Harakami,わすれもの,きえたこい,20,328666,False,0.735,0.902,5,-12.488,1,0.0436,0.011,0.852,0.0767,0.713,132.993,4,idm
13SW2I0C2Tou2BgVNp8NxT,Ochre,Project Caelus,Crowd of Stars,19,264560,False,0.338,0.34,1,-14.246,1,0.0294,0.519,0.904,0.117,0.0599,109.886,4,idm
1pbxHoGLKHD7jx4vMw5H2n,Rival Consoles,Now Is,Vision of Self,44,347981,False,0.43,0.389,6,-14.204,0,0.0547,0.821,0.94,0.358,0.0519,118.526,1,idm
2QB6kh4Szp4fRD96mvz3Ys,Preston,Aespatia,Syllogistical,17,457000,False,0.324,0.501,1,-14.911,0,0.0513,0.0326,0.527,0.15,0.0398,100.0,4,idm
6ZQ3XvLBrmwnoNFtU0c2X5,Plaid,The Digging Remedy,Do Matter,45,220920,False,0.521,0.289,8,-16.915,1,0.0302,0.54,0.564,0.111,0.289,99.997,4,idm
7w7FMIBOsVFxS3jMieSwIm,Dither,Final Destination,Odyssey,20,205500,False,0.625,0.899,1,-0.735,1,0.178,0.00104,0.0702,0.0979,0.282,159.991,4,idm
0IBfzm4cEZ0rQK5YGXjXNg,Toronto Is Broken;Natty Campbell;Matt Neux,HEADSBASS VOLUME 4,Reminisce - Matt Neux Remix,19,268842,False,0.63,0.916,10,-3.927,0,0.0522,0.00106,0.0225,0.871,0.303,87.503,4,idm
3pAlKMwng8S0zlKL71glZD,Rival Consoles,Odyssey / Sonne,Odyssey,45,281980,False,0.486,0.611,7,-8.896,1,0.0407,0.0485,0.893,0.109,0.0457,100.986,4,idm
7gLVKmFdPHGTrrK5QknUnw,Rival Consoles,Now Is,World Turns,42,323919,False,0.594,0.418,8,-12.837,1,0.0285,0.107,0.917,0.112,0.0375,105.999,4,idm
2tBkJ9gVFDvep2PcbjnmsU,Dither;Lil Texas,Tools of Demolition,Hardcore Heartbreak,22,177600,False,0.678,0.985,6,-0.978,1,0.138,0.0654,0.0078,0.22,0.0666,100.01,4,idm
2ODaTk3MFDeOQmyKKDq2cP,Dither;Deadly Guns;Warface,Forgotten Future,We Always Rise,26,257462,False,0.557,0.919,7,-2.136,1,0.141,0.00285,0.00019,0.113,0.181,180.003,4,idm
5SmuxMLo0LJzOAp0SvqoA9,arai tasuku,Alice,Dreamland is Falling Dawn,20,110000,False,0.682,0.722,0,-9.216,1,0.0472,0.381,0.933,0.158,0.207,131.926,4,idm
003lo4y8gOylAqDs2scLx2,Dither,Dominator - We Will Prevail,Addiction,21,177166,True,0.553,0.978,8,-0.647,1,0.45,0.081,0.000755,0.33,0.306,180.055,4,idm
4hgxtjaMPJh5OW8HuoBsFQ,Comaduster,FiXT Presents: Sinister Sounds,Far From Any Road,5,274285,False,0.544,0.49,2,-10.438,1,0.0395,0.0125,0.541,0.109,0.172,87.505,4,idm
4znltrmEJkEFZfZZHvjEr0,Dither;D-Fence,Tools of Demolition,Analoog,20,152333,False,0.561,0.995,1,-1.336,0,0.473,0.102,0.0,0.329,0.0864,179.989,4,idm
5qRoiTrXaFA5qHYsoeNdYG,Mr. Projectile;Bassnectar,Underground Communication,I Am Back - Bassnectar Remix,18,486506,False,0.568,0.791,11,-9.117,0,0.0495,0.0268,0.325,0.324,0.184,95.005,4,idm
0Ai3IJqIdGd4VuQjJAvlhF,Dither;Deadly Guns,Playing With Fire,Playing With Fire - Radio Edit,26,166736,True,0.66,0.981,5,-1.369,0,0.0615,0.0195,5.78e-05,0.356,0.123,95.066,4,idm
5hCVyvjkiTpE9NTfziIJxF,Dither;Deadly Guns,Playing With Fire,Playing With Fire - Original Mix,19,218526,True,0.685,0.98,5,-1.795,0,0.116,0.0267,0.00025,0.208,0.134,95.034,4,idm
2ZDruNvurShYM6JHBDgbX6,Dither;Deadly Guns,"Dominator - Rally Of Retribution (Mixed By Angerfist, The Satan & Negative A)",Playing With Fire [Mixed],18,165000,False,0.65,0.989,5,-1.312,0,0.0768,0.0443,0.000166,0.417,0.109,95.046,4,idm
3KI5QyGd96HmeuJaYltmhZ,Dither;Warface,Tools of Demolition,Get It Twisted,22,158117,False,0.617,0.956,1,-2.395,1,0.0521,0.00042,0.0166,0.523,0.0704,170.082,4,idm
3UC9PfqijmjKJ06QLvspQI,Fernando Corona,Eres Tú,Eres Tú,19,190748,False,0.592,0.599,7,-5.211,1,0.0412,0.317,0.0,0.172,0.672,162.82,3,idm
7BXnVocjiOyZkXNFsNJUDr,Fernando Corona,Por Si No Te Has Dado Cuenta,Eres Tu,21,190748,False,0.592,0.599,7,-5.211,1,0.0412,0.317,0.0,0.172,0.672,162.82,3,idm
1XmLh3swb9Vve1vkT0P3KK,"Fernando Corona;Luis Angel ""El Flaco""",Ojalá Que Te Mueras,Ojalá Que Te Mueras,29,178080,False,0.475,0.538,10,-4.979,1,0.343,0.54,0.0,0.115,0.934,179.952,4,idm
3sNvYKjMirVgsBGT4NM70R,Fernando Corona,Provócame,Provócame,18,152833,False,0.751,0.931,10,-3.35,1,0.118,0.199,0.0,0.0692,0.966,144.973,4,idm
1ezumDyWIdzGw4CMIU33dh,Fernando Corona,En Peligro de Extincion,En Peligro de Extincion,18,189985,False,0.702,0.352,6,-5.366,1,0.0354,0.729,0.0,0.0889,0.547,124.158,4,idm
5qgAU5MSbGMjgauOPQVwAQ,Fernando Corona,El Corrido de La Muñeca Diamante de Rubí,El Corrido de La Muñeca Diamante de Rubí,18,152765,False,0.804,0.754,0,-4.049,1,0.0966,0.635,0.0,0.0461,0.981,116.045,3,idm
6SwLbGkrXDW8DzYGhqhxGD,Deru,1979,1979,36,291146,False,0.299,0.128,5,-16.762,1,0.0367,0.949,0.876,0.118,0.0369,139.45,4,idm
3MR6KVJrHzwkW7IkWHh2uZ,Kyson,Lucky Notes,Between Us,0,168063,False,0.45,0.462,8,-8.016,1,0.0325,0.0421,1.4e-05,0.104,0.165,166.025,4,idm
5IqjAH2ynF7320IVnqfjlT,Yosi Horikawa,Spaces,Swashers,36,338500,False,0.533,0.67,9,-9.541,0,0.0418,0.328,0.95,0.529,0.452,170.003,4,idm
7jdH3x7Ab9IlgukamWuHRS,alva noto;Ryuichi Sakamoto,Kizuna,Kizuna,41,342145,False,0.271,0.0512,0,-27.18,1,0.0346,0.96,0.85,0.103,0.0363,69.008,4,idm
0VBqYlRaO5OGtJChCeOYwi,Kyson,Lucky Notes,Own Cloud,0,141688,False,0.384,0.192,8,-17.456,1,0.0766,0.903,0.088,0.117,0.0932,139.326,3,idm
4ggp2NxeVak3kqjJvcDvj9,Halls,Ark,Ark,17,106559,False,0.29,0.0372,8,-17.504,1,0.0415,0.943,0.918,0.23,0.197,82.141,4,idm
7gJZNHBt6w9VdXf4HmW0Fo,Kyson,Blackstone,Thankyou for Everything,16,242242,False,0.57,0.368,10,-15.195,1,0.0503,0.791,0.91,0.108,0.156,106.963,4,idm
6zTO0Y58ZBd1ZMjH0EIX1X,Datassette,Existenzmaximum - EP,Mechanical Advantage,43,121856,False,0.587,0.507,8,-22.177,1,0.0386,0.813,0.955,0.0959,0.648,129.632,4,idm
6NDuYg5KklJi8XKkJxb7d8,Lusine;Vilja Larjosto,Sensorimotor,Just a Cloud,43,332307,False,0.6,0.547,7,-11.141,1,0.272,0.181,0.157,0.101,0.583,75.084,4,idm
