track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
2M4OCoJ5q4sYmItQ2YQcH8,Crows in the Rain,Dri:m Wan; Därk Blü,Dri:merz Path / Way,29,471041,False,0.3,0.338,1,-8.869,0,0.032,0.00833,0.724,0.103,0.0595,140.112,3,iranian
5lr9xsWCwPDtCsIkTGrk2H,Crows in the Rain,Sorrow for an Unfinished Dream,Now You Can Sleep,27,366619,False,0.455,0.0562,1,-25.557,0,0.042,0.977,0.879,0.0983,0.115,130.036,4,iranian
0hYeoA6aoBOUyqRB7IItOV,Alphaxone,Altered Dimensions,Distances,11,389548,False,0.235,0.505,5,-17.693,1,0.0646,0.777,0.947,0.101,0.0756,116.927,4,iranian
1eIWSyrho9JstSBTjoadn2,Porya Hatami,Land,Sea,12,384309,False,0.162,0.293,4,-20.112,1,0.0377,0.969,0.968,0.094,0.0486,135.527,3,iranian
1U64F3FMsryebYlNRW94VO,Porya Hatami,Phone to Logos,Color Bars,16,62834,False,0.2,0.00871,3,-37.78,1,0.0515,0.996,0.901,0.103,0.106,69.984,4,iranian
3aNfuClqcTdtxEudO45zxZ,Confess,Evin,Evin,13,314040,True,0.462,0.951,7,-3.681,1,0.0501,0.000562,0.825,0.373,0.18,90.009,4,iranian
0K7FVauF70d5LufTvDf8e7,Porya Hatami;Tomotsugu Nakamura,Phone to Logos,Dawn,12,428800,False,0.198,0.0342,1,-32.958,0,0.0398,0.985,0.906,0.368,0.0412,57.423,3,iranian
6FApg0v1OKUELGZIhq507U,Alphaxone,The Infinite Void,Center X,19,81750,False,0.0566,0.236,3,-27.826,1,0.0622,0.169,0.988,0.0953,0.0303,206.139,5,iranian
2pamD3POFzwSMi1oVUj5Ff,Alphaxone,The Infinite Void,Ashes of Time,15,342000,False,0.134,0.215,8,-22.533,0,0.0376,0.177,0.975,0.286,0.0401,77.296,3,iranian
4zUf2K0GSx1O3ZLoXTjrN7,Alphaxone,The Infinite Void,Lost Sense,15,248000,False,0.0624,0.417,11,-20.062,1,0.14,0.722,0.979,0.898,0.0386,73.258,4,iranian
3Eyi2JGY0xLcPdvn4AbWaX,Alphaxone,Chronosphere,Ancient Pillars,10,399330,False,0.0888,0.18,4,-20.332,0,0.0457,0.488,0.918,0.261,0.0305,78.826,4,iranian
1pkk7CNJfq72LAP8KR61jw,Alphaxone,Echoes from Outer Silence,Outfield,10,112689,False,0.142,0.0877,1,-21.597,1,0.0439,0.662,0.961,0.112,0.026,95.287,4,iranian
3ZBBa9Inb0rcvb1Vr3QhLw,Alphaxone;XERXES THE DARK,Aftermath,Nascency,11,360000,False,0.307,0.337,10,-23.667,0,0.0589,0.247,0.795,0.105,0.134,120.974,5,iranian
6meA1BlqJ1COfcW0PSgCCY,Alphaxone;Dronny Darko,Forsaken,Enter the Gates,12,360241,False,0.0565,0.381,5,-18.776,1,0.0518,0.897,0.926,0.108,0.062,64.945,4,iranian
2CbBTvbXuzM77r5PDnncwD,Alphaxone;Dronny Darko,Forsaken,Beginning,11,355500,False,0.151,0.236,7,-23.81,1,0.065,0.889,0.906,0.0749,0.0653,73.308,3,iranian
0lbKpmwKQDN81wO0qIP3Al,Alphaxone;Dronny Darko,Forsaken,Immersion,13,249000,False,0.164,0.386,1,-25.307,0,0.0572,0.931,0.951,0.101,0.098,72.199,4,iranian
6yFgaaGlNFZtv4tNfOHXNO,Alphaxone,Chronosphere,Distance Experience,13,415000,False,0.157,0.254,3,-21.224,1,0.0384,0.827,0.944,0.113,0.234,94.337,4,iranian
5tX1JdVT1Pvqmm2WrwHo6E,Alphaxone,The Infinite Void,Exit,14,216500,False,0.172,0.33,3,-24.273,0,0.0399,0.851,0.685,0.111,0.129,77.512,3,iranian
2MnAxHDHQpSMfHuGBSHhHO,Alphaxone,Chronosphere,Spellbound,15,395215,False,0.149,0.066,11,-24.457,1,0.0533,0.848,0.886,0.104,0.0246,136.038,5,iranian
2ppRdUUDrsB9SvHeFaGXMo,Alphaxone,Chronosphere,Floating Spheres,13,235000,False,0.151,0.215,2,-17.155,1,0.0446,0.12,0.448,0.087,0.034,106.592,3,iranian
64B0yTuNiZ90zt0IBlmg9W,Alphaxone,The Infinite Void,Unusual Detection,13,386500,False,0.166,0.117,0,-19.708,1,0.0436,0.198,0.566,0.0943,0.0333,126.806,4,iranian
1WEMtHLpmeV1jmCCYmeHHB,Porya Hatami,Kani,Field,14,381000,False,0.213,0.128,2,-17.708,1,0.0429,0.978,0.943,0.119,0.025,110.707,4,iranian
0dc7pWeDW8piLBgxYyFESU,Alphaxone,Chronosphere,Into the Void,14,440000,False,0.0834,0.325,8,-20.608,1,0.0581,0.0533,0.867,0.104,0.0349,60.19,5,iranian
1Jzz5nYuH7cS3tF1OqHz7g,Alphaxone,Altered Dimensions,Equilibrium,11,510349,False,0.205,0.244,7,-23.696,0,0.04,0.926,0.95,0.131,0.0542,82.552,4,iranian
2Sr6413vEXPqUqDIIj5Neu,Alphaxone,The Infinite Void,Zero Crossing,12,362250,False,0.138,0.137,10,-30.39,0,0.0413,0.633,0.646,0.361,0.0858,142.238,5,iranian
15k1G1G1DjIhw1W29EnD6J,Alphaxone,Living in the Grayland,Into the Silence,11,220055,False,0.253,0.181,5,-23.052,1,0.0375,0.193,0.904,0.146,0.0279,111.957,4,iranian
