track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
493QaNbrvbEiQdPH9hDP6z,AMARIA BB,Slow Motion,Slow Motion,71,166000,True,0.733,0.479,11,-9.27,0,0.301,0.575,0.00053,0.0831,0.485,88.742,4,j-dance
3xVCQGla5LLhrwqNS2FcHo,QUEEN BEE,Fire (Full Edition),火炎,59,215973,False,0.521,0.933,11,-4.874,0,0.179,0.034,2.07e-05,0.33,0.607,169.842,4,j-dance
5NQbUaeTEOGdD6hHcre0dZ,Fetty Wap;Remy Boyz,679 (feat. Remy Boyz),679 (feat. Remy Boyz),74,196693,True,0.618,0.717,7,-5.738,1,0.318,0.00256,0.0,0.625,0.603,190.05,4,j-dance
2d8JP84HNLKhmd6IYOoupQ,Fetty Wap,Fetty Wap (Deluxe),Trap Queen,74,222093,True,0.746,0.873,7,-3.803,1,0.128,0.0244,0.0,0.354,0.817,148.075,4,j-dance
6xW2g0c5uSoa3S6xk9eI4j,Koffee;Gunna,W (feat. Gunna),W (feat. Gunna),61,230151,False,0.856,0.721,6,-6.813,0,0.0779,0.178,2.14e-05,0.0913,0.902,100.98,4,j-dance
24SDeYAeTFda8OUzVI1VR6,Popcaan;Drake;PARTYNEXTDOOR,FIXTAPE,TWIST & TURN (feat. Drake & PARTYNEXTDOOR),64,259651,False,0.571,0.747,7,-4.659,1,0.17,0.478,0.0,0.116,0.635,106.253,4,j-dance
60K1hJKpHcsqzXhVxRAscj,AMARIA BB,What's Done in the Dark,Slow Motion,34,166000,True,0.733,0.479,11,-9.27,0,0.301,0.575,0.00053,0.0831,0.485,88.742,4,j-dance
5rf92DCtbJvUj39BifS6lT,FAKY,four,four,29,214320,False,0.492,0.598,10,-4.474,1,0.033,0.366,0.0,0.323,0.469,77.422,4,j-dance
5vc9YsAEBWbRVvgKUcA5vs,Charly Black;Luis Fonsi,Party Animal,Party Animal,62,195813,False,0.724,0.869,0,-3.922,1,0.046,0.0248,0.0,0.251,0.84,100.999,4,j-dance
1WoOzgvz6CgH4pX6a1RKGp,Fetty Wap;Monty,Fetty Wap (Deluxe),My Way (feat. Monty),66,213053,True,0.748,0.741,6,-3.103,1,0.0531,0.00419,0.0,0.147,0.537,128.077,4,j-dance
0w3Q3VFdrYzo24QUIGnBNy,Fetty Wap;Monty,Fetty Wap (Deluxe),679 (feat. Monty),64,186986,True,0.545,0.763,11,-5.528,0,0.407,0.00715,0.0,0.668,0.752,126.59,5,j-dance
7rj8aNwZqTvrUeLlAyNWtZ,Charly Black,Gyal You A Party Animal,Gyal You A Party Animal,66,214866,False,0.588,0.841,0,-5.138,1,0.0932,0.026,0.0,0.33,0.871,134.577,5,j-dance
0VzBKgimNRMauaqzT2rEnS,Spice;Shaggy;Sean Paul,Go Down Deh (feat. Shaggy and Sean Paul),Go Down Deh (feat. Shaggy and Sean Paul),74,154666,False,0.817,0.8,2,-4.475,1,0.108,0.12,3.9e-05,0.187,0.534,90.016,4,j-dance
