track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
4bY2oZGA5Br3pTE1Jd1IfY,Nogizaka46,バレッタ TypeD,月の大きさ,57,236293,False,0.555,0.941,9,-3.294,0,0.0481,0.484,0.0,0.266,0.813,92.487,4,j-idol
3RoHAivw8gRyzlWDsvbFTB,SCANDAL,TEMPTATION BOX,瞬間センチメンタル,55,224626,False,0.502,0.953,2,-1.419,1,0.063,0.00831,0.0,0.432,0.695,167.908,4,j-idol
7rU6Iebxzlvqy5t857bKFq,Mariya Takeuchi,Expressions,Plastic Love,65,294493,False,0.648,0.875,2,-5.141,0,0.034,0.0747,9.64e-05,0.196,0.857,102.517,4,j-idol
6IVM1YYZq6K6NG6qqC26o4,Seiko Oomori,JUSTadICE,JUSTadICE,56,232338,False,0.404,0.988,0,-1.756,1,0.193,0.00139,0.00419,0.125,0.38,185.051,4,j-idol
4YXlnwnK3yt5xLfF5Q8wKG,Seiko Oomori,大森靖子,JUSTadICE,53,230457,False,0.413,0.988,0,-1.729,1,0.205,0.00123,0.00569,0.0836,0.362,185.034,4,j-idol
1GSPV6AYG8NrtpgqhWx893,SCANDAL,Queens are trumps -切り札はクイーン-,HARUKAZE,52,277280,False,0.459,0.872,4,-0.987,1,0.053,0.0505,0.0,0.166,0.579,82.61,4,j-idol
31A3fFQivbhGo9aJQQCdtP,SCANDAL,BEST★SCANDAL,少女S,54,191506,False,0.588,0.881,11,-2.57,1,0.0304,0.00476,6.79e-06,0.0752,0.887,135.786,4,j-idol
3lDcT3QEFj9OWQBFoqAaHO,GIRLFRIEND,HOUSE,sky & blue,42,238133,False,0.535,0.942,8,-2.892,1,0.0625,0.034,0.0,0.191,0.812,157.03,4,j-idol
76c42qNYc0VB5KUXO6lWHH,Seiko Matsuda,SEIKO STORY〜80's HITS COLLECTION〜,野ばらのエチュード,33,246720,False,0.575,0.401,5,-8.178,1,0.0275,0.767,2.41e-05,0.165,0.421,134.229,4,j-idol
16D5bGymrzpi9ZlnYXB5ql,BABYMETAL,BABYMETAL,Gimme Chocolate!!,59,230613,False,0.616,0.985,11,-1.596,1,0.0825,0.000282,0.000144,0.111,0.44,109.978,4,j-idol
5UhTgNN6c7js2HT2nEaPZZ,Seiko Matsuda,SEIKO STORY〜80's HITS COLLECTION〜,ハートのイアリング,35,247306,False,0.802,0.799,5,-5.77,1,0.0288,0.427,2.03e-06,0.207,0.901,114.188,4,j-idol
46MhfQQxeAHPhycIbDs9Gc,MAX,EMOTIONAL HISTORY,一緒に・・・,34,314666,False,0.663,0.833,8,-5.432,0,0.0284,0.0159,0.000828,0.32,0.698,116.074,4,j-idol
52m9IF3nfNwL4MCL2hg35v,Seiko Matsuda,SEIKO STORY〜80's HITS COLLECTION〜,時間の国のアリス,34,283960,False,0.727,0.702,10,-6.875,1,0.0326,0.247,0.00011,0.223,0.561,126.562,4,j-idol
4yVzNknEXRtTZBowdNFTe6,Keyakizaka46,アンビバレント (Special Edition),I'm out,34,234240,False,0.529,0.918,0,-2.984,0,0.0633,0.0198,0.0,0.302,0.54,120.986,4,j-idol
5Ta0UPB35YzO3kdANMXbnN,Nogizaka46,走れ!Bicycle TypeD,海流の島よ,32,242826,False,0.491,0.954,5,-2.636,1,0.0402,0.0417,3.38e-06,0.303,0.862,164.949,4,j-idol
2rR0K8eBQG6tOxZcxAPJKG,Seiko Matsuda,SEIKO STORY〜80's HITS COLLECTION〜,ガラスの林檎(SEIKO STORY〜80's HITS COLLECTION〜),34,238893,False,0.629,0.527,5,-6.863,1,0.0244,0.63,0.0,0.0644,0.238,93.362,4,j-idol
73tPvnW877UKxjgGl8geAk,MAX,MAXIMUM II,Give me a Shake,35,326633,False,0.671,0.883,5,-3.269,0,0.0279,0.0882,0.0,0.299,0.644,105.023,4,j-idol
0anw2y6ifCI7QS8Cj5Ph7x,Nogizaka46,生まれてから初めて見た夢 (Complete Edition),君が扇いでくれた,37,244400,False,0.562,0.786,2,-3.854,1,0.0303,0.00974,2.14e-05,0.251,0.684,105.997,4,j-idol
4SDovUYiPB21YBBicEKJlJ,Perfume,"Perfume The Best ""P Cubed""",ワンルーム・ディスコ,33,306293,False,0.623,0.926,11,-2.109,0,0.0355,0.00426,1.59e-05,0.168,0.879,128.004,4,j-idol
60NNjFuigXAbCPftSfM1NW,BiSH,GOiNG TO DESTRUCTiON,BROKEN,35,267547,False,0.385,0.925,0,-5.48,1,0.0762,1.03e-05,0.253,0.155,0.435,174.125,4,j-idol
6ge78YSB7wKmJy5zds5oeE,Seiko Matsuda,SEIKO STORY〜80's HITS COLLECTION〜,天使のウィンク(SEIKO STORY〜80's HITS COLLECTION〜),41,241613,False,0.674,0.675,11,-7.928,1,0.0352,0.408,0.0011,0.136,0.399,141.09,4,j-idol
6kFw39z6YQtgAJ8kOX7abj,夜光性アミューズ,まっしぐら恋心,まっしぐら恋心,32,209684,False,0.578,0.885,5,-3.065,0,0.0913,0.0429,0.0,0.256,0.647,94.918,4,j-idol
7fzvkkYGczeSI1Etap3N14,Nogizaka46,インフルエンサー,インフルエンサー,33,270093,False,0.349,0.853,3,-3.759,0,0.0481,0.557,0.0,0.313,0.675,131.966,4,j-idol
2EPVEQ8ITYjNXmT8FEUoxH,Seiko Matsuda,SEIKO STORY〜80's HITS COLLECTION〜,Strawberry Time,33,267160,False,0.59,0.825,10,-7.265,1,0.0359,0.555,0.0468,0.0984,0.432,132.88,4,j-idol
2hebQblF1Y1HAkXEP1cnTA,=LOVE,探せ ダイヤモンドリリー,いらない ツインテール,34,224680,False,0.577,0.958,1,-3.162,1,0.112,0.000595,0.0015,0.11,0.492,96.467,4,j-idol
45y5wHG8Zf5Dx9bQFlzNzh,Keyakizaka46,永遠より長い一瞬 ~あの頃、確かに存在した私たち~(Complete Edition),砂塵,33,278626,False,0.55,0.953,0,-4.919,1,0.0524,0.261,0.0,0.308,0.653,127.988,4,j-idol
67wQAw9IlNH8mZ62BZa7Pb,Nogizaka46,生まれてから初めて見た夢 (Complete Edition),ごめんね、スムージー,34,280666,False,0.562,0.939,0,-3.259,1,0.0668,0.338,0.0,0.122,0.486,150.072,4,j-idol
2F0BHgRpe2qHKo9TPYCdvY,Nogizaka46,生まれてから初めて見た夢 (Complete Edition),Rewindあの日,33,267533,False,0.72,0.768,3,-6.216,0,0.035,0.215,0.0,0.276,0.804,108.005,4,j-idol
4bKDv3H7XigHrVYwUwCjiR,=LOVE,CAMEO,「君と私の歌」,37,323186,False,0.424,0.956,11,-2.884,1,0.0966,0.0257,8.58e-05,0.378,0.605,173.948,4,j-idol
5y2cZBC8Mq4TQp2I6Vo0ne,=LOVE,=LOVE,=LOVE,32,247826,False,0.429,0.959,10,-3.214,1,0.0905,0.037,0.000193,0.0474,0.651,158.031,4,j-idol
