track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
3dPtXHP0oXQ4HCWHsOA9js,YOASOBI,夜に駆ける,夜に駆ける,74,261013,False,0.67,0.874,8,-5.221,1,0.0305,0.00231,1.72e-05,0.3,0.789,130.041,4,j-pop
7LHAKF7pBqHch8o6Yo0ad5,RADWIMPS;Toaka,Suzume,Suzume,68,236390,False,0.571,0.415,2,-6.572,0,0.0305,0.615,0.0,0.187,0.342,78.025,4,j-pop
0o9zmvc5f3EFApU52PPIyW,Fujii Kaze,HELP EVER HURT NEVER,Shinunoga E-Wa,85,185573,False,0.6,0.76,6,-6.124,0,0.0452,0.166,4.09e-05,0.189,0.519,158.078,4,j-pop
1di1C0QI6Y92yZPYn6XYAZ,KANA-BOON,TIME,シルエット,73,240133,False,0.436,0.934,2,-2.685,1,0.0507,1.03e-05,0.14,0.321,0.384,91.481,4,j-pop
1rN9QoVxw5U7TJkyaUR8C1,TK from Ling tosite sigure,Fantastic Magic,unravel,73,238360,False,0.508,0.889,7,-2.755,0,0.0862,0.0495,0.0,0.0984,0.332,135.014,4,j-pop
1AM8QdDFZMq6SrrqUnuQ9P,Michael Bublé,It's Time,Feeling Good,73,237333,False,0.535,0.548,1,-6.51,1,0.037,0.533,1.48e-06,0.123,0.477,115.144,3,j-pop
0olowJHoOuNQXDDERcchzM,Fujii Kaze,Autumn Vibes 2022,Shinunoga E-Wa,0,185573,False,0.6,0.76,6,-6.124,0,0.0452,0.166,4.09e-05,0.189,0.519,158.078,4,j-pop
2e1gUS6Wv8GS8ZT6FMeE1J,ロクデナシ,ただ声一つ,ただ声一つ,70,161561,False,0.707,0.5,1,-5.78,1,0.0296,0.895,4e-05,0.234,0.583,129.97,4,j-pop
3A4FRzgve9BjfKbvVXRIFO,RADWIMPS,Your Name.,Sparkle - movie ver.,66,537653,False,0.372,0.426,11,-8.421,1,0.0339,0.687,0.00784,0.109,0.287,123.993,4,j-pop
2XpV9sHBexcNrz0Gyf3l18,Ikimonogakari,Chou Ikimonobakari Tennen Kinen Members Best Selection,ブルーバード,70,215706,False,0.536,0.966,6,-2.929,0,0.0558,0.121,0.0,0.0477,0.849,152.076,4,j-pop
