track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
7LHAKF7pBqHch8o6Yo0ad5,RADWIMPS;Toaka,Suzume,Suzume,68,236390,False,0.571,0.415,2,-6.572,0,0.0305,0.615,0.0,0.187,0.342,78.025,4,j-rock
64yajM6CxtLghmgB53VeXT,Mrs. GREEN APPLE,インフェルノ,インフェルノ,69,212546,False,0.529,0.931,4,-1.538,1,0.0581,0.00955,0.0,0.465,0.695,92.466,4,j-rock
1di1C0QI6Y92yZPYn6XYAZ,KANA-BOON,TIME,シルエット,73,240133,False,0.436,0.934,2,-2.685,1,0.0507,1.03e-05,0.14,0.321,0.384,91.481,4,j-rock
1rN9QoVxw5U7TJkyaUR8C1,TK from Ling tosite sigure,Fantastic Magic,unravel,73,238360,False,0.508,0.889,7,-2.755,0,0.0862,0.0495,0.0,0.0984,0.332,135.014,4,j-rock
7p30D2KjK2XW7YUvI6nH3o,7!!,Anipps,オレンジ,63,350200,False,0.348,0.492,7,-4.844,1,0.0324,0.171,0.0,0.116,0.3,171.637,4,j-rock
6k0X05danQOXSBTVek5DU1,SiM,The Rumbling,The Rumbling,73,220799,False,0.459,0.878,5,-1.399,0,0.0688,5.62e-05,0.000307,0.371,0.494,144.852,4,j-rock
4MTgIH5OZQHAbdBWgbKSAb,Survive Said The Prophet,MUKANJYO,MUKANJYO,64,192400,False,0.468,0.961,7,-4.082,1,0.114,0.00364,0.0,0.226,0.31,94.926,4,j-rock
28DlaPydCnrs8NxYOnUPZ8,BLUE ENCOUNT,Q.E.D,ポラリス,65,224213,False,0.534,0.941,8,-2.561,1,0.077,0.00204,0.00615,0.102,0.573,95.008,4,j-rock
3A4FRzgve9BjfKbvVXRIFO,RADWIMPS,Your Name.,Sparkle - movie ver.,66,537653,False,0.372,0.426,11,-8.421,1,0.0339,0.687,0.00784,0.109,0.287,123.993,4,j-rock
3KhwEuqLNjHfsKaBDo1yVh,Shinsei Kamattechan,Boku no Sensou,Boku no Sensou,66,280466,False,0.473,0.936,2,-4.877,1,0.0704,0.00916,0.0422,0.31,0.416,144.014,4,j-rock
3YOZLPRiTuYgItSGO41gPT,BURNOUT SYNDROMES,檸檬,FLY HIGH!!,66,244493,False,0.475,0.961,11,-1.434,1,0.0705,0.0132,0.0,0.331,0.355,94.466,4,j-rock
4BvuZVf9KyBN3QiPfeI9hw,LiSA,LANDSPACE,crossing field,69,248946,False,0.45,0.983,5,-2.246,1,0.282,0.0186,0.0,0.265,0.314,179.041,4,j-rock
0cSkn2l67csUljEy0EEBPn,LiSA,炎,炎,67,275000,False,0.477,0.685,2,-4.554,1,0.0325,0.105,0.0,0.277,0.308,152.04,4,j-rock
0KCSJzsQVxkloxoT7dyrqV,SiM,The Rumbling (TV Size),The Rumbling (TV Size),66,90265,False,0.408,0.875,8,-1.536,1,0.0546,1.68e-05,0.000101,0.264,0.646,144.975,4,j-rock
0qMip0B2D4ePEjBJvAtYre,LiSA,LEO-NiNE,紅蓮華,74,237586,False,0.541,0.977,4,-2.828,0,0.157,0.00321,5.13e-05,0.0796,0.263,134.938,4,j-rock
5mEqD00bdFcsiVd0MfvEeF,RADWIMPS,Your Name.,Dream lantern,63,131666,False,0.206,0.871,8,-5.751,1,0.419,0.0316,6.55e-05,0.0596,0.125,175.6,3,j-rock
3IDF7N86lrcWaJEt9C1gbS,Official HIGE DANdism,Cry Baby,Cry Baby,66,240284,False,0.318,0.902,1,-4.605,1,0.131,0.0116,0.0,0.393,0.437,199.844,4,j-rock
