track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
41uJUBetzpoSXEBABYdwxb,Dora The Explorer,Dora The Explorer,Dora The Explorer Theme,43,42466,False,0.711,0.63,0,-6.591,1,0.238,0.451,9.2e-06,0.129,0.851,119.027,4,kids
5Sho3kEbYXopoXPhPACqo7,Mr. C,Mr. C Presents The Cha-cha Slide Greatest Hits,Cha Cha Slide,52,222080,False,0.856,0.905,11,-6.82,0,0.146,0.041,0.00385,0.315,0.805,131.003,4,kids
1LM8Vm0qFej9bm9mr03hCx,Ultimate Party Mixers,Ultimate Party Mix (Deluxe Edition),"Dollar Wine (Five Cent, Ten Cent)",24,241173,False,0.717,0.661,7,-12.106,1,0.0365,0.184,0.0,0.083,0.967,126.147,4,kids
6bky0BZwgaEwmqbNB5BLbV,Desmond Dennis,Emotions - EP,I Hate Love,48,180244,False,0.625,0.397,7,-7.908,0,0.0266,0.412,0.0,0.0999,0.324,83.992,4,kids
07Tx168RSsUS1HqkDIOZbH,Cupid,Time for a Change,Cupid Shuffle,63,231360,False,0.785,0.582,5,-4.877,0,0.237,0.191,0.0,0.2,0.861,71.774,4,kids
2dIpzVC9RzJIYca6fGcPTT,Patty Shukla,"Jump, Wiggle and Hop",Choo Choo Train,49,140546,False,0.847,0.801,3,-4.073,1,0.105,0.278,0.0,0.326,0.709,109.965,4,kids
0j3d9PDB0QDkXijNsl2gLk,Dora The Explorer,Dora The Explorer Party Favorites,Chicken Dance,46,147133,False,0.587,0.957,7,-4.098,1,0.0292,0.0991,0.0337,0.911,0.963,108.453,4,kids
3KFZYmO40ckgMzf6d12zI6,That Girl Lay Lay,Do What I Want,Do What I Want,50,184992,False,0.899,0.625,10,-6.044,0,0.371,0.41,0.0,0.25,0.576,130.84,4,kids
1R77CxppnheFfIGNgQ9NF8,BeatBo;Fisher-Price,Fisher-Price BeatBo,Freeze Dance,51,76888,False,0.8,0.887,9,-3.419,0,0.293,0.276,5.48e-06,0.345,0.487,135.034,4,kids
7z4VPtZm9g9dxC83ratUFM,The Palace Singers,Nursey Rhymes For A Little Prince,Round and Round The Garden,38,67266,False,0.976,0.171,0,-13.24,1,0.105,0.511,0.052,0.088,0.692,109.951,4,kids
