track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
43VoASYNFFXqy2HE0rAm4W,Daddy Yankee;Bad Bunny,Clásicos de ahora: Perreo,X ÚLTIMA VEZ,0,192477,True,0.812,0.855,7,-3.725,1,0.0554,0.0789,0.000167,0.108,0.573,90.04,4,latin
1dVZeuQFWzSI22d3hPEncI,Daddy Yankee;El Alfa;Lil Jon,Feliz Cumpleaños con Perreo,BOMBÓN,8,182413,True,0.843,0.789,7,-2.801,1,0.247,0.0028,2.41e-05,0.0322,0.571,125.071,4,latin
1qdiryo9D6QgoZw9beV72q,Daddy Yankee;Snow,pov: it's 2019,Con Calma,0,193226,False,0.737,0.86,8,-2.652,0,0.0594,0.11,1.94e-06,0.0574,0.656,93.989,4,latin
7i06j7x2UzGnURlzGV37WL,Daddy Yankee;Bad Bunny,Frescura y Perreo,X ÚLTIMA VEZ,5,192477,True,0.812,0.855,7,-3.725,1,0.0554,0.0789,0.000167,0.108,0.573,90.04,4,latin
1rhSz40cKH9mzrlJKhg0E4,Daddy Yankee;Plan B,FELIZ CUMPLEAÑOS,Sábado Rebelde,7,240266,False,0.771,0.905,6,-3.268,0,0.155,0.11,7.46e-06,0.656,0.858,163.978,4,latin
2oiffhYxrg5NHiPDZubyqa,Daddy Yankee;Bad Bunny,Reggaeton Mix Perreito,X ÚLTIMA VEZ,2,192477,True,0.812,0.855,7,-3.725,1,0.0554,0.0789,0.000167,0.108,0.573,90.04,4,latin
70rQq4iMDKjX8UlG7QlHUa,Daddy Yankee;Bad Bunny,Reggeaton Imperdible,X ÚLTIMA VEZ,2,192477,True,0.812,0.855,7,-3.725,1,0.0554,0.0789,0.000167,0.108,0.573,90.04,4,latin
2ldVpRwLjfUWCDqrjNQYWt,Daddy Yankee;Bad Bunny,Perreo en Halloween,X ÚLTIMA VEZ,3,192477,True,0.812,0.855,7,-3.725,1,0.0554,0.0789,0.000167,0.108,0.573,90.04,4,latin
7FNClArpU0MQIIkAU5VSwh,Daddy Yankee;Bad Bunny,Reggaeton Mix Perreito,Vuelve,5,279613,False,0.734,0.531,1,-5.662,1,0.0321,0.196,0.0,0.119,0.199,130.025,4,latin
511zIRlXGOQs2oykDi4KwT,Daddy Yankee;Bad Bunny,El perreo es el futuro,X ÚLTIMA VEZ,0,192477,True,0.812,0.855,7,-3.725,1,0.0554,0.0789,0.000167,0.108,0.573,90.04,4,latin
79hVM41bj2IKfCVhUFh9Ra,Daddy Yankee;Bad Bunny,Halloween con perreito,X ÚLTIMA VEZ,0,192477,True,0.812,0.855,7,-3.725,1,0.0554,0.0789,0.000167,0.108,0.573,90.04,4,latin
6qMj7ctUqGyqWaSh62I4I4,Daddy Yankee;Sech,Halloween 2022 Perreo Vol. 5,Definitivamente,3,217773,False,0.812,0.764,8,-3.39,0,0.101,0.59,0.0,0.253,0.431,100.082,4,latin
7af1WixhIA44jYgzXU19da,Daddy Yankee;Bad Bunny,Bájale como 7500,Vuelve,2,279613,False,0.734,0.531,1,-5.662,1,0.0321,0.196,0.0,0.119,0.199,130.025,4,latin
0yy3WShigK5eqAmhS4aRwz,Daddy Yankee;Bad Bunny,Feliz Cumpleaños con Perreo,X ÚLTIMA VEZ,1,192477,True,0.812,0.855,7,-3.725,1,0.0554,0.0789,0.000167,0.108,0.573,90.04,4,latin
5hnGly9RuGiixupoVrLTNI,Bad Bunny;Drake,New Pop Icons,MIA,0,210367,False,0.817,0.539,6,-6.349,0,0.0621,0.0141,0.000496,0.099,0.158,97.061,4,latin
1v1nsB6TCXuhdC4QNP4aB4,Daddy Yankee;Bad Bunny,Feliz Cumpleaños con Perreo,Vuelve,3,279613,False,0.734,0.531,1,-5.662,1,0.0321,0.196,0.0,0.119,0.199,130.025,4,latin
0tQyUsejipsHr5BEdx7wLX,Bad Bunny;Drake,Today's Party Hits,MIA,0,210367,False,0.817,0.539,6,-6.349,0,0.0621,0.0141,0.000496,0.099,0.158,97.061,4,latin
0vp47IigZ7JVQ89jDetO7H,Daddy Yankee,Esto me suena a Farra,Limbo,4,224800,False,0.805,0.878,7,-3.826,1,0.0864,0.0754,0.00329,0.0656,0.922,124.994,4,latin
3ZPrcLz9peBVWyYZHwx0DI,Daddy Yankee,Feliz Cumpleaños con Perreo,Dura,3,200480,False,0.783,0.84,1,-3.416,1,0.051,0.174,0.0,0.412,0.838,95.002,4,latin
5vyRNIsjHH6pZu1dKBddOO,Daddy Yankee;Wisin & Yandel,Fiesta Reggaeton 2010s,Si Supieras,4,241880,False,0.691,0.894,9,-1.681,0,0.115,0.291,0.0,0.104,0.623,184.018,4,latin
5wPayKgEqHa0ewZhUS8BSY,Daddy Yankee,Frescura y Perreo,RUMBATÓN,2,248768,False,0.685,0.909,3,-4.034,0,0.0396,0.0471,0.0,0.35,0.922,95.004,4,latin
4lLahP9nb19QJux8cSXSIX,Daddy Yankee,Reggaeton Mix Perreito,RUMBATÓN,4,248768,False,0.685,0.909,3,-4.034,0,0.0396,0.0471,0.0,0.35,0.922,95.004,4,latin
27sqBDytiRE42WplwCLrj7,Daddy Yankee,Reggeaton Imperdible,RUMBATÓN,5,248768,False,0.685,0.909,3,-4.034,0,0.0396,0.0471,0.0,0.35,0.922,95.004,4,latin
