track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
40MlMSv2kkmph6XhYMOovm,Mathan;Naven,Intha Vechiko,Somberi,57,236143,False,0.707,0.795,1,-5.7,0,0.234,0.537,0.0,0.0922,0.612,187.927,4,malay
23gBGYYQcA8ivnVDj2eZxD,Pina Colada Blues;Anumita Nadesan,Tera Nishaan,Tera Nishaan,58,167000,False,0.567,0.573,3,-8.465,1,0.0502,0.684,0.444,0.108,0.21,120.014,4,malay
5djDnTwEoaz05ppwHKf4hp,Sayanth S,Aaraarum Kaanathe - Chandrolsavam,Aaraarum Kaanathe - Chandrolsavam,53,116923,False,0.386,0.176,6,-15.301,1,0.0412,0.921,0.0234,0.133,0.389,155.988,4,malay
7BJybnEB4uPrhUW7lHqatX,Gowry Lekshmi,"Uyarum (From ""June"")","Uyarum - From ""June""",53,153250,False,0.599,0.56,4,-8.945,1,0.0352,0.462,0.00178,0.12,0.184,129.991,4,malay
3Tu4Ekuh0KxfEwZnwYfaQ5,Sajeer Koppam,Kannod Kannod,Kannod Kannod,49,318902,False,0.304,0.468,5,-9.251,1,0.0332,0.68,7.09e-05,0.133,0.128,150.011,3,malay
59oAJRA0zzLzl9AXa1R6zh,K. S. Harisankar;Shreya Ghoshal;Kailas,"Jeevamshamayi (From ""Theevandi"")","Jeevamshamayi (From ""Theevandi"")",58,323179,False,0.344,0.328,0,-9.71,1,0.0361,0.833,1.29e-06,0.0731,0.525,83.927,4,malay
6x92rezeG05zhvtQRyiozs,Sachin Warrier,10.30 AM Local Call (Original Motion Picture Soundtrack),Etho Sayana,51,294604,False,0.847,0.511,0,-9.699,0,0.0718,0.42,2.81e-05,0.117,0.436,99.996,4,malay
6YINoRUOzEFYOnGwOafdEI,Gowry Lekshmi,Godha (Original Motion Picture Soundtrack),Aaro Nenjil,56,267876,False,0.549,0.457,5,-9.953,1,0.0288,0.863,0.0789,0.0938,0.506,129.866,4,malay
6d8L62TC2yM38IzyIkJTQ7,Havoc Brothers,Kappe Varroh,Kappe Varroh,56,192810,False,0.887,0.634,8,-7.099,1,0.149,0.229,0.0,0.0931,0.422,145.057,4,malay
2Ave2tR1JMh91Y4fvrHNx8,K. S. Harisankar;Ouseppachan,"Pinnenthe Enthe Mulle (From ""Ellam Sheriyakum"")","Pinnenthe Enthe Mulle - From ""Ellam Sheriyakum""",50,280832,False,0.577,0.513,0,-8.775,0,0.0414,0.664,2.27e-06,0.328,0.341,144.904,3,malay
10yNfCSs2TCacy9LNLdNaB,Havoc Mathan,Painkiller,Painkiller,53,262325,False,0.673,0.56,4,-9.089,0,0.106,0.306,0.0,0.224,0.487,171.861,4,malay
7umUWOeq1ktc3OPFJVR8hn,Krishnaprasad;Vinesh,Medley: Nilavinte Neelabhasma / Thamarapoovil Vaazhum,Medley: Nilavinte Neelabhasma / Thamarapoovil Vaazhum,52,246506,False,0.654,0.246,4,-9.394,1,0.0278,0.617,2.18e-05,0.11,0.193,99.825,1,malay
2hs0eVQRkBiGw8nLPN2rIu,Matadoria,I.O.Y.A (Ayyo Vayye),I.O.Y.A (Ayyo Vayye),56,225600,False,0.552,0.843,3,-4.831,1,0.0355,0.231,2.2e-05,0.0748,0.7,99.982,4,malay
