track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
1Mut1YA6ZxKZ7F6MKsMSQu,JJ Lin,Shang-Chi and The Legend of The Ten Rings: The Album,Lose Control,55,254800,False,0.56,0.75,0,-5.885,1,0.0816,0.223,0.427,0.204,0.279,100.077,4,mandopop
1fnEaGJPQoedHBuCjU3hlm,告五人,玫瑰憑證,給你一瓶魔法藥水,58,258786,False,0.643,0.8,1,-4.669,0,0.037,0.0249,0.000329,0.21,0.792,99.016,4,mandopop
479lquEL4Mzh3tQLtnHVfL,Jay Chou,我很忙,青花瓷,59,237346,False,0.689,0.497,11,-7.855,0,0.0251,0.221,0.0,0.108,0.543,108.01,4,mandopop
5DSF1VTSaaAFIesJLlltuM,Tanya Chua,若你碰到他,紅色高跟鞋,61,206586,False,0.476,0.659,11,-4.898,0,0.0251,0.104,0.0,0.232,0.492,176.018,4,mandopop
31RIphTQ9y4zStkH5xRWgW,Jay Chou,11月的蕭邦,一路向北,60,294240,False,0.456,0.617,5,-6.252,1,0.0273,0.0133,5.95e-05,0.116,0.3,133.917,4,mandopop
46fURCnWErjFdNM2yBJ2c8,Eric Chou,如果雨之後,永不失聯的愛,64,259600,False,0.289,0.43,10,-6.818,1,0.0332,0.624,0.0,0.101,0.531,169.511,4,mandopop
0F02KChKwbcQ3tk4q1YxLH,Jay Chou,葉惠美,晴天,64,269746,False,0.547,0.567,7,-7.295,1,0.0242,0.276,0.000548,0.104,0.399,137.13,4,mandopop
3Pb1fkVWodKMbaieSiCcoc,Lu Han,π-volume.3,Slow Motion,51,153673,False,0.744,0.59,7,-6.093,1,0.0394,0.612,0.0,0.0999,0.564,98.005,4,mandopop
1qC4WWHjOBmldotqL15dnD,Lu Han;Kris Wu,咖啡 (LH x KW),咖啡 (LH x KW),46,194683,False,0.769,0.595,10,-5.926,1,0.0416,0.0447,0.0,0.107,0.326,95.015,4,mandopop
4C40uclUHUsQKdbTKBIAfu,Z.TAO,Beggar,Beggar,47,208178,False,0.711,0.576,4,-7.679,1,0.0574,0.287,0.0,0.0712,0.388,100.006,4,mandopop
32nainF4TXsMpuFOGCkzzM,Jay Chou,11月的蕭邦,夜曲,59,226773,False,0.674,0.649,1,-5.869,1,0.0451,0.285,0.0585,0.226,0.6,86.985,4,mandopop
1ZeVIrCWzEmsJexkrgvjFv,Hebe Tien,小幸運,小幸運,60,265521,False,0.519,0.412,0,-8.584,1,0.0365,0.75,0.0,0.101,0.506,157.916,4,mandopop
27FOde2nUw0pFuj7hlPbaS,告五人,我肯定在幾百年前就說過愛你,愛人錯過,62,292074,False,0.549,0.923,1,-3.857,1,0.0393,0.0295,8.76e-05,0.14,0.498,140.045,4,mandopop
4hJbPNtAKE6wHUbFas3LzH,Jeff Chang,無別 (動畫《天官賜福》片頭曲),無別 (動畫《天官賜福》片頭曲),47,257235,False,0.365,0.394,4,-10.865,0,0.0468,0.799,0.0,0.197,0.354,143.468,4,mandopop
6jNy9WM3zyvG9E5bdVALl8,告五人,好不容易,好不容易 (《華燈初上》片尾曲),65,295466,False,0.382,0.543,4,-5.938,0,0.0345,0.313,2.1e-05,0.268,0.166,173.652,4,mandopop
3palHCLBk7aokHMxujQrYw,Z.TAO,揭穿,揭穿,41,190773,False,0.567,0.279,8,-10.548,1,0.0492,0.897,0.0,0.104,0.452,125.16,4,mandopop
55d0jw269HE9pbOt5ntCo8,G.E.M.,新的心跳,多遠都要在一起,62,217720,False,0.51,0.53,3,-6.532,1,0.0312,0.319,0.0,0.102,0.136,135.726,4,mandopop
