track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
57h06SZNL6LJ3YKZ1UGCeu,Enigma,Love Sensuality Devotion: The Greatest Hits,Sadeness,62,255533,False,0.588,0.644,7,-9.547,1,0.0338,0.0928,0.0472,0.092,0.49,95.647,4,new-age
7mfvOqsvzZaUl7sfbcNk4E,ERA,Era I 2002,Ameno,62,235226,False,0.605,0.532,1,-10.872,0,0.0337,0.0919,0.000576,0.0762,0.139,102.804,4,new-age
33JFCwEvVejNIxGwHMakbk,Jacob's Piano,Mariage d'Amour,Mariage d'Amour,55,269629,False,0.303,0.178,7,-20.756,0,0.0467,0.972,0.941,0.0836,0.218,162.93,4,new-age
6YyqULhTNU7AKaKJKChluQ,Enigma,MCMXC a.D.,Principles Of Lust: Sadeness / Find Love / Sadeness (Reprise),62,703133,False,0.611,0.429,7,-15.362,1,0.0365,0.128,0.468,0.031,0.469,95.008,4,new-age
1jcQ040aWKeiUGJ2IcnFtV,Yiruma,Sunset Bird,Sunset Bird,60,191000,False,0.349,0.191,0,-16.111,0,0.0463,0.992,0.936,0.132,0.0414,140.422,3,new-age
6995XAHtz5WmP1xVujJT2a,Karunesh,Global Spirit,Punjab,30,432561,False,0.602,0.722,8,-10.363,1,0.0352,0.0303,0.000208,0.299,0.469,93.014,4,new-age
3MVm36ouM56jbP5rORxbVy,Enigma,Sadeness (Part I),Sadeness - Pt. 1 / Radio Edit,59,260399,False,0.607,0.478,7,-13.677,1,0.0354,0.0866,0.106,0.0983,0.51,95.721,4,new-age
2agBDIr9MYDUducQPC1sFU,Yiruma,Yiruma 2nd Album 'First Love' (The Original & the Very First Recording),River Flows In You,71,188786,False,0.315,0.22,9,-21.343,1,0.0514,0.987,0.943,0.0802,0.116,145.195,4,new-age
6bl2cA03RSC3uodBpq66Jt,Enigma,"Le Roi Est Mort, Vive Le Roi!",The Child In Us,57,306066,False,0.488,0.708,9,-11.577,1,0.0407,0.17,0.272,0.222,0.431,90.051,4,new-age
5Q1WrsTDRJQXKlqLUo8YkG,Enigma,MCMXC a.D.,Mea Culpa,55,301333,False,0.556,0.762,11,-14.145,0,0.0478,0.0225,0.61,0.362,0.332,109.995,4,new-age
3IEl5LLYsvTEQmnxMaxBQa,Yiruma,SOLO,River Flows In You,56,210562,False,0.385,0.285,9,-19.837,1,0.0583,0.966,0.937,0.111,0.267,137.2,3,new-age
2UKkLqST2xWpK8n1b0Xr5Z,Enigma,The Cross Of Changes,Return To Innocence,66,255466,False,0.476,0.584,10,-12.357,1,0.038,0.119,0.0,0.274,0.417,88.026,4,new-age
0JwhT2vTrFK4eFlX5ecTdf,Jim Brickman;Lady A,Never Alone,Never Alone,54,221946,False,0.312,0.472,2,-7.344,1,0.0415,0.678,0.0,0.107,0.346,82.253,3,new-age
53Lfqp8F0KCInwcFjabMJB,Yanni,The Essential Yanni,One Man's Dream,56,163200,False,0.363,0.115,0,-20.386,0,0.0352,0.984,0.975,0.135,0.188,122.598,4,new-age
3xr8COed4nPPn6XWZ0iCGr,Yiruma,The Best - Reminiscent 10th Anniversary,River Flows in You,64,218293,False,0.287,0.292,9,-19.285,1,0.0541,0.968,0.978,0.09,0.346,145.703,4,new-age
