track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
1xugsCboIm1yILqpLvH9aD,Josh Groban,Closer (Special Edition),You Raise Me Up,61,292333,False,0.25,0.136,10,-12.162,1,0.037,0.673,0.000157,0.107,0.0981,118.086,4,opera
43ZA173zlPZnKN3YSjrzHU,Andrea Bocelli;Chris Botti,Coffee Break,When I Fall In Love,26,281558,False,0.327,0.279,8,-10.318,1,0.0291,0.928,0.000144,0.12,0.15,69.66,5,opera
6fFjbqPoTLlfv4dMdyrrvJ,Josh Groban;London Symphony Orchestra,Cuddle Up Christmas,White Christmas,1,236800,False,0.235,0.27,3,-12.354,1,0.0353,0.915,0.0106,0.0956,0.0588,114.156,3,opera
2WdqL8OHTKV7NA9zfeTsFq,Andrea Bocelli,En la nada,El Abeto,0,257680,False,0.358,0.233,5,-10.632,1,0.0305,0.884,2.8e-06,0.0838,0.167,82.938,3,opera
2fa6Yb3QTKnvF2P0zRi6JT,Andrea Bocelli,La navidad es todo aquello que nos hace recordar...,Santa Claus llegò a la ciudad,0,214151,False,0.347,0.499,10,-7.596,1,0.0344,0.756,0.0,0.183,0.345,133.872,4,opera
2PWYFc8JR7O1KWOoGofltM,Andrea Bocelli;Reba McEntire,Holidays Are Coming,Blue Christmas,0,256880,False,0.168,0.306,5,-9.298,1,0.0331,0.828,3.92e-06,0.0969,0.131,77.89,4,opera
2cEOeF7kmKInfVrk2A3yQU,Andrea Bocelli,Ya huele a buñuelos,Santa Claus llegò a la ciudad,0,214151,False,0.347,0.499,10,-7.596,1,0.0344,0.756,0.0,0.183,0.345,133.872,4,opera
220KFUVjdcPP0Nw0pUpyeU,Giacomo Puccini;Arioso Quartett Wien,Encores,Crisantemi,0,342893,False,0.15,0.106,6,-18.592,0,0.0426,0.842,0.835,0.111,0.0553,83.844,1,opera
212b6GfIExM6QKXA16NVE8,Josh Groban;Brian McKnight;London Symphony Orchestra,Merry Christmas,Angels We Have Heard On High,1,210933,False,0.456,0.281,5,-12.202,1,0.0302,0.914,0.000586,0.115,0.259,110.009,4,opera
5XPQQLzZUXLIT6mLnLRY83,Andrea Bocelli;Reba McEntire,World's Best Christmas Playlist,Blue Christmas,0,256880,False,0.168,0.306,5,-9.298,1,0.0331,0.828,3.92e-06,0.0969,0.131,77.89,4,opera
0Nd5SfjEWfN7t7MGOm37iw,Andrea Bocelli;Giorgia,90's Music Grandi Successi,Vivo per lei,0,265584,False,0.533,0.456,2,-6.394,1,0.0265,0.701,0.0,0.18,0.278,136.115,4,opera
40mJ95jVI9T37L4FXlU6Lc,Andrea Bocelli;Reba McEntire,pov: you hear the bells jingle,Blue Christmas,0,256880,False,0.168,0.306,5,-9.298,1,0.0331,0.828,3.92e-06,0.0969,0.131,77.89,4,opera
14DLzsFYQOK3195eshJ3Aw,Philharmonia Orchestra;Charles Dutoit,Happy Haunted Halloween Tunes,"Danse macabre, Op. 40",0,422826,False,0.334,0.187,7,-20.906,0,0.0415,0.884,0.797,0.105,0.0836,112.135,4,opera
6aD6LWTUsbyvfVVT9H8WLb,Josh Groban;Brian McKnight;London Symphony Orchestra,Christmas Time,Angels We Have Heard On High,0,210933,False,0.456,0.281,5,-12.202,1,0.0302,0.914,0.000586,0.115,0.259,110.009,4,opera
1ABc3541pIrmlwGmDVqQ6u,Josh Groban;Brian McKnight;London Symphony Orchestra,Christmas Music - Holiday Hits,Angels We Have Heard On High,0,210933,False,0.456,0.281,5,-12.202,1,0.0302,0.914,0.000586,0.115,0.259,110.009,4,opera
1OERvlGpQpPk0fzt9dFDGl,Luciano Pavarotti;National Philharmonic Orchestra;Kurt Herbert Adler,Christmas Dinner,"Ave Maria, D. 839 (Arr. Gamley)",0,288346,False,0.214,0.328,10,-13.545,1,0.0377,0.945,8.92e-05,0.105,0.114,89.521,4,opera
2BUIoevZNivVnsKQKpyrRp,Josh Groban;Brian McKnight;London Symphony Orchestra,Perfect Christmas Hits,Angels We Have Heard On High,0,210933,False,0.456,0.281,5,-12.202,1,0.0302,0.914,0.000586,0.115,0.259,110.009,4,opera
1M6g7BTBFCIuzOx7xgBv8D,Giuseppe Verdi;Vincenzo Ciliberti,CD 2 LE NOVITÀ,Attila - Che più s'indugia,0,81405,False,0.318,0.318,5,-6.224,1,0.0346,0.929,6.5e-05,0.201,0.216,96.803,4,opera
4ABDFuZgqdg9X8Rw02WfYF,Nightwish,Spooky Scary Season,The Phantom Of The Opera,1,248240,False,0.433,0.848,5,-6.92,0,0.0496,6.53e-06,0.0316,0.0982,0.324,131.9,4,opera
7BJJeYemxKUPKICj8xcQfo,Il Volo,Weihnachtslieder 2022,"Christmas Medley: Jingle Bells Rock / Let It Snow, Let It Snow, Let It Snow / It's The Most Wonderful Time Of The Year",0,219160,False,0.427,0.587,2,-5.527,1,0.033,0.642,0.0,0.315,0.579,130.144,4,opera
2jdMrGoTIJgMWCL9a23IGe,Josh Groban;Brian McKnight;London Symphony Orchestra,Holly Jolly Christmas,Angels We Have Heard On High,0,210933,False,0.456,0.281,5,-12.202,1,0.0302,0.914,0.000586,0.115,0.259,110.009,4,opera
6bfzJqCmmKyn7GQtgnfWd1,Giacomo Puccini;Renée Fleming;English Chamber Orchestra;Jeffrey Tate,Silvia Colloca - Sing Like An Italian,"La rondine, SC 83: Chi il bel sogno di Doretta",1,223314,False,0.234,0.136,5,-18.882,1,0.0458,0.97,0.281,0.108,0.0374,85.418,4,opera
2B1MmCSzH8MRj6kIImsgbq,Giuseppe Verdi;Vincenzo Ciliberti,CD 2 LE NOVITÀ,Attila - Mentre gonfiarsi l'anima,0,155788,False,0.232,0.246,5,-12.142,1,0.0366,0.976,0.902,0.13,0.183,103.736,3,opera
3iB63QtuNkQQ6opFqSWNRz,Giuseppe Verdi;Vincenzo Ciliberti,CD 2 LE NOVITÀ,Attila - Oltre a quel limite t'attendo,0,113659,False,0.287,0.482,9,-9.074,0,0.0391,0.909,0.3,0.181,0.399,122.567,3,opera
3F10yGruAGAJhxvyd3NDgW,Giuseppe Verdi;Vincenzo Ciliberti,CD 2 LE NOVITÀ,Attila - Santo di patria... Allor che i forti corrono,0,216129,False,0.149,0.553,10,-6.576,1,0.0412,0.906,0.719,0.637,0.369,178.113,1,opera
6v0fwaWUgYacKeOTpI4RYQ,Il Volo,Christmas Songs 2022,"Christmas Medley: Jingle Bells Rock / Let It Snow, Let It Snow, Let It Snow / It's The Most Wonderful Time Of The Year",0,219160,False,0.427,0.587,2,-5.527,1,0.033,0.642,0.0,0.315,0.579,130.144,4,opera
6L3GBNiAHSK77OfbDyo9g7,Il Volo,Christmas Classics,"Christmas Medley: Jingle Bells Rock / Let It Snow, Let It Snow, Let It Snow / It's The Most Wonderful Time Of The Year",0,219160,False,0.427,0.587,2,-5.527,1,0.033,0.642,0.0,0.315,0.579,130.144,4,opera
0hcBws4Xh1l8BBnbCH4MgD,Il Volo,Christmas Dinner 2022,"Christmas Medley: Jingle Bells Rock / Let It Snow, Let It Snow, Let It Snow / It's The Most Wonderful Time Of The Year",0,219160,False,0.427,0.587,2,-5.527,1,0.033,0.642,0.0,0.315,0.579,130.144,4,opera
7grUSN7Q4HDfm6D7zqtr7W,Il Volo,Christmas 2022,"Christmas Medley: Jingle Bells Rock / Let It Snow, Let It Snow, Let It Snow / It's The Most Wonderful Time Of The Year",0,219160,False,0.427,0.587,2,-5.527,1,0.033,0.642,0.0,0.315,0.579,130.144,4,opera
6YXDfEyxHSr1IPeVImfDuE,Giacomo Puccini;Luciano Pavarotti;Mirella Freni;Berliner Philharmoniker;Herbert von Karajan,Silvia Colloca - Sing Like An Italian,"La bohème, SC 67: O soave fanciulla",0,257732,False,0.212,0.106,7,-20.938,1,0.0433,0.969,0.0376,0.0937,0.0398,83.746,4,opera
4NTS7wYWmr1o1de19Ynsjh,Il Volo,Rock Christmas 2022 - The Very Best Of,"Christmas Medley: Jingle Bells Rock / Let It Snow, Let It Snow, Let It Snow / It's The Most Wonderful Time Of The Year",0,219160,False,0.427,0.587,2,-5.527,1,0.033,0.642,0.0,0.315,0.579,130.144,4,opera
