track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
2JW4kMMMGxr8LxZeKeBYJF,Harris & Ford;2 Engel & Charlie,Layla sitzt dicht im Flieger,Amsterdam,2,126133,False,0.702,0.839,6,-3.954,0,0.0744,0.0232,0.000261,0.0932,0.348,112.516,1,party
4oeKCbH4TtLxtYtEFru0BY,Die Zipfelbuben;DJ Cashi,Ballermann Party Hits Megamix 2022.2,Olivia,0,180157,False,0.666,0.942,1,-2.928,1,0.0689,0.0307,0.0,0.246,0.832,141.913,4,party
6DZkSVWQMDE97W1cGB3oPk,DJ Robin;Schürze,Best Of Karneval,Layla,0,185437,False,0.442,0.922,5,-2.918,0,0.0695,0.00134,0.0,0.432,0.388,140.082,4,party
4hNKPzqMtYLp0q4kCAdkn8,Julian Sommer,Best Of Karneval,Dicht im Flieger,1,225882,False,0.607,0.958,8,-1.131,1,0.0866,0.0412,0.0,0.259,0.404,136.036,4,party
0w8orSWhT98lqyDvRZiyck,DJ Ötzi;Marc Pircher,Karneval 2022 100%,7 Sünden - Party Mix,0,239053,False,0.635,0.996,7,-3.107,1,0.069,0.0879,0.0,0.158,0.67,130.033,4,party
7nLUq63GdG3riM8eSVh2Ij,DJ Ötzi;Marc Pircher,Best Of Karneval,7 Sünden - Party Mix,0,239053,False,0.635,0.996,7,-3.107,1,0.069,0.0879,0.0,0.158,0.67,130.033,4,party
4j4Jc3xTEOAPRd9GuH1CsX,DJ Robin;Schürze,Ernte 2k23,Layla,0,185437,False,0.442,0.922,5,-2.918,0,0.0695,0.00134,0.0,0.432,0.388,140.082,4,party
4g7PoHihXEAodIHUrGJ3Wk,Tream;HBz,Layla sitzt dicht im Flieger,Goldmarie,0,166346,False,0.547,0.813,8,-6.425,1,0.314,0.0514,0.0,0.147,0.388,149.942,4,party
4k8oQAvQPKTYDeF9q3gLbP,Tream;HBz,Ernte 2k23,Goldmarie,0,166346,False,0.547,0.813,8,-6.425,1,0.314,0.0514,0.0,0.147,0.388,149.942,4,party
1yYTULMZ5t1mxgbkGzkexi,Die Zipfelbuben;DJ Cashi,Après Ski Fussball Party 2022 - Wir feiern auf den Hütten,Olivia,0,180157,False,0.666,0.942,1,-2.928,1,0.0689,0.0307,0.0,0.246,0.832,141.913,4,party
3diPEpZKPa7DyhpMtp5Psw,DJ Robin;Schürze,Ballermann Hits Party 2023,Layla,0,185437,False,0.442,0.922,5,-2.918,0,0.0695,0.00134,0.0,0.432,0.388,140.082,4,party
1ZQobK5o691me3zyP1gNE7,DJ Ötzi,Ernte 2k23,Hintermoser Kathi (A Dirndl wie a Zelt),12,191506,False,0.771,0.955,0,-3.813,1,0.086,0.0496,0.0,0.0465,0.964,135.989,4,party
0RU6TqIUZjzlO46jnA4exd,DJ Ötzi,Layla sitzt dicht im Flieger,Anton aus Tirol - Silverjam RMX,0,191613,False,0.685,0.914,11,-4.177,0,0.182,0.0795,0.0,0.955,0.874,133.026,4,party
6yui19Oreg3zdu1y7LsTCU,FiNCH;SDP,Best Of Karneval,Liebe ist ...,1,183173,True,0.631,0.8,9,-4.179,1,0.101,0.107,0.0,0.373,0.782,156.941,4,party
0hnUdyxN1I87cwHunLCCgR,DJ Ötzi,Best Of Karneval,Hey Baby - Remastered 2019,0,220506,False,0.565,0.979,7,-5.456,0,0.0692,0.000251,3.83e-06,0.937,0.508,130.0,4,party
3VRowfPfpBF3jUwJpL04kW,DJ Ötzi;Nik P.,Karneval 2022 100%,Ein Stern (der deinen Namen trägt) - Party Mix,0,236306,False,0.716,0.962,0,-3.094,1,0.0334,0.00309,5e-06,0.445,0.945,126.017,4,party
29pauoBt4FMsySc9UQMZvF,Julian Sommer,Layla sitzt dicht im Flieger,Dicht im Flieger,0,225882,False,0.607,0.958,8,-1.131,1,0.0866,0.0412,0.0,0.259,0.404,136.036,4,party
7gqE0ahYb4Jn1zs9WAh4qN,Mia Julia,Layla sitzt dicht im Flieger,Malle Beste Leben,0,156022,False,0.513,0.967,11,-0.835,0,0.136,0.106,0.0,0.112,0.401,102.736,3,party
5DU9FDm3DwS0K278tfULJs,DJ Ötzi;Nik P.,Best Of Karneval,Ein Stern (der deinen Namen trägt) - Party Mix,0,236306,False,0.716,0.962,0,-3.094,1,0.0334,0.00309,5e-06,0.445,0.945,126.017,4,party
27YTlON703TrVxR7EZN7gY,FiNCH;Mia Julia,Layla sitzt dicht im Flieger,Wir eskalieren,0,216286,True,0.73,0.909,11,-5.904,0,0.138,0.123,0.0,0.123,0.453,87.523,4,party
7xniyiLqMqdrTd0EToNUOW,Andreas Gabalier,Rock n Roll Christmas,It's Christmas Time,0,237463,False,0.711,0.821,6,-5.909,1,0.0341,0.159,0.0,0.243,0.585,128.052,4,party
7I01n0TRTKRfGvTTc3uWBX,FiNCH;SDP,Karneval 2022 100%,Liebe ist ...,0,183173,True,0.631,0.8,9,-4.179,1,0.101,0.107,0.0,0.373,0.782,156.941,4,party
5DOmDyzOhW5czyuaxDbSFV,Julian Sommer,Ernte 2k23,Dicht im Flieger,0,225882,False,0.607,0.958,8,-1.131,1,0.0866,0.0412,0.0,0.259,0.404,136.036,4,party
6zJbuVE1nwz6fszX6q1Edk,DJ Ötzi,Ernte 2k23,Die Fischerin vom Bodensee,0,191666,False,0.672,0.989,4,-3.626,1,0.0319,0.0126,1.63e-06,0.302,0.969,124.015,4,party
48oIzwfZBs7bu6y6YDTiIr,DJ Ötzi;Xtreme Sound,Ballermann Hits Party 2023,Wenn Gott so will - Xtreme Sound Remix,0,211330,False,0.544,0.948,11,-2.418,1,0.0451,0.0125,0.0,0.328,0.696,127.961,4,party
5b8uYUZSIViJYa0OxHPuOb,Mia Julia;Lorenz Büffel;Malle Anja,Best Of Karneval,Der Zug hat keine Bremse - Mallorcastyle Edition,0,207301,False,0.795,0.974,0,-2.418,1,0.0778,0.029,0.0,0.611,0.935,137.957,4,party
2KGayXScWNO2bPw6Z9Ruoy,Mia Julia;Mütze Katze,Best Of Karneval,Ich bleib hier,0,162947,False,0.855,0.728,7,-6.76,1,0.15,0.0155,0.0,0.267,0.716,130.054,4,party
2fuoz7vNgoMOzZmU9078T5,Mia Julia;Lorenz Büffel;Malle Anja,Karneval 2022 100%,Der Zug hat keine Bremse - Mallorcastyle Edition,0,207301,False,0.795,0.974,0,-2.418,1,0.0778,0.029,0.0,0.611,0.935,137.957,4,party
5DPJ4y8ArSycYrlm08L1Eq,Mia Julia;Lorenz Büffel;Malle Anja,Layla sitzt dicht im Flieger,Der Zug hat keine Bremse - Mallorcastyle Edition,0,207301,False,0.795,0.974,0,-2.418,1,0.0778,0.029,0.0,0.611,0.935,137.957,4,party
3VNBr8Dzno1PsmykHwdKEh,DJ Ötzi,Karneval Klassiker,Hey Baby - Remastered 2019,0,220506,False,0.565,0.979,7,-5.456,0,0.0692,0.000251,3.83e-06,0.937,0.508,130.0,4,party
40OGOFVzaNknTuacH6PCxv,Mia Julia,Karneval 2022 100%,Weck mich nicht auf,0,229611,False,0.581,0.942,6,-3.146,1,0.0472,0.002,0.0,0.328,0.412,130.007,4,party
4cICiy9ewIJFNxZk9X7Q3Y,Mia Julia;Mütze Katze,Karneval 2022 100%,Ich bleib hier,0,162947,False,0.855,0.728,7,-6.76,1,0.15,0.0155,0.0,0.267,0.716,130.054,4,party
5zzfKibxNlJPWGkkhAGlLg,DJ Ötzi,Karneval 2022 100%,Hey Baby - Remastered 2019,0,220506,False,0.565,0.979,7,-5.456,0,0.0692,0.000251,3.83e-06,0.937,0.508,130.0,4,party
3a8L810yWVH8mXfiTCmtvS,DJ Ötzi,Karneval Klassiker,Der hellste Stern (Böhmischer Traum) - Silverjam Mix,0,198613,False,0.575,0.957,5,-2.758,1,0.0826,0.00328,0.0,0.158,0.929,126.056,4,party
6gkalIxm5qlgweLkYdbdlF,DJ Ötzi,Karneval 2022 100%,Der hellste Stern (Böhmischer Traum) - Silverjam Mix,0,198613,False,0.575,0.957,5,-2.758,1,0.0826,0.00328,0.0,0.158,0.929,126.056,4,party
0nV2e1PJJkSS2xGePu9jOP,DJ Ötzi,Ernte 2k23,Der hellste Stern (Böhmischer Traum) - Silverjam Mix,0,198613,False,0.575,0.957,5,-2.758,1,0.0826,0.00328,0.0,0.158,0.929,126.056,4,party
2S2fAt6ykPGEGsxedaePlC,DJ Ötzi,Best Of Karneval,Der hellste Stern (Böhmischer Traum) - Silverjam Mix,0,198613,False,0.575,0.957,5,-2.758,1,0.0826,0.00328,0.0,0.158,0.929,126.056,4,party
5ZCtVbx9W9ux0LUUzEt2ha,Mia Julia;Lorenz Büffel;Malle Anja,Ernte 2k23,Der Zug hat keine Bremse - Mallorcastyle Edition,0,207301,False,0.795,0.974,0,-2.418,1,0.0778,0.029,0.0,0.611,0.935,137.957,4,party
0wigZk1HqUqe1baSJXtstq,Mia Julia,Karneval Klassiker,Weck mich nicht auf,0,229611,False,0.581,0.942,6,-3.146,1,0.0472,0.002,0.0,0.328,0.412,130.007,4,party
71wfYjMBBw7dM3Se2M56NI,Mia Julia,Best Of Karneval,Weck mich nicht auf,0,229611,False,0.581,0.942,6,-3.146,1,0.0472,0.002,0.0,0.328,0.412,130.007,4,party
6iJ4cASdT6ddPPOBLkYG37,Julian Sommer,Ballermann Hits Party 2023,Morgen kickt der Kater,0,196764,False,0.614,0.963,11,-1.206,1,0.062,0.0834,0.0,0.377,0.725,135.979,4,party
7KVAGhTi4HnUUvlcNehq1O,FiNCH;Mia Julia,Ballermann Hits Party 2023,Wir eskalieren,0,216286,True,0.73,0.909,11,-5.904,0,0.138,0.123,0.0,0.123,0.453,87.523,4,party
09pIqulR7CrEjcgEuHz85N,Matthias Reim,Weihnachten Playlist,Der große Weihnachtsparty-Hit-Mix - XXL-Mix,0,511400,False,0.391,0.909,0,-6.022,1,0.0379,0.0175,0.0,0.39,0.695,126.975,4,party
3YRF2DMclnHqwFmTueNtic,Mia Julia,Ballermann Hits Party 2023,Freitag Samstag Dicht,0,211160,False,0.783,0.933,9,-3.053,0,0.109,0.0748,0.0,0.317,0.888,127.969,4,party
4Qu5pwrPD7CKQFClYdGE6R,Andreas Gabalier,Karneval 2022 100%,Hulapalu,0,180252,False,0.705,0.676,0,-4.672,1,0.0467,0.505,0.0,0.628,0.701,124.96,4,party
3Gh0LPEcx1z6Bp82Xsxhbs,Mia Julia;Lorenz Büffel;Malle Anja,Ballermann Hits Party 2023,Der Zug hat keine Bremse - Mallorcastyle Edition,0,207301,False,0.795,0.974,0,-2.418,1,0.0778,0.029,0.0,0.611,0.935,137.957,4,party
2B7ztTw0XuywnZK6W3tTG7,Andreas Gabalier,Best Of Karneval,Hulapalu,0,180252,False,0.705,0.676,0,-4.672,1,0.0467,0.505,0.0,0.628,0.701,124.96,4,party
7tKOM6vYLZPChDOU04tFOy,Andreas Gabalier,Ernte 2k23,Bügel dein Dirndl gscheit auf,0,225106,False,0.597,0.935,10,-4.481,1,0.0352,0.0711,0.0,0.117,0.423,131.034,4,party
1wKlYoHZ5O6pVbvt2Zxvz2,Andreas Gabalier,Karneval Klassiker,Hulapalu,0,180252,False,0.705,0.676,0,-4.672,1,0.0467,0.505,0.0,0.628,0.701,124.96,4,party
3bDk5adzwYm0HnbTKZzHgq,Andreas Gabalier,Karneval Klassiker,I sing a Liad für di,0,186120,False,0.793,0.866,0,-4.919,1,0.0375,0.218,0.0,0.296,0.934,126.002,4,party
2KZF4bKu5ycYs1NDjsdy1N,Bierkapitän;Andy Luxx;Dj Aaron;Timster;Ninth,Lea (Timster & Ninth Remix),Lea - Timster & Ninth Remix,0,224400,False,0.52,0.981,6,-2.575,0,0.11,0.00547,3.52e-06,0.314,0.522,150.039,4,party
0IqWNTGwQEttV6mYbqM3oF,Bierkapitän;Andy Luxx;Dj Aaron,Best Of Karneval,Lea,0,159374,False,0.66,0.977,6,-2.232,0,0.0579,0.0278,0.0,0.337,0.771,140.013,4,party
3YEPUR731DgSBj3QBNsGEc,Bierkapitän,Ballermann Party Hits Megamix 2022.2,Ein Pils steht im Wald (Die Tannen zapfen),0,191102,False,0.657,0.989,0,-1.919,1,0.164,0.125,0.0,0.312,0.353,130.015,4,party
29lRfchZ443zFbtRMLY1QU,Bierkapitän;Andy Luxx;Dj Aaron,Karneval 2022 100%,Lea,0,159374,False,0.66,0.977,6,-2.232,0,0.0579,0.0278,0.0,0.337,0.771,140.013,4,party
2Rq2c8RCYPSzwT0mmdoAbS,Bierkapitän;Andy Luxx;Dj Aaron,Layla sitzt dicht im Flieger,Lea,0,159374,False,0.66,0.977,6,-2.232,0,0.0579,0.0278,0.0,0.337,0.771,140.013,4,party
4Ggbnx53gtCG8H1OxDW405,Darius & Finlay,pov: it's 2020,Clothes Off (Nanana),0,226629,False,0.625,0.741,0,-6.818,0,0.0489,0.00918,0.0,0.2,0.212,105.979,4,party
2p2T6RVGmOQC4VNgbTik7i,Mickie Krause,Karneval Klassiker,Schatzi schenk mir ein Foto,0,205309,False,0.624,0.918,6,-4.101,0,0.0539,0.0407,0.0,0.364,0.919,140.094,4,party
1jwuShQSV702Hsu3kgFHkg,Lorenz Büffel,Layla sitzt dicht im Flieger,Hüpfen bis die Insel wackelt,0,200977,False,0.686,0.88,1,-4.252,1,0.107,0.0765,0.0,0.303,0.318,136.0,4,party
0YDN6l78yWjONsP22OjKld,Mickie Krause,Karneval 2022 100%,Eine Woche wach,0,235899,False,0.711,0.997,7,-3.078,1,0.075,0.0623,0.0,0.33,0.76,134.001,4,party
3RAehFerwcfNBPh6HgXvuI,Darius & Finlay;Gili Brown,"Anímate, es viernes",Come Back Now,0,191020,False,0.513,0.916,1,-5.047,0,0.038,0.000844,1.72e-05,0.268,0.356,121.998,4,party
5DZwfsbwZXnKuUPAvrzipC,Lorenz Büffel,Ballermann Party Mix - Alle Après Ski Hütten Hits der letzten Jahre,Schifoan,0,189320,False,0.722,0.997,7,-2.58,1,0.0424,0.042,0.0,0.301,0.967,130.952,4,party
1wEUHZPeGvW7sbF9miASsi,Mickie Krause,Best Of Karneval,Eine Woche wach,0,235899,False,0.711,0.997,7,-3.078,1,0.075,0.0623,0.0,0.33,0.76,134.001,4,party
59kUyBhO3IHu58nlggfs7l,Mickie Krause,Ernte 2k23,Donaulied,1,219440,False,0.54,0.988,0,-2.429,1,0.0341,0.017,0.00538,0.339,0.963,137.97,4,party
2rlpzC6hz1VW9Quaz3ihHI,Mickie Krause,Layla sitzt dicht im Flieger,Geh mal Bier hol'n - GmBh,0,187053,False,0.612,0.997,1,-2.524,1,0.204,0.0185,0.0,0.335,0.545,139.989,4,party
6vPDpwozd5ucOd5QO4Cb4r,Lorenz Büffel;Knossi,Ballermann Hits Party 2023,Trinken ist auch Sport,0,169568,False,0.664,0.917,7,-2.421,0,0.139,0.0464,0.0,0.231,0.785,136.006,4,party
3gD88GyMS2EVa1bSX834LH,Mickie Krause,Ballermann Hits Party 2023,Jan Pillemann Otze - Goldversion 2022,0,216650,False,0.597,0.98,7,-2.075,1,0.0636,0.00427,3.51e-05,0.293,0.633,139.989,4,party
75WqM7UN2eS7Bu7qhJ2UmZ,Mickie Krause,Ernte 2k23,Geh mal Bier hol'n - GmBh,0,187053,False,0.612,0.997,1,-2.524,1,0.204,0.0185,0.0,0.335,0.545,139.989,4,party
2N5a0tqh9yPVc6QLyNnatO,Darius & Finlay;Rusty,Fishing Music,In The Ghetto,0,159117,False,0.58,0.712,10,-6.536,1,0.0324,0.00841,0.00543,0.0821,0.482,100.021,4,party
2xdQyyhUESOeww5ZsY434R,Mickie Krause,Karneval Klassiker,Eine Woche wach,0,235899,False,0.711,0.997,7,-3.078,1,0.075,0.0623,0.0,0.33,0.76,134.001,4,party
3vYXHcZoRgzSudq48pBIhF,Lorenz Büffel,Après Ski Fussball Party 2022 - Wir feiern auf den Hütten,Footballs Coming Home,0,224050,False,0.651,0.948,8,-3.147,1,0.112,0.0941,0.0,0.527,0.462,126.449,4,party
3JSqyVwfprKaXETBtWvDhH,Mickie Krause;KO&KO,Best Of Karneval,Schatzi Schenk Mir Ein Foto,0,208525,False,0.627,0.913,6,-3.743,0,0.0503,0.0555,0.0,0.389,0.916,140.172,4,party
7sZ9eVAw4CfxeHNL7SkCKa,Mickie Krause;KO&KO,Karneval 2022 100%,Schatzi Schenk Mir Ein Foto,0,208525,False,0.627,0.913,6,-3.743,0,0.0503,0.0555,0.0,0.389,0.916,140.172,4,party
7fxk6qjkQHs66OZcDsEe8K,Mickie Krause,Karneval Klassiker,"Biste braun, kriegste Fraun - Version 2015",0,185217,False,0.819,0.708,0,-4.706,1,0.0605,0.0157,8.62e-05,0.081,0.363,127.992,4,party
318FBEEoqRRfNhdmzPmjWw,Mickie Krause,Karneval 2022 100%,Von vorne nach hinten...von links nach rechts - Party Version,0,201975,False,0.517,0.994,10,-2.806,1,0.402,0.0589,0.0,0.972,0.651,135.064,4,party
6SDsOrnIDb3f1Pkaqbt34D,Mickie Krause,Karneval 2022 100%,"Biste braun, kriegste Fraun - Version 2015",0,185217,False,0.819,0.708,0,-4.706,1,0.0605,0.0157,8.62e-05,0.081,0.363,127.992,4,party
2KqyN0BfxznJIeWxGxXHm5,Mickie Krause,Best Of Karneval,"Biste braun, kriegste Fraun - Version 2015",0,185217,False,0.819,0.708,0,-4.706,1,0.0605,0.0157,8.62e-05,0.081,0.363,127.992,4,party
4bj0Wmx0UAYNoLv8UXYSyD,Mickie Krause,Best Of Karneval,Nur noch Schuhe an - Party-Version 2013,0,221440,False,0.506,0.998,11,-1.502,1,0.132,0.0665,0.0,0.468,0.54,144.925,4,party
15Ms8h8ifZwCdMTQEM3BOI,Mickie Krause,Karneval 2022 100%,Nur noch Schuhe an - Party-Version 2013,0,221440,False,0.506,0.998,11,-1.502,1,0.132,0.0665,0.0,0.468,0.54,144.925,4,party
1Il91bqC3Foqjfdh1IunFU,Mickie Krause,Best Of Karneval,Mich hat ein Engel geküsst,0,227026,False,0.527,0.993,9,-2.68,1,0.273,0.109,0.0,0.961,0.546,133.135,4,party
359PHdNHrEdBeFXzLC7TJJ,Mickie Krause,Ballermann Hits Party 2023,Für Dich,0,229740,False,0.643,0.996,5,-2.635,1,0.0775,0.0059,0.0,0.163,0.382,139.966,4,party
5BB2dYXvO2Fqfz4UzyTmvx,Mickie Krause,Karneval Klassiker,Von vorne nach hinten...von links nach rechts - Party Version,0,201975,False,0.517,0.994,10,-2.806,1,0.402,0.0589,0.0,0.972,0.651,135.064,4,party
7jvro28dBbuWoBYSdqk4N9,Mickie Krause,Ernte 2k23,Oh wie ist das schön - Single Version,0,248213,False,0.318,0.953,5,-3.653,1,0.0993,0.107,0.0,0.835,0.182,129.271,4,party
2Hz403eAzJ8BTGZX0PkgIP,Mickie Krause,Karneval Klassiker,Nur noch Schuhe an! - Masken-Version,0,225493,False,0.503,0.951,11,-3.52,1,0.139,0.0216,0.0,0.759,0.664,146.949,4,party
3vFud1q8SpVHDBipdzaXKU,Mickie Krause,Layla sitzt dicht im Flieger,Kann ich so nicht sagen müsst ich nackt seh'n,0,216304,False,0.549,0.986,8,-2.666,1,0.28,0.0496,0.0,0.225,0.689,143.993,5,party
3lJ4wYJf2raqW5n0ns9hFz,Mickie Krause,Best Of Karneval,Kann ich so nicht sagen müsst ich nackt seh'n,0,216304,False,0.549,0.986,8,-2.666,1,0.28,0.0496,0.0,0.225,0.689,143.993,5,party
4fmlVlNvoVLj8aNIPvVSKS,Mickie Krause,Karneval 2022 100%,Kann ich so nicht sagen müsst ich nackt seh'n,0,216304,False,0.549,0.986,8,-2.666,1,0.28,0.0496,0.0,0.225,0.689,143.993,5,party
5zPQSp8zXRk9rwEVDhoCli,Mickie Krause,Karneval Klassiker,Mich hat ein Engel geküsst,0,227026,False,0.527,0.993,9,-2.68,1,0.273,0.109,0.0,0.961,0.546,133.135,4,party
1NIyXiafPgyNBbuTV9fmwq,Mickie Krause,Karneval 2022 100%,Mich hat ein Engel geküsst,0,227026,False,0.527,0.993,9,-2.68,1,0.273,0.109,0.0,0.961,0.546,133.135,4,party
04ize5IEH2inSkQkqFGLd8,Michelle;Matthias Reim,Best Of Karneval,Idiot - Version 2011,0,188026,False,0.732,0.826,11,-4.936,1,0.0353,0.173,0.0,0.352,0.772,129.993,4,party
2B7ztTw0XuywnZK6W3tTG7,Andreas Gabalier,Best Of Karneval,Hulapalu,0,180252,False,0.705,0.676,0,-4.672,1,0.0467,0.505,0.0,0.628,0.701,124.96,4,party
4IRaaCRMTNH8FWNxirMYIo,Mickie Krause,Best Of Karneval,Von vorne nach hinten...von links nach rechts - Party Version,0,201975,False,0.517,0.994,10,-2.806,1,0.402,0.0589,0.0,0.972,0.651,135.064,4,party
38NG9wfK9fRbKkaiZwZWFB,Michelle;Matthias Reim,Karneval 2022 100%,Idiot - Version 2011,0,188026,False,0.732,0.826,11,-4.936,1,0.0353,0.173,0.0,0.352,0.772,129.993,4,party
09TXVj9aCagz20AAXEGZ9F,Andreas Gabalier,Layla sitzt dicht im Flieger,Hulapalu,0,180252,False,0.705,0.676,0,-4.672,1,0.0467,0.505,0.0,0.628,0.701,124.96,4,party
5j6fNm5pfsmJBTtuEMQUQn,Michelle;Matthias Reim,Karneval Klassiker,Idiot - Version 2011,0,188026,False,0.732,0.826,11,-4.936,1,0.0353,0.173,0.0,0.352,0.772,129.993,4,party
