track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
4h9wh7iOZ0GGn8QVp4RAOB,OneRepublic,"I Ain’t Worried (Music From The Motion Picture ""Top Gun: Maverick"")",I Ain't Worried,96,148485,False,0.704,0.797,0,-5.927,1,0.0475,0.0826,0.000745,0.0546,0.825,139.994,4,piano
75FEaRjZTKLhTrFGsfMUXR,Kate Bush,Hounds Of Love,Running Up That Hill (A Deal With God),90,298933,False,0.629,0.547,10,-13.123,0,0.055,0.72,0.00314,0.0604,0.197,108.375,4,piano
2tpWsVSb9UEmDRxAl1zhX1,OneRepublic,Native,Counting Stars,83,257266,False,0.664,0.705,1,-4.972,0,0.0382,0.0654,0.0,0.118,0.477,122.016,4,piano
3ro6Oub0I05PiAxcZFKaTY,OneRepublic,Arbeitsmusik Herbst/Winter 2022/2023,I Ain't Worried,0,148485,False,0.704,0.797,0,-5.927,1,0.0475,0.0826,0.000745,0.0546,0.825,139.994,4,piano
1iSyH8ek7Eqc8UWOReZaqg,OneRepublic,TickTok Back To School 2022,I Ain't Worried,1,148485,False,0.704,0.797,0,-5.927,1,0.0475,0.0826,0.000745,0.0546,0.825,139.994,4,piano
6v2ngdpwmKNqoojSbkmYQ6,OneRepublic,Frühstücksmusik Herbst/Winter 2022/2023,I Ain't Worried,0,148485,False,0.704,0.797,0,-5.927,1,0.0475,0.0826,0.000745,0.0546,0.825,139.994,4,piano
4LUwZxtF980YhwrvxtTeZ7,OneRepublic,HOT PARTY BACK TO SCHOOL 2022,I Ain't Worried,1,148485,False,0.704,0.797,0,-5.927,1,0.0475,0.0826,0.000745,0.0546,0.825,139.994,4,piano
7EKylE34yNJV97yIYgwwTl,OneRepublic,TickTok Back To School 2022,I Ain't Worried,2,148485,False,0.704,0.797,0,-5.927,1,0.0475,0.0826,0.000745,0.0546,0.825,139.994,4,piano
2hReXQtxmJVC1e68rvpAFY,OneRepublic,Arbeitsmusik Herbst/Winter 2022/2023,West Coast,0,192947,False,0.685,0.699,6,-7.803,0,0.0349,0.317,0.0,0.0895,0.884,134.057,4,piano
0VBe5Wi5e0Gc3BD1MIos0i,OneRepublic,Sunny Mornings,Sunshine,1,163854,False,0.697,0.875,5,-4.621,1,0.034,0.137,0.0,0.28,0.774,140.069,4,piano
07WYO7Aayv3woZrmGeXbwT,OneRepublic,Mirando las nubes,Good Life,3,255693,True,0.636,0.708,6,-7.057,1,0.0512,0.0818,0.0,0.117,0.662,94.987,4,piano
0VKAfRlgmLswXi4WoDxW0F,OneRepublic,Frühstücksmusik Herbst/Winter 2022/2023,West Coast,0,192947,False,0.685,0.699,6,-7.803,0,0.0349,0.317,0.0,0.0895,0.884,134.057,4,piano
4Cp1G28atULvUeanW3vomY,OneRepublic,Arbeitsmusik Herbst/Winter 2022/2023,Sunshine,0,163854,False,0.697,0.875,5,-4.621,1,0.034,0.137,0.0,0.28,0.774,140.069,4,piano
4FJFz3htV3dahKGoa2mGzh,OneRepublic,pov: it's 2019,Rescue Me,0,159650,False,0.761,0.606,11,-7.742,0,0.0424,0.157,0.0,0.574,0.646,121.038,4,piano
5wqIigDb6Afe0mX4acLyKo,OneRepublic,OO's Music Grandi Successi,Apologize,6,208106,False,0.596,0.74,8,-6.127,1,0.0338,0.341,2.05e-05,0.102,0.493,118.031,4,piano
4KX7jXWbf6SivrmBHMuDuj,OneRepublic,Отново на училище,Counting Stars,4,256760,False,0.659,0.741,1,-4.354,0,0.0388,0.072,0.0,0.166,0.454,122.013,4,piano
1HWaIZ9Tf67sTXOhyiUuon,OneRepublic,pov: it's 2020,Didn't I,0,207616,False,0.611,0.61,4,-6.745,1,0.0314,0.0186,0.0,0.125,0.242,123.943,4,piano
7AFgOhuSixIbKSe6rb7dmx,OneRepublic;Alesso,Larga Vida al Electro,If I Lose Myself - Alesso vs OneRepublic,2,215480,False,0.518,0.829,2,-3.321,1,0.0414,0.198,5.65e-06,0.125,0.148,125.992,4,piano
4XxSPIjGlXrlDS9zeAmQh2,OneRepublic,Pop Christmas 2022,White Christmas,0,126513,False,0.439,0.448,5,-8.447,1,0.0303,0.152,0.0,0.21,0.163,108.184,3,piano
2s3Hr38fRfDRj9JWVP494L,OneRepublic,Holidays Are Coming,Christmas Without You,7,197146,False,0.262,0.677,7,-5.645,1,0.0528,0.447,0.0,0.205,0.365,207.478,3,piano
4xAMacCHE7J3Mv875tIYWa,OneRepublic,Weihnachtspop 2022,White Christmas,0,126513,False,0.439,0.448,5,-8.447,1,0.0303,0.152,0.0,0.21,0.163,108.184,3,piano
3tjC9XdMwEF8KW82F6rV6f,OneRepublic,Frühstücksmusik Herbst/Winter 2022/2023,Run,0,169010,False,0.682,0.72,11,-8.173,0,0.0381,0.326,0.0,0.148,0.673,117.003,4,piano
2cCmvbLleZaXRUinMmRaoY,OneRepublic,Del gusto de mamá,Good Life,1,255693,True,0.636,0.708,6,-7.057,1,0.0512,0.0818,0.0,0.117,0.662,94.987,4,piano
37zhImRfvxPCafPScfoipY,OneRepublic,Rock Christmas 2022 - The Very Best Of,Christmas Without You,1,197146,False,0.262,0.677,7,-5.645,1,0.0528,0.447,0.0,0.205,0.365,207.478,3,piano
2C2ExiIb4W9sFp2t0Rkotq,OneRepublic,Holiday Tunes 2022,Christmas Without You,0,197146,False,0.262,0.677,7,-5.645,1,0.0528,0.447,0.0,0.205,0.365,207.478,3,piano
2Xafbkd5sqyCkImRpklvwu,OneRepublic,Christmas 2022,Christmas Without You,1,197146,False,0.262,0.677,7,-5.645,1,0.0528,0.447,0.0,0.205,0.365,207.478,3,piano
0VrqeZURszLwO3p5HpjfnO,OneRepublic,Jingle Bell Rock 2022,Christmas Without You,2,197146,False,0.262,0.677,7,-5.645,1,0.0528,0.447,0.0,0.205,0.365,207.478,3,piano
3eDX2SnjVRG9hh0v074eEO,OneRepublic,Christmas Songs 2022,Christmas Without You,1,197146,False,0.262,0.677,7,-5.645,1,0.0528,0.447,0.0,0.205,0.365,207.478,3,piano
6TqNKjiEZoOAw3r4OpiCjT,OneRepublic,De ese gran pop de los 00's,Apologize,0,208106,False,0.596,0.74,8,-6.127,1,0.0338,0.341,2.05e-05,0.102,0.493,118.031,4,piano
66X1ngv1jd8ll1qj6A6BJq,OneRepublic,Christmas Dinner 2022,Christmas Without You,0,197146,False,0.262,0.677,7,-5.645,1,0.0528,0.447,0.0,0.205,0.365,207.478,3,piano
0vlXeqFl1qgL9fkq1wnPgp,OneRepublic,World's Best Christmas Playlist,Christmas Without You,0,197146,False,0.262,0.677,7,-5.645,1,0.0528,0.447,0.0,0.205,0.365,207.478,3,piano
0vLuMiIbpTMlq4TjMisGS1,OneRepublic,Santa Claus Is Coming To Town,Christmas Without You,0,197146,False,0.262,0.677,7,-5.645,1,0.0528,0.447,0.0,0.205,0.365,207.478,3,piano
6iMzy3mIG2zVdMR15A6HmJ,OneRepublic;Alesso,Electro sounds,If I Lose Myself - Alesso vs OneRepublic,0,215480,False,0.518,0.829,2,-3.321,1,0.0414,0.198,5.65e-06,0.125,0.148,125.992,4,piano
79iAblD2XBkWbXnY8KeHLS,OneRepublic,Weihnachten Musik,Christmas Without You,0,197146,False,0.262,0.677,7,-5.645,1,0.0528,0.447,0.0,0.205,0.365,207.478,3,piano
2j2IPZrRQXlytzuSCnp5uc,OneRepublic,12 Days of Christmas 2022,Christmas Without You,0,197146,False,0.262,0.677,7,-5.645,1,0.0528,0.447,0.0,0.205,0.365,207.478,3,piano
0eKdJWDjubf1rbyCm0D59b,OneRepublic,Slow Christmas Songs 2022,Christmas Without You,0,197146,False,0.262,0.677,7,-5.645,1,0.0528,0.447,0.0,0.205,0.365,207.478,3,piano
22WSNwrytkJZ9hnis9DbnY,OneRepublic,Christmas Best Hits 2022,Christmas Without You,0,197146,False,0.262,0.677,7,-5.645,1,0.0528,0.447,0.0,0.205,0.365,207.478,3,piano
0vB1pgTJie4BLnE5Dl0lJO,OneRepublic,Almorzando solo,Counting Stars,0,256760,False,0.659,0.741,1,-4.354,0,0.0388,0.072,0.0,0.166,0.454,122.013,4,piano
5SGjzbR81S0tCudlec1NXW,OneRepublic,Pop Christmas 2022,Christmas Without You,0,197146,False,0.262,0.677,7,-5.645,1,0.0528,0.447,0.0,0.205,0.365,207.478,3,piano
03pixFplMU4GlGanyGESCJ,OneRepublic,CHRISTMAS TOP HITS 2022,Christmas Without You,0,197146,False,0.262,0.677,7,-5.645,1,0.0528,0.447,0.0,0.205,0.365,207.478,3,piano
0FBywYb06nuyLdn4gBlQLb,OneRepublic,Fiesta de disfraces vol. II,Counting Stars,0,256760,False,0.659,0.741,1,-4.354,0,0.0388,0.072,0.0,0.166,0.454,122.013,4,piano
0IGdpfQ7kjpNPoHgbRbrmJ,OneRepublic,Lonely Christmas 2022,Christmas Without You,0,197146,False,0.262,0.677,7,-5.645,1,0.0528,0.447,0.0,0.205,0.365,207.478,3,piano
0keNCZtbWrvhO3TuDuyUni,OneRepublic,De ese gran pop de los 00's,Stop And Stare,0,223800,False,0.329,0.866,4,-4.328,1,0.0484,0.0724,0.0,0.0869,0.257,184.793,4,piano
1xX6PCb6ZDyanJQuJOvGj0,OneRepublic,The Very Best Christmas Songs 2022,Christmas Without You,0,197146,False,0.262,0.677,7,-5.645,1,0.0528,0.447,0.0,0.205,0.365,207.478,3,piano
5gYd4FkVfXLclbFdnguNkb,OneRepublic,Christmas Day Chill,Christmas Without You,0,197146,False,0.262,0.677,7,-5.645,1,0.0528,0.447,0.0,0.205,0.365,207.478,3,piano
6jWSUiDx2PiV8kgugdz29D,OneRepublic,Best Christmas Music 2022,Christmas Without You,0,197146,False,0.262,0.677,7,-5.645,1,0.0528,0.447,0.0,0.205,0.365,207.478,3,piano
0bwGll6Mwm24fW5m8TqLQp,OneRepublic,Weihnachten Playlist,Christmas Without You,0,197146,False,0.262,0.677,7,-5.645,1,0.0528,0.447,0.0,0.205,0.365,207.478,3,piano
5SBYmJR4hq0n6wIM78t22h,OneRepublic,Weihnachtspop 2022,Christmas Without You,0,197146,False,0.262,0.677,7,-5.645,1,0.0528,0.447,0.0,0.205,0.365,207.478,3,piano
