track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
3J8EOeKLTLXORtWPpOU5bE,Lil Tjay;6LACK,Destined 2 Win,Calling My Phone,81,205458,True,0.907,0.393,4,-7.636,0,0.0539,0.451,1.35e-06,0.135,0.202,104.949,4,r-n-b
5JtvedSVWW9McnoEAPJwQm,Lil Tjay,True 2 Myself,Sex Sounds,76,162453,True,0.857,0.427,8,-8.638,1,0.112,0.281,0.0,0.108,0.366,130.033,4,r-n-b
3SdTKo2uVsxFblQjpScoHy,Ben E. King,Don't Play That Song (Mono),Stand by Me,80,180055,False,0.65,0.306,9,-9.443,1,0.0393,0.57,7.07e-06,0.0707,0.605,118.068,4,r-n-b
2DpJ9T2RVRanZcYFHKOAfA,Paul Anka,Put Your Head On My Shoulder: The Very Best Of Paul Anka,Put Your Head On My Shoulder,69,154733,False,0.547,0.335,4,-9.2,0,0.0307,0.747,0.0,0.101,0.474,115.838,3,r-n-b
75FEaRjZTKLhTrFGsfMUXR,Kate Bush,Hounds Of Love,Running Up That Hill (A Deal With God),90,298933,False,0.629,0.547,10,-13.123,0,0.055,0.72,0.00314,0.0604,0.197,108.375,4,r-n-b
0RLLvYBopDwooCyvnTwgYu,Lil Tjay,True 2 Myself,F.N,78,224000,True,0.567,0.515,6,-10.265,0,0.247,0.354,0.0,0.078,0.321,120.1,1,r-n-b
1HvTxgCj0mTzQlEo0zLvFb,Lil Tjay,In My Head,In My Head,79,135264,True,0.684,0.545,1,-6.885,1,0.121,0.159,0.0,0.102,0.407,143.049,4,r-n-b
26ZzSLUJMmYp5u1hDELEWH,Crystal Castles,(III),Transgender,75,184760,False,0.522,0.914,7,-8.285,1,0.0379,0.000164,0.847,0.24,0.0364,137.939,3,r-n-b
4XvcHTUfIlWfyJTRG0aqlo,Sleepy Hallow,Still Sleep?,2055,81,123986,True,0.829,0.512,6,-5.865,0,0.187,0.492,0.0,0.12,0.638,80.511,4,r-n-b
6EbVuwU7EnKeF2hdpViXCH,Sleepy Hallow;347aidan,Die Young (feat. 347aidan),Die Young (feat. 347aidan),81,148816,True,0.808,0.582,11,-6.26,1,0.338,0.827,0.0,0.111,0.675,77.471,4,r-n-b
2BJWxD8xKrDv8vneTvTIm9,Lil Tjay,Beat the Odds,Beat the Odds,81,150000,True,0.498,0.625,8,-7.452,0,0.342,0.054,0.0,0.175,0.478,84.821,4,r-n-b
29d0nY7TzCoi22XBqDQkiP,Kate Bush,Hounds of Love (2018 Remaster),Running Up That Hill (A Deal With God) - 2018 Remaster,85,300840,False,0.625,0.533,10,-11.903,0,0.0596,0.659,0.00266,0.0546,0.139,108.296,4,r-n-b
1dg3qy5DjoJodawfOCgrTP,Lil Tjay;Offset;Moneybagg Yo,Destined 2 Win,Run It Up (feat. Offset & Moneybagg Yo),78,232048,True,0.88,0.575,6,-6.091,1,0.163,0.415,0.0,0.109,0.671,120.031,4,r-n-b
1peoY67DcWdCsNoOzF9ffU,Crystal Castles,Pop & Halloween,Kerosene,7,192000,False,0.52,0.545,8,-9.368,1,0.0768,0.0827,0.0,0.133,0.0856,115.882,4,r-n-b
