track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
1qcWuAqrckB7uoAxVnrBDm,Feid,Perreo en Halloween,Normal,6,171880,True,0.709,0.56,4,-4.867,0,0.171,0.034,0.0,0.315,0.541,170.082,4,reggaeton
1Kg1pUYOa3mYdQG9zi7SjV,Feid,Bájale como 7500,Prohibidox,8,166253,False,0.647,0.801,1,-2.946,0,0.249,0.0451,0.0,0.0628,0.517,180.108,4,reggaeton
27jKLapVKaNuoMQMHR988Z,Feid,Esto No Se Le Dedica A Cualquiera,AMOR DE MI VIDA,7,189613,False,0.735,0.674,6,-5.629,0,0.124,0.18,0.0,0.108,0.561,171.883,4,reggaeton
3i9uGfgo9kXoRUNAl3M8Mr,Feid,Esto me suena a Farra,Ferxxo 100,7,167760,False,0.705,0.562,8,-3.378,0,0.0674,0.257,0.0,0.137,0.569,163.893,4,reggaeton
38DE0yn1UzRWgaLsh0GJGZ,Feid,Fiesta portatil,Ferxxo 100,4,167760,False,0.705,0.562,8,-3.378,0,0.0674,0.257,0.0,0.137,0.569,163.893,4,reggaeton
5I0cjHs6AmHbp2ivVhdgCT,Feid,Reggaeton Mix Perreito,Normal,2,171880,True,0.709,0.56,4,-4.867,0,0.171,0.034,0.0,0.315,0.541,170.082,4,reggaeton
5PhShslWTooBj2SuyeHnBm,Feid,Esto No Se Le Dedica A Cualquiera,Ferxxo 100,3,167760,False,0.705,0.562,8,-3.378,0,0.0674,0.257,0.0,0.137,0.569,163.893,4,reggaeton
0I75DOENhkPTBpavd8VJgW,Feid,Noche de Halloween Latino,Normal,3,171880,True,0.709,0.56,4,-4.867,0,0.171,0.034,0.0,0.315,0.541,170.082,4,reggaeton
6ciK3ADaV9FuTvMvDwYD6R,Feid;Maluma;Sky Rompiendo,Verano en Junio,FRESH KERIAS,3,272800,False,0.741,0.582,8,-4.445,1,0.281,0.291,0.000101,0.152,0.713,186.096,4,reggaeton
4xWzDlOYUJSzJda21R27G6,Feid,Frescura y Perreo,Feliz Cumpleaños Ferxxo,3,155960,False,0.865,0.573,5,-5.501,1,0.0678,0.0863,0.0,0.305,0.563,94.999,4,reggaeton
709mEkXJxSopnAmOnRJGRr,Feid,Clásicos de ahora: Perreo,Normal,0,171880,True,0.709,0.56,4,-4.867,0,0.171,0.034,0.0,0.315,0.541,170.082,4,reggaeton
7K293fK5kJf9TP6HgMsyGw,Feid,Reggeaton Imperdible,Ferxxo 100,6,167760,False,0.705,0.562,8,-3.378,0,0.0674,0.257,0.0,0.137,0.569,163.893,4,reggaeton
08jXpbmBrMtXXAtXlHgsHh,Feid,Perreo en Halloween,Feliz Cumpleaños Ferxxo,8,155960,False,0.865,0.573,5,-5.501,1,0.0678,0.0863,0.0,0.305,0.563,94.999,4,reggaeton
04V3hO138BCddFy9TmTUic,Feid;Sech,Halloween 2022 Perreo Vol. 4,JAMAICA,6,224240,False,0.52,0.542,1,-7.404,0,0.155,0.0383,0.0,0.371,0.669,81.131,4,reggaeton
0v9JszVQes7SlJ3UKqkdt2,Feid,Esto No Se Le Dedica A Cualquiera,TENGO FE,4,146426,False,0.757,0.571,7,-4.547,0,0.0906,0.264,8.97e-06,0.313,0.538,159.933,4,reggaeton
572GakOVkoIZvOGXcgofFO,Feid,Esto me suena a Farra,Feliz Cumpleaños Ferxxo,2,155960,False,0.865,0.573,5,-5.501,1,0.0678,0.0863,0.0,0.305,0.563,94.999,4,reggaeton
0FYD3N8NI3yQ8mKvIMDJol,Feid,El perreo es el futuro,Normal,0,171880,True,0.709,0.56,4,-4.867,0,0.171,0.034,0.0,0.315,0.541,170.082,4,reggaeton
7os9XpTNiXBjyAzLZ5AkNZ,Feid,Esto No Se Le Dedica A Cualquiera,SI TÚ SUPIERAS,6,196373,False,0.673,0.664,4,-5.382,0,0.177,0.376,0.0,0.111,0.586,174.972,4,reggaeton
5hnGly9RuGiixupoVrLTNI,Bad Bunny;Drake,New Pop Icons,MIA,0,210367,False,0.817,0.539,6,-6.349,0,0.0621,0.0141,0.000496,0.099,0.158,97.061,4,reggaeton
523rBG7JujtfjDokUxNpSX,Feid;Sky Rompiendo,Frescura y Perreo,Quemando Calorías,2,182506,False,0.678,0.698,7,-4.57,1,0.0587,0.00214,4.94e-06,0.0945,0.812,192.005,4,reggaeton
2eeqdn2XNYJ6beAoHFa4xY,Feid;Sky Rompiendo,Esto No Se Le Dedica A Cualquiera,Quemando Calorías,7,182506,False,0.678,0.698,7,-4.57,1,0.0587,0.00214,4.94e-06,0.0945,0.812,192.005,4,reggaeton
5UAGqaLsYS9EgPJz0WvrB1,Feid;Maluma;Sky Rompiendo,Halloween 2022 Perreo Vol. 3,FRESH KERIAS,2,272800,False,0.741,0.582,8,-4.445,1,0.281,0.291,0.000101,0.152,0.713,186.096,4,reggaeton
0tQyUsejipsHr5BEdx7wLX,Bad Bunny;Drake,Today's Party Hits,MIA,0,210367,False,0.817,0.539,6,-6.349,0,0.0621,0.0141,0.000496,0.099,0.158,97.061,4,reggaeton
5lWntBx6CC4JbbHPCb6ftj,Feid,El perreo es el futuro,Ferxxo 100,0,167760,False,0.705,0.562,8,-3.378,0,0.0674,0.257,0.0,0.137,0.569,163.893,4,reggaeton
40o76YIOwDazc0h2QrZhWl,Feid,Feliz Cumpleaños con Perreo,Normal,4,171880,True,0.709,0.56,4,-4.867,0,0.171,0.034,0.0,0.315,0.541,170.082,4,reggaeton
2DyVUB1hwY3DCnvteT9Tuj,Feid;J Balvin,Del gusto de hermanos,Que Raro,2,230826,False,0.755,0.844,5,-6.234,0,0.326,0.328,8.8e-06,0.555,0.745,171.867,4,reggaeton
3BK7JmX1P4GSGx5mdG3aiL,Feid,Esto me suena a Farra,Prohibidox,2,166253,False,0.647,0.801,1,-2.946,0,0.249,0.0451,0.0,0.0628,0.517,180.108,4,reggaeton
56FjTokFXI8OJIkVeP7yGA,Feid,Clásicos de ahora: Perreo,Feliz Cumpleaños Ferxxo,0,155960,False,0.865,0.573,5,-5.501,1,0.0678,0.0863,0.0,0.305,0.563,94.999,4,reggaeton
62mo6hlcn33B701x3TVdrH,Feid;Sky Rompiendo,Perreo Tenebroso Vol. 3,RELXJXTE,0,185813,False,0.859,0.575,6,-6.845,1,0.0798,0.0941,0.00018,0.105,0.607,93.007,4,reggaeton
7kJAJJWRFRn1kmqC2zlKim,Feid,Reggaeton Mix Perreito,Si Te La Encuentras Por Ahí,1,191506,False,0.736,0.569,8,-3.559,0,0.0779,0.144,5.27e-05,0.112,0.433,171.973,4,reggaeton
5hsExtdcPmoDQTc9rhK6ui,Feid,Perreo en Halloween,Si Te La Encuentras Por Ahí,4,191506,False,0.736,0.569,8,-3.559,0,0.0779,0.144,5.27e-05,0.112,0.433,171.973,4,reggaeton
0wJMDTFRqqzYfBu1LbNBeY,Feid,Homecoming Latin Party,Feliz Cumpleaños Ferxxo,0,155960,False,0.865,0.573,5,-5.501,1,0.0678,0.0863,0.0,0.305,0.563,94.999,4,reggaeton
5h3PtoxLaZW2d9wKi46pQX,Feid,El perreo es el futuro,Feliz Cumpleaños Ferxxo,0,155960,False,0.865,0.573,5,-5.501,1,0.0678,0.0863,0.0,0.305,0.563,94.999,4,reggaeton
5flnQRzZYpT7v7BvNoLsQd,Feid;Totoy El Frio,Frescura y Perreo,De Tanto Chimbiar,2,186066,False,0.821,0.602,9,-6.628,1,0.168,0.108,0.0,0.246,0.628,90.035,4,reggaeton
1gpKOLsFDK1Gga7wnDcNwT,Feid,Clásicos de ahora: Perreo,Prohibidox,0,166253,False,0.647,0.801,1,-2.946,0,0.249,0.0451,0.0,0.0628,0.517,180.108,4,reggaeton
