track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
7eJMfftS33KTjuF7lTsMCx,Powfu;beabadoobee,death bed (coffee for your head),death bed (coffee for your head),83,173333,False,0.726,0.431,8,-8.765,0,0.135,0.731,0.0,0.696,0.348,144.026,4,sad
4ZLzoOkj0MPWrTLvooIuaa,Kina;Snøw,Get You The Moon (feat. Snøw),Get You The Moon (feat. Snøw),80,179080,False,0.498,0.235,1,-16.541,0,0.188,0.72,0.0,0.144,0.0895,118.917,4,sad
2kx5sQgmjYug0GiDh1a4sU,Cheriimoya;Sierra Kidd,"Living Life, In The Night","Living Life, In The Night",83,122517,True,0.624,0.499,0,-9.962,0,0.0495,0.82,0.0,0.12,0.298,143.249,4,sad
7D7e6hm2LiNd6nLuJF6K9Q,80purppp,Hex,Hex,79,122221,False,0.845,0.398,5,-15.781,1,0.268,0.872,0.00713,0.159,0.482,109.996,4,sad
27XMmSWSOXJ7eVb40tH93T,347aidan,TROUBLED MEMORIES!,MEMORIES!,76,137806,False,0.835,0.381,9,-6.121,1,0.342,0.757,4.59e-06,0.121,0.31,154.973,4,sad
2kHrlDvECzPyjcbmSQNusl,Lund,F*ck Love,F*ck Love,65,197368,True,0.639,0.446,6,-10.489,1,0.0378,0.295,0.0,0.181,0.363,76.004,4,sad
6Pgmqg15yVexuOgtzuxwoX,347aidan,Dancing in My Room,Dancing in My Room,74,180138,True,0.98,0.413,8,-11.052,0,0.101,0.671,7.95e-05,0.17,0.764,119.993,4,sad
0Ck25uqrWpIM3yGPP5lxFW,gazzzy;framed,Feel Like God,Feel Like God,71,155951,True,0.819,0.35,1,-10.433,1,0.062,0.0585,0.243,0.109,0.118,121.966,4,sad
3XV5r1cMB2AlD2ir0v6mfm,yaeow;Neptune,The Way I Love You,The Way I Love You,60,162726,False,0.543,0.206,6,-18.037,1,0.0319,0.94,0.453,0.385,0.13,113.107,3,sad
1kAkUHFb7ryeVkVSRD6Nkj,Kina;yaeow,Wish I Was Better,Wish I Was Better,65,140571,False,0.732,0.304,0,-13.086,0,0.111,0.747,6.13e-05,0.143,0.185,139.965,4,sad
3jZDWsoxRHzzp3DYV8qeXE,Teqkoi;Aiko,You Broke My Heart Again,You Broke My Heart Again,71,103400,False,0.55,0.143,3,-15.685,1,0.241,0.956,0.0,0.195,0.224,74.918,4,sad
1H3Q48ARz2ZEwbOl6s53Mq,Vluestar,I’ll Keep You Safe,I’ll Keep You Safe,70,140338,False,0.504,0.401,0,-10.016,1,0.0958,0.805,0.00596,0.155,0.243,114.95,4,sad
4VEEDnEFLI9dUy5QA51rom,Foster;Sody;Sarcastic Sounds,fools (can't help falling in love) (feat. Sody),fools (can't help falling in love) (feat. Sody),68,165029,True,0.706,0.604,2,-6.932,1,0.303,0.418,0.0,0.242,0.361,82.03,4,sad
5YOlr46EwaH34hfN6r4vXR,MC Virgins;Yun Head,Trap Anthem,Trap Anthem,68,133017,True,0.818,0.82,6,-5.531,0,0.175,0.106,0.0,0.108,0.737,160.005,4,sad
6tmZRSTEAW90RI8nXsly1f,yaeow,Worn Out Heart,I Need U,61,142588,False,0.402,0.405,9,-12.486,1,0.0713,0.513,0.0167,0.155,0.072,84.873,4,sad
75SW8IItf7yy1VejSLtv9W,Kina,Baby You're Worth It,Baby You're Worth It,69,130947,False,0.681,0.255,7,-16.305,1,0.0479,0.742,0.165,0.105,0.274,119.952,4,sad
55XrFge2dEZwYzNl128DwN,itssvd;Shiloh Dynasty,Missing,Losing Interest,76,120546,False,0.753,0.355,8,-13.295,0,0.0898,0.48,0.87,0.122,0.506,111.863,4,sad
1xhiKL4UgfkAfnCUg6HEpA,Ollie;Aleesia,Better With You,Better With You,56,197957,True,0.696,0.34,2,-9.37,1,0.038,0.913,0.0,0.124,0.623,107.065,4,sad
3AvQO9AjUzXv8Lhe92uV6b,untrusted;creamy;11:11 Music Group,woo x I was never there (tiktok version),woo x I was never there (tiktok version),60,212142,False,0.603,0.58,9,-10.2,0,0.0352,0.384,0.00236,0.0897,0.282,112.05,4,sad
5bryfrnYaxlofC6MAG6vde,Snøw,Sunset/Sunrise,Sunset/Sunrise,63,87353,False,0.753,0.24,10,-12.095,1,0.0458,0.903,0.000451,0.109,0.183,77.993,4,sad
3RbNcjVnQixKa1sULcwd2K,Stract;Shiloh Dynasty,Losing Interest,Losing Interest,68,136695,False,0.96,0.36,10,-16.192,0,0.155,0.673,0.0177,0.293,0.639,114.927,4,sad
58wyJLv6yH1La9NIZPl3ne,Kina;Adriana Proenza,Can We Kiss Forever?,Can We Kiss Forever?,77,187931,False,0.522,0.128,4,-18.717,1,0.0357,0.894,0.026,0.0941,0.124,109.986,4,sad
1DoECePnMuLtpLQSCZqwtK,Powfu;Sarcastic Sounds;Rxseboy,poems of the past,ill come back to you (feat. Sarcastic Sounds & Rxseboy),63,134881,False,0.652,0.483,8,-9.964,0,0.291,0.658,0.0,0.393,0.372,75.987,4,sad
2DIFiLjzVxSUc7YY2k7WDA,Timmies;Shiloh Dynasty,Passion & Confusion,Loosing Interest,68,117916,False,0.926,0.199,10,-13.635,0,0.0916,0.51,0.119,0.224,0.763,113.952,4,sad
37KYM3zuGyozpEwDuO2OVw,Rnla;yaeow,Free With You,Free With You,56,168038,False,0.708,0.356,3,-11.53,1,0.0501,0.907,0.0607,0.125,0.132,80.036,4,sad
2po3166NqW72LwAwh8Hbld,Papithbk,Thbk.,Why Am I Waiting,70,95680,True,0.747,0.387,1,-10.671,1,0.471,0.347,0.0,0.254,0.234,126.054,4,sad
7BdlyzVvOqmwPH9dYtZfsx,Promoting Sounds;Powfu;Ouse,Dead Eyes,Dead Eyes,66,219428,True,0.719,0.651,7,-5.872,1,0.0274,0.127,0.0,0.0762,0.289,104.956,4,sad
4CRgDenJbluuEILm7976Mt,HELLSTRVCK,Trust Me,Trust Me,52,185379,False,0.697,0.481,10,-7.858,0,0.0532,0.246,0.0605,0.103,0.243,145.009,4,sad
4xhWfr0tyA7BGL7eXo8KnV,RØNIN,ALL GIRLS ARE THE SAME,ALL GIRLS ARE THE SAME,73,121949,True,0.785,0.343,9,-10.923,0,0.0862,0.593,0.0,0.103,0.468,118.065,4,sad
3HsFSrIsbO54TFDfG66pZm,iamjakehill,By the Sword,By the Sword,75,125812,True,0.685,0.76,2,-7.813,1,0.0512,0.0199,0.151,0.0866,0.781,160.035,4,sad
0WSDEpEZZDffYfmK8Ssuxc,Louyah,6FEET,You,63,233196,False,0.808,0.266,11,-9.56,1,0.0326,0.818,1.1e-05,0.0907,0.666,100.034,4,sad
01UeBfllW39eaKdiCw556R,Gentrammel,Out Of My Mind,Out Of My Mind,71,173846,True,0.61,0.609,9,-7.193,1,0.0372,0.663,0.0,0.61,0.659,78.009,4,sad
3yZueO8TUXxGNettYqIRKw,SVMP;Zebatin;Fallen Oceans,where do we go when we fall in love,where do we go when we fall in love,56,101100,False,0.561,0.364,7,-11.111,1,0.0286,0.812,8.94e-06,0.268,0.233,137.911,4,sad
2egLcqqD1fz44PKq28fsKQ,Dybbukk,I'm Only a Fool for You,I'm Only a Fool for You,70,61175,True,0.632,0.322,8,-7.652,1,0.0465,0.0307,0.535,0.44,0.367,70.917,4,sad
56H3K8a3gbWeX0cg4GjSzC,Adam Oh,Trapped in My Mind,Trapped in My Mind,52,216052,True,0.678,0.678,5,-7.518,1,0.0998,0.176,0.0,0.104,0.465,159.984,4,sad
6tLDBtppww0pxHiEwKsp5O,Yusei,I don't see nobody but you,I don't see nobody but you,54,264419,False,0.576,0.355,3,-8.983,1,0.105,0.975,0.801,0.11,0.332,107.015,4,sad
1HFblnk2Twji0kDogp9D1o,Rarin,GTA,GTA,65,124765,True,0.685,0.644,5,-7.73,0,0.1,0.0791,0.0,0.107,0.471,155.079,4,sad
4E4DQVf8GNBvvOaLfvIcvZ,Dybbukk;Sabrina Gomes;Dybbukk Covers,It's Not So Bad,It's Not So Bad,69,140617,False,0.758,0.488,1,-9.124,1,0.109,0.00468,0.294,0.418,0.399,137.506,4,sad
7KW1AtQKFToSoF1kmyk2wE,Powfu;Jaden;Sarcastic Sounds,tell me your feelings and i won't tell you mine,snowflake (feat. Jaden & Sarcastic Sounds),64,187500,True,0.419,0.408,9,-10.899,0,0.25,0.95,0.0,0.35,0.502,62.829,4,sad
33LizV83s7z1gwtmLiKlmv,SadBoyProlific,Dead and Cold,Dead and Cold,74,89624,True,0.622,0.467,2,-9.889,0,0.568,0.872,2.15e-06,0.0931,0.716,87.967,5,sad
2exdDhuNjyxtmJIKkbSWbo,Rarin,YESSIR!,YESSIR!,62,110344,False,0.769,0.612,2,-6.727,1,0.343,0.0777,0.0,0.0953,0.394,174.135,4,sad
