track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
75EwJD41YoOueHc1KsVcVt,Frankie Ruiz,Salsa x siempre,Tú Con Él,0,302093,False,0.823,0.779,7,-5.943,1,0.0492,0.201,0.00019,0.175,0.96,95.484,4,salsa
4ss438WFZnJP0Be4lc2r0t,Marc Anthony,Carrete familiar,Si Te Vas,0,286133,False,0.545,0.89,2,-3.129,1,0.0868,0.546,0.0,0.139,0.891,177.086,4,salsa
4GlgdZEPSLwcg5BdgJBW87,Frankie Ruiz,Ritmo Bonito,Deseándote,0,281186,False,0.591,0.837,5,-4.534,0,0.0486,0.495,0.0,0.179,0.928,95.521,4,salsa
38NpbYn9qyO0x69OvtxDTl,Marc Anthony,Salsa x siempre,Y Hubo Alguien,1,388360,False,0.474,0.879,4,-3.979,0,0.115,0.633,0.0,0.16,0.671,91.09,4,salsa
4WcWjBoSYqZBwqeYlz0qey,Guayacán Orquesta;Ray Sepulveda,"25 Años, 25 Éxitos, 25 Artistas, Vol. 1",Extraño Tu Amor,47,267389,False,0.775,0.728,4,-6.89,0,0.0481,0.283,0.0,0.253,0.707,167.0,4,salsa
1zWsZqGND3kcUu8WgXVirO,Marc Anthony,Salsa x siempre,Nadie Como Ella,2,296026,False,0.607,0.785,0,-6.099,0,0.0372,0.654,0.0,0.104,0.901,93.295,4,salsa
7fLj7XlY3jHQyqucElDGUq,Frankie Ruiz,Era Salsa para Bailar,Tú Con Él,0,302093,False,0.823,0.779,7,-5.943,1,0.0492,0.201,0.00019,0.175,0.96,95.484,4,salsa
5xmTf701NswJ1bnPDkvSb4,Frankie Ruiz,Era Salsa para Bailar,Deseándote,3,281186,False,0.591,0.837,5,-4.534,0,0.0486,0.495,0.0,0.179,0.928,95.521,4,salsa
2tEExqPMQ1qW8CWLe0VAX5,Frankie Ruiz,Ya huele a buñuelos,Tú Con Él,0,302093,False,0.823,0.779,7,-5.943,1,0.0492,0.201,0.00019,0.175,0.96,95.484,4,salsa
7IFONpsIyEPr43Lio8beUv,Frankie Ruiz,Ritmo Bonito,Tú Con Él,0,302093,False,0.823,0.779,7,-5.943,1,0.0492,0.201,0.00019,0.175,0.96,95.484,4,salsa
2S79bB4RoEFaisdjp08RlF,Marc Anthony,Éxitos del Pop en Español de los Años 2000,Valió la Pena - Salsa Version,0,288786,False,0.51,0.725,9,-5.183,0,0.0549,0.327,6.69e-06,0.074,0.836,98.5,4,salsa
5etF7zlZoUTl7HpDo7JsRm,Frankie Ruiz,Ritmo Bonito,La Rueda,0,385826,False,0.702,0.856,5,-4.698,1,0.0351,0.458,1.74e-05,0.0796,0.917,103.06,4,salsa
3u2z86ZGcecgnAahkmjrE3,Tito Nieves,Ritmo Bonito,Tuyo,0,292653,False,0.812,0.589,3,-8.713,1,0.0362,0.522,0.0,0.0607,0.916,104.023,4,salsa
03Jgntvn5xCgYgzfqyye6a,Frankie Ruiz,Ritmo Bonito,Desnúdate Mujer,0,289373,False,0.661,0.849,7,-4.315,1,0.033,0.355,1.22e-05,0.31,0.931,99.266,4,salsa
6dzfdwY6A6yAj81seRzgsQ,Celia Cruz,Era Salsa para Bailar,Azúcar Negra,0,187240,False,0.857,0.604,6,-10.529,0,0.0688,0.486,0.00618,0.0599,0.917,103.841,4,salsa
7LHzKDiYRYPN8ljkAsG5CK,Eddie Santiago,Ritmo Bonito,Lluvia,0,296040,False,0.656,0.852,5,-4.857,0,0.0359,0.397,5.34e-05,0.0834,0.802,165.094,4,salsa
0jv0k84UAg2A1OvODXehiT,Grupo Niche,Ya huele a buñuelos,Cali Pachanguero,0,244200,False,0.655,0.728,0,-11.714,0,0.0321,0.752,0.00188,0.609,0.966,96.385,4,salsa
1VI5OuEtgJC9w284xnSL3O,Frankie Ruiz,Carrete familiar,Desnúdate Mujer,0,289373,False,0.661,0.849,7,-4.315,1,0.033,0.355,1.22e-05,0.31,0.931,99.266,4,salsa
1ZLrIekMnYpQVXgf8Tcp1G,LA INDIA,Salsa x siempre,Mi Mayor Venganza,0,317373,False,0.595,0.762,7,-6.929,1,0.0572,0.527,2.07e-05,0.237,0.715,170.005,4,salsa
4HhPcoQaZ8Qo0GPalXWUIC,Celia Cruz,Ya huele a buñuelos,Que Le Den Candela,0,232573,False,0.875,0.711,0,-10.999,1,0.0518,0.489,0.000524,0.0687,0.906,103.398,4,salsa
1CViRjGVbmGsahWChbHlHG,La Sonora Dinamita;Mariana Seoane,Cumbia x siempre,Escándalo,0,278133,False,0.805,0.787,5,-3.967,1,0.0326,0.402,0.000464,0.0473,0.729,103.512,4,salsa
3BpAJmSlThgkxBmzKzJHX0,Frankie Ruiz,La navidad es todo aquello que nos hace recordar...,Tú Con Él,0,302093,False,0.823,0.779,7,-5.943,1,0.0492,0.201,0.00019,0.175,0.96,95.484,4,salsa
6vtIu6qxkHwskcY4LG1GbO,Oscar D'León,Era Salsa para Bailar,Lloraras,0,222200,False,0.708,0.751,9,-8.368,1,0.0452,0.517,0.000717,0.0445,0.962,96.994,4,salsa
2tIssuwKoNNRH4cIx1HgbJ,Celia Cruz,Era Salsa para Bailar,La Guagua,0,340440,False,0.741,0.638,5,-10.418,0,0.0605,0.571,0.00177,0.0619,0.85,115.074,4,salsa
2LNNg3Vt1nmsRNGAeuLCYc,Tito Nieves,Ritmo Bonito,El Amor Más Bonito,0,270573,False,0.49,0.863,0,-4.979,1,0.0386,0.465,1.58e-05,0.0715,0.942,93.923,4,salsa
1eMCfzrgOLeZEyu4PDD6Nq,Frankie Ruiz,Salsa x siempre,La Cura,0,297026,False,0.801,0.631,4,-6.958,0,0.0399,0.697,0.000103,0.0481,0.885,92.528,4,salsa
66O587TpO3Kc3q5XYpg7Dj,La Sonora Dinamita;Dr. Shenka,Ya huele a buñuelos,Hechicería,0,216653,False,0.626,0.749,4,-3.044,0,0.167,0.213,0.0,0.0866,0.494,193.937,4,salsa
7bKvcdYHjlYNTnwASIMzR2,Frankie Ruiz,Salsa x siempre,La Rueda,0,385826,False,0.702,0.856,5,-4.698,1,0.0351,0.458,1.74e-05,0.0796,0.917,103.06,4,salsa
3XqWYWWK14fn0QDGUJyOe0,Eddie Santiago,Ritmo Bonito,Tú Me Haces Falta,0,279173,False,0.626,0.88,2,-2.935,1,0.0308,0.195,7.46e-05,0.208,0.908,161.639,4,salsa
3Qz9U818hhJTrK169zY9NL,Grupo Niche,La navidad es todo aquello que nos hace recordar...,Cali Pachanguero,0,244200,False,0.655,0.728,0,-11.714,0,0.0321,0.752,0.00188,0.609,0.966,96.385,4,salsa
3WSnPnf1DmclgjVO8WHSal,Eddie Santiago,Ritmo Bonito,Cada Vez Otra Vez,0,299600,False,0.691,0.654,0,-7.604,1,0.0402,0.676,0.000445,0.0696,0.876,178.517,4,salsa
3wF2PO03RUu386RXfJyorg,Tito Nieves,Ritmo Bonito,De Mí Enamórate,0,312000,False,0.456,0.922,2,-3.413,0,0.038,0.714,1.99e-05,0.0849,0.712,94.379,4,salsa
0JoALlPiajRduK5AU5zezg,Frankie Ruiz,Era Salsa para Bailar,Desnúdate Mujer,1,289373,False,0.661,0.849,7,-4.315,1,0.033,0.355,1.22e-05,0.31,0.931,99.266,4,salsa
2MAdX6d9ugqrggFJlmpO2P,Oscar D'León,Carrete familiar,Que Bueno Baila Usted,0,216421,False,0.816,0.785,10,-5.415,1,0.043,0.459,6.1e-06,0.154,0.968,92.815,4,salsa
2LXv3VrS5SDojeGNZjbGAa,La Sonora Dinamita;El Dasa,La navidad es todo aquello que nos hace recordar...,La Suavecita,0,236400,False,0.82,0.792,5,-3.336,1,0.034,0.384,1.14e-06,0.132,0.882,97.019,4,salsa
4eSmr2WvN2TndIkl1asflB,Eddie Santiago,Ritmo Bonito,Que Locura Enamorarme De Ti,0,309813,False,0.761,0.736,1,-8.341,1,0.0445,0.713,0.0,0.0746,0.942,93.436,4,salsa
5um0QVNISHcxzty0LG4o0l,Eddie Santiago,Ya huele a buñuelos,Que Locura Enamorarme De Ti,0,309813,False,0.761,0.736,1,-8.341,1,0.0445,0.713,0.0,0.0746,0.942,93.436,4,salsa
3ZsIx1AB7NJqFet6IZzh4n,Eddie Santiago,Salsa x siempre,Tú Me Quemas,0,299480,False,0.736,0.843,5,-2.383,0,0.0427,0.486,0.0,0.048,0.907,171.183,4,salsa
51CogCuLh4pXPvfVLst4Da,Celia Cruz,La navidad es todo aquello que nos hace recordar...,Que Le Den Candela,0,232573,False,0.875,0.711,0,-10.999,1,0.0518,0.489,0.000524,0.0687,0.906,103.398,4,salsa
4HQ2wkMrC5uQCh72HKrnan,Eddie Santiago,Era Salsa para Bailar,Lluvia,1,296040,False,0.656,0.852,5,-4.857,0,0.0359,0.397,5.34e-05,0.0834,0.802,165.094,4,salsa
