track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
0T5iIrXA4p5GsubkhuBIKV,Stephen Sanchez,Until I Found You,Until I Found You,89,177720,False,0.539,0.508,10,-6.05,1,0.0288,0.727,0.0,0.174,0.227,101.358,3,singer-songwriter
0NLkVxf0PyxsXBG3EuZcJf,Anuv Jain,Gul,Gul,71,217241,False,0.6,0.294,6,-12.301,1,0.0292,0.871,8.66e-05,0.102,0.342,86.97,4,singer-songwriter
1Y3LN4zO1Edc2EluIoSPJN,Stephen Sanchez;Em Beihold,Until I Found You (Em Beihold Version),Until I Found You (with Em Beihold) - Em Beihold Version,80,176440,False,0.551,0.55,10,-5.339,1,0.0286,0.777,0.0,0.202,0.342,101.19,3,singer-songwriter
1is8gU4RVcN4J8xItxWoOY,Clinton Kane,I GUESS I'M IN LOVE,I GUESS I'M IN LOVE,77,204093,False,0.422,0.34,0,-6.577,1,0.0351,0.877,1.77e-05,0.149,0.223,77.213,4,singer-songwriter
1gWtHDe403RuyZqhvSRcv8,Prateek Kuhad,Tune Kaha,Tune Kaha,55,216885,False,0.362,0.763,3,-8.514,1,0.0589,0.015,0.00481,0.237,0.431,187.291,4,singer-songwriter
7uhINGViZPygI2AljxO8KN,Prateek Kuhad,cold/mess,cold/mess,61,281218,False,0.509,0.477,11,-6.571,1,0.0262,0.309,0.0168,0.158,0.283,146.031,3,singer-songwriter
08kTa3SL9sV6Iy8KLKtGql,Prateek Kuhad,Kasoor,Kasoor,70,197549,False,0.558,0.497,8,-7.175,1,0.0256,0.0285,5.36e-06,0.0799,0.444,107.047,4,singer-songwriter
1EuQFujqMzy76oZZ7R2xNO,Salman Elahi,Shaan,Pahadon Mein,57,225391,False,0.776,0.477,1,-10.049,1,0.0308,0.592,0.000184,0.105,0.774,115.008,4,singer-songwriter
6VhuP99TE6gYNQRJIlAWFD,Stephen Sanchez,Easy On My Eyes,Until I Found You,81,176666,False,0.346,0.5,10,-6.097,1,0.0388,0.757,0.0,0.189,0.191,202.466,3,singer-songwriter
117gRrOjnRkMCgWxNtDNSv,Prateek Kuhad,Shehron Ke Raaz,Kasoor - Acoustic,57,213306,False,0.62,0.111,6,-14.142,1,0.0355,0.896,0.00135,0.113,0.477,127.96,5,singer-songwriter
5iCY0TXNImK4hyKfcplQsg,Anuv Jain,Baarishein,Baarishein,76,207309,False,0.475,0.124,2,-9.463,1,0.0444,0.926,0.0,0.0972,0.19,94.42,4,singer-songwriter
6nZiYSBwPQ7fYnVWkkkj4g,Jasleen Royal;Prateek Kuhad,Baar Baar Dekho (Original Motion Picture Soundtrack),Kho Gaye Hum Kahan,70,213055,False,0.778,0.227,1,-16.191,1,0.0379,0.983,0.14,0.113,0.38,116.033,4,singer-songwriter
6BvRzfqi3sMAoQYnRpMVL0,Anuv Jain,Mazaak,Mazaak,68,212054,False,0.534,0.461,2,-11.292,1,0.0295,0.795,1.51e-06,0.114,0.244,145.972,4,singer-songwriter
75FEaRjZTKLhTrFGsfMUXR,Kate Bush,Hounds Of Love,Running Up That Hill (A Deal With God),90,298933,False,0.629,0.547,10,-13.123,0,0.055,0.72,0.00314,0.0604,0.197,108.375,4,singer-songwriter
7eadaD2SBArRbebB9CP70X,Osho Jain,Tu Aisa Kaise Hai?,Tu Aisa Kaise Hai?,54,214821,False,0.731,0.143,2,-16.589,1,0.0334,0.843,3e-05,0.308,0.452,111.881,4,singer-songwriter
06vNG6CiV4k8oNA0wUUAO7,Stephen Sanchez,Until I Found You (Piano Version),Until I Found You - Piano Version,74,184895,False,0.603,0.148,7,-10.449,1,0.0279,0.927,0.0,0.101,0.228,95.451,3,singer-songwriter
74kCarkFBzXYXNkkYJIsG0,Anuv Jain,Alag Aasmaan,Alag Aasmaan,70,212773,False,0.699,0.299,6,-12.599,1,0.0403,0.869,0.0,0.0724,0.459,118.969,4,singer-songwriter
3dYD57lRAUcMHufyqn9GcI,Hozier,Hozier,Take Me To Church,83,241688,False,0.566,0.664,4,-5.303,0,0.0464,0.634,0.0,0.116,0.437,128.945,4,singer-songwriter
3o9kpgkIcffx0iSwxhuNI2,Em Beihold,Numb Little Bug,Numb Little Bug,78,169237,False,0.742,0.527,8,-6.892,0,0.0769,0.327,0.0,0.25,0.638,84.974,4,singer-songwriter
6MZyrnqwsLnrWY5Gk0AyXg,Suzonn,Farq hai,Farq hai,57,184090,False,0.8,0.209,4,-12.652,1,0.0408,0.865,4.11e-05,0.252,0.74,87.972,4,singer-songwriter
5LRnKVQjcqslU5QV3RB7TG,Anurag Vashisht,Tum,Tum,57,178604,False,0.454,0.463,4,-6.057,1,0.0323,0.854,0.0,0.106,0.214,171.826,4,singer-songwriter
6smPjrA4Hf7J3kFe9afb1E,Anurag Vashisht,Tere Jaane Se,Tere Jaane Se,56,211462,False,0.59,0.459,4,-9.488,1,0.034,0.661,0.0,0.203,0.293,149.885,3,singer-songwriter
72zHuDxFQTjbL51qJQSA7j,Jasleen Royal;B Praak;Romy;Anvita Dutt,"Ranjha (From ""Shershaah"")","Ranjha (From ""Shershaah"")",76,228855,False,0.603,0.573,1,-5.843,1,0.0502,0.478,0.0,0.0971,0.236,82.941,4,singer-songwriter
7rtaBPvxCSw2bKY8miNyLa,Ashu Shukla,Har Ek Pal,Har Ek Pal,55,196875,False,0.718,0.448,2,-9.437,0,0.0263,0.506,0.0002,0.107,0.429,106.667,4,singer-songwriter
0fIbPMXnTdyuW2UirA9mWQ,Vismay Patel,Pal Behta Jaaye,Pal Behta Jaaye,68,174545,False,0.776,0.223,8,-13.686,1,0.0379,0.721,3.8e-06,0.119,0.196,109.966,4,singer-songwriter
6pvpFQ2jaI6oXAswo3GSUW,Vismay Patel,Dariya,Dariya,58,216107,False,0.62,0.222,4,-15.676,1,0.0353,0.905,0.000809,0.134,0.339,89.94,4,singer-songwriter
1gxmaTGnxEgZuV8485tevN,Anuv Jain,Alag Aasmaan (Acoustic),Alag Aasmaan (Acoustic),58,211578,False,0.625,0.103,5,-13.387,1,0.0435,0.921,1.06e-06,0.107,0.668,115.732,4,singer-songwriter
3CeKc83EsgRPItgvlDHo5B,Hayd,Changes - EP,Head In The Clouds,71,184559,False,0.778,0.134,4,-17.927,1,0.0506,0.967,0.00352,0.0936,0.287,116.078,4,singer-songwriter
0P4AQdNDgEdi7J8mpgY8Jx,Zariya;Aseem,Khoya,Khoya,57,178197,False,0.609,0.539,0,-8.087,1,0.0284,0.138,0.00014,0.286,0.413,99.995,4,singer-songwriter
0ecW7IqLKhzKTPeqLSNc0V,Jasleen Royal;Ranveer Allahbadia;Ujjwal Kashyap,Sang Rahiyo,Sang Rahiyo,61,213288,False,0.629,0.528,10,-11.374,1,0.0247,0.791,0.000222,0.0617,0.397,93.982,4,singer-songwriter
5qyEyqpT0TBVun8W07MEmR,Anuv Jain,Maula,Maula,57,237882,False,0.327,0.325,7,-11.303,1,0.0297,0.686,0.0,0.12,0.359,84.951,4,singer-songwriter
7fY8qVujvm5lZBrt5Y1sIJ,Arijit Anand;Ankita Barwad,Khayaal,Khayaal,56,149749,False,0.702,0.326,1,-11.575,1,0.0313,0.731,0.000287,0.146,0.556,110.022,4,singer-songwriter
6SWsSQnuTOyE6DOJG7Zdi4,Suzonn,Sun Lo Na (Raw),Sun Lo Na (Raw),55,174466,False,0.856,0.178,1,-15.241,1,0.0464,0.748,0.00593,0.0937,0.632,130.089,3,singer-songwriter
20rwogC6aE369YsxFb5aRp,Jasleen Royal,Phillauri,Din Shagna Da,60,215304,False,0.583,0.452,11,-10.459,0,0.026,0.802,0.00632,0.143,0.327,79.999,4,singer-songwriter
6Ln89sczgIcAJXGAIdS94R,Anuv Jain,Riha,Riha,61,287323,False,0.389,0.148,3,-11.011,1,0.03,0.897,0.0,0.114,0.4,142.611,4,singer-songwriter
6GT0oiQdjiYX91qgAMi7Vd,Jasleen Royal,Nit Nit,Nit Nit,65,246136,False,0.442,0.412,10,-10.675,1,0.0377,0.781,0.0237,0.15,0.235,176.019,4,singer-songwriter
1TkyDEdjiUuYhoMkxdZCiO,Prateek Kuhad,Tere Hi Hum,Tere Hi Hum,58,177026,False,0.738,0.305,0,-9.667,1,0.0286,0.851,1.74e-05,0.15,0.489,116.07,1,singer-songwriter
4hGHgXcTOD8BzJKMz062ZN,Akanksha Sethi,Raaz Tera Mera,Raaz Tera Mera,54,208500,False,0.307,0.254,0,-13.692,1,0.0265,0.845,6.08e-06,0.373,0.332,81.028,3,singer-songwriter
5nTbPFqLKmQdIg1SD8KgG4,Anuv Jain,Meri Baaton Mein Tu,Meri Baaton Mein Tu,62,213986,False,0.623,0.455,0,-9.793,1,0.0302,0.426,0.0,0.145,0.233,142.878,4,singer-songwriter
0v77QqHiZUvfJkCk2rGRqw,Jasleen Royal;B Praak;Romy;Anvita Dutt,Shershaah (Original Motion Picture Soundtrack),Ranjha,64,228855,False,0.611,0.566,1,-5.861,1,0.0388,0.507,0.0,0.0971,0.312,82.984,4,singer-songwriter
0RSGPiykniIg8m7JhiAVv7,Anupam Roy,Aisi Raaton,Aisi Raaton,62,218930,False,0.517,0.443,9,-8.946,1,0.0529,0.88,0.000141,0.0989,0.538,176.035,4,singer-songwriter
47hXMyQDGW8sA1NGqmFL7h,Prateek Kuhad,The Way That Lovers Do,All I Need,56,153693,False,0.786,0.356,6,-11.432,1,0.0462,0.771,0.694,0.1,0.519,116.023,4,singer-songwriter
1xtkLqZcGPQZP9549WlmfH,Anuv Jain,Mishri,Mishri,64,200437,False,0.534,0.159,7,-14.304,1,0.0288,0.917,0.0,0.109,0.184,80.047,4,singer-songwriter
7z8XCViP5KT8O7HqoCsRTV,Anupam Roy;Shreya Ghoshal,Piku,Journey Song,56,252565,False,0.657,0.652,10,-7.247,1,0.05,0.37,0.0,0.238,0.665,109.885,4,singer-songwriter
3CeodjvVasr0yFSBufbKsG,Stephen Sanchez,LUGNA LÅTAR,Until I Found You,3,177720,False,0.539,0.508,10,-6.05,1,0.0288,0.727,0.0,0.174,0.227,101.358,3,singer-songwriter
5YVmHTAsdWnoanWXB7AwZX,Jax,Like My Father,Like My Father,72,183428,False,0.492,0.224,5,-8.098,1,0.0493,0.91,0.0,0.142,0.424,93.039,4,singer-songwriter
4svaKoxMMP7ImmKrD5hfQu,Jax,Victoria’s Secret,Victoria’s Secret,82,176124,True,0.586,0.556,6,-7.639,1,0.0592,0.00655,0.0,0.0836,0.517,167.018,4,singer-songwriter
0PKEQjnGn0LmPjozJ3t4MF,Karthik Rao,Kota Factory: Season 1 (Music from Tvf Original Series),Main Bola Hey!,56,153000,False,0.646,0.33,0,-14.582,1,0.0339,0.75,0.000384,0.123,0.499,84.995,4,singer-songwriter
3FTRSa9mWB3kKx2jkhUAN3,Prateek Kuhad,Tum Jab Paas - Single,Tum Jab Paas,60,235932,False,0.751,0.344,6,-7.712,1,0.0379,0.528,1.62e-06,0.113,0.471,122.1,3,singer-songwriter
2oXn3MJihO2BtAIrLogXjT,Stephen Sanchez,Christmas Vibes But Not Christmas Songs,Until I Found You,0,177720,False,0.539,0.508,10,-6.05,1,0.0288,0.727,0.0,0.174,0.227,101.358,3,singer-songwriter
4HbeGjbt7u3pvwDk1vN7P0,Sufjan Stevens,Call Me By Your Name (Original Motion Picture Soundtrack),Mystery of Love,68,248964,False,0.365,0.273,4,-16.526,0,0.038,0.94,0.431,0.109,0.238,132.285,5,singer-songwriter
6ymoA9aCgqTyoQLIeR7vCX,Taba Chake,Bombay Dreams,Shaayad,52,208000,False,0.606,0.474,8,-8.498,1,0.0308,0.671,9.09e-06,0.114,0.43,94.967,4,singer-songwriter
2Ocao0XJlBrKgIQm9ckhsH,Brent Morgan,Gonna Be Okay,Gonna Be Okay,65,210165,True,0.609,0.506,11,-8.902,1,0.0292,0.0204,0.0,0.102,0.364,77.427,4,singer-songwriter
6l1VsKiMyaUWElFrM1rsuu,Prateek Kuhad,Karwaan,Saansein,54,266041,False,0.693,0.518,1,-9.146,1,0.0282,0.653,0.531,0.138,0.374,128.041,4,singer-songwriter
1w9L6dvttZalWd8XqFYvSa,Zach Hood,Isabelle,Isabelle,72,135000,False,0.678,0.716,10,-4.403,1,0.0342,0.196,0.0,0.102,0.627,109.981,4,singer-songwriter
3hB9lDLyAClYVZivMMl20N,Prateek Kuhad,The Way That Lovers Do,Co2,53,163653,False,0.533,0.678,1,-5.244,1,0.0256,0.663,0.0,0.145,0.683,80.96,4,singer-songwriter
5Br8K1CLLVB7AuuM0t4G7r,Jasleen Royal,Khoobsurat,Preet,50,303673,False,0.578,0.561,10,-7.048,0,0.0597,0.731,0.0126,0.171,0.529,167.887,4,singer-songwriter
6q7bXTv3yBedHblKRoC5uu,Prateek Kuhad,Karwaan,Kadam,51,214603,False,0.55,0.356,9,-14.142,1,0.0405,0.637,0.187,0.32,0.343,159.911,3,singer-songwriter
0wNf3Yk11625KJ6mDkEjzu,Taba Chake,Bombay Dreams,Aao Chalein,53,185305,False,0.705,0.637,10,-7.367,1,0.084,0.126,0.0308,0.233,0.819,127.656,4,singer-songwriter
4bmQ3WP0Y8k9mZk3Ajdm6W,Keenan Te,Mine,Mine,64,206396,False,0.555,0.219,3,-12.216,1,0.0523,0.865,0.0,0.1,0.505,90.093,4,singer-songwriter
3q5Ur1rIlB8NuOY6FbzxJs,Raghav Chaitanya,Baatein,Baatein,49,246486,False,0.568,0.356,2,-8.365,1,0.0335,0.705,0.0,0.141,0.383,147.916,4,singer-songwriter
5tJqtSvAfTJkMrV4Wst4Le,Prateek Kuhad,cold/mess,100 words,52,210420,False,0.518,0.44,3,-14.536,1,0.034,0.888,0.457,0.111,0.575,76.154,4,singer-songwriter
0tEAGQTo2PXnWFKn99x0a7,Osho Jain;Melissa Srivastava,"Uljhe Hue (From ""Uljhe Hue"")","Uljhe Hue - From ""Uljhe Hue""",51,112750,False,0.532,0.123,5,-10.427,1,0.0346,0.908,0.0,0.0729,0.256,76.569,4,singer-songwriter
4sO9tnvCH3DJZ3AAXoixjd,Prateek Kuhad,Mismatched (Music from the Netflix Original Series),Kahaan Ho Tum,53,155289,False,0.714,0.393,5,-10.157,1,0.0754,0.733,0.00192,0.123,0.72,67.589,4,singer-songwriter
7qMCYAkTTbFOw1hUXvAAje,Osho Jain;Sanchi,Saar,Humara Ho Gaya,52,157674,False,0.657,0.249,0,-12.8,1,0.0528,0.929,0.0,0.0965,0.226,148.027,4,singer-songwriter
4YxsJyL48q7NZiiCj0uib0,Jasleen Royal;TM Bax;Radhika Madan,Ni Jana,Ni Jana,52,205714,False,0.758,0.483,8,-5.549,0,0.0712,0.563,2.28e-06,0.139,0.502,104.893,4,singer-songwriter
5m4FuvMmLOnq7Gpt0ckAcf,Anurag Vashisht;Riya Tickoo,Tum 2.0,Tum 2.0,50,235394,False,0.456,0.388,1,-9.231,1,0.0405,0.692,0.0,0.163,0.293,171.443,4,singer-songwriter
4BL4aEbddW0OGv6fFYYFUt,Anuv Jain,Ocean,Ocean,53,252630,False,0.72,0.237,3,-11.665,1,0.0415,0.963,0.0,0.0952,0.606,125.335,4,singer-songwriter
