track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
07UDTaRYJAsIhUZTyZSUzM,Huma,Ons,Ons,71,193239,False,0.111,0.0185,0,-32.335,1,0.0424,0.957,0.94,0.087,0.0459,76.153,3,sleep
0CMYUXTTTmI6Lwc0opH2XG,Sohn Aelia,Herinneringen,Herinneringen,74,172357,False,0.0685,0.00342,0,-37.156,1,0.0418,0.99,0.91,0.106,0.0581,73.644,1,sleep
5LEHlRPjGcZ5RdagAwXpHS,Little Circuits,Beautiful Imagination,Beautiful Imagination,71,143052,False,0.102,0.0333,3,-34.177,1,0.0476,0.797,0.927,0.111,0.0591,89.605,4,sleep
58xXb7ASilQ9WYtninubrY,White Noise for Babies,Thinned Phaser,Aqua,0,157024,False,0.24,0.0119,6,-33.515,0,0.076,0.995,0.828,0.103,0.0358,138.009,4,sleep
6kOJ0Ylenwr6Up0g4lDORg,White Noise for Babies,Rising Sun,Rising Sun,0,180000,False,0.135,0.000804,4,-34.772,1,0.0507,0.968,0.728,0.108,0.0346,141.93,5,sleep
43GY94NCY1bRjekjmlvT37,White Noise for Babies,Rising Sun,Ripple,0,68624,False,0.199,0.0459,0,-34.04,1,0.0496,0.994,0.988,0.109,0.0348,138.752,5,sleep
1jMORMyMYDLCQ60u4aI6yZ,White Noise for Babies,Thinned Phaser,Ripple,0,68624,False,0.199,0.0459,0,-34.04,1,0.0496,0.994,0.988,0.109,0.0348,138.752,5,sleep
7DSQbZaH5vle39tlhXOlnt,White Noise for Babies,Thinned Phaser,Soft White Noise,0,154010,False,0.205,0.005,6,-35.515,0,0.0944,0.988,0.941,0.128,0.0328,131.405,4,sleep
4YWCtJjkVxBVEzVZoAgGHR,White Noise for Babies,Sea of White Noise,Forward,0,205944,False,0.209,0.0951,2,-29.102,1,0.0631,0.816,0.972,0.101,0.0328,142.801,4,sleep
6VwRN2gV7xF8pPxwry5Nvz,White Noise for Babies,Twilight Noise,Soft Light,0,186707,False,0.334,0.265,2,-13.579,1,0.0343,0.855,0.833,0.125,0.0319,30.2,4,sleep
73fKkIQz5EYlQ05SJNgdx6,White Noise for Babies,Sea of White Noise,Peaceful,0,122556,False,0.18,0.163,2,-25.969,1,0.0658,0.942,0.643,0.108,0.0342,130.908,3,sleep
6EBtufioknTryqoJJqy6Xk,White Noise for Babies,Thinned Phaser,Rising Sun,0,180000,False,0.135,0.000804,4,-34.772,1,0.0507,0.968,0.728,0.108,0.0346,141.93,5,sleep
4zK4eYGU5SKPEIDST6QHv0,White Noise for Babies,Rising Sun,Cosmic Ocean,0,164258,False,0.213,0.0576,7,-30.408,1,0.0623,0.866,0.85,0.0991,0.0389,70.795,4,sleep
2OkrxnSE2OG0bOGjniOCl6,Silent Knights,Sleepy Baby Womb Sounds,Womb Heartbeat (No Fade for Looping),57,55401,False,0.399,0.897,10,-30.057,0,0.0393,0.946,0.942,0.111,0.0375,178.746,3,sleep
4OxvaRRodfF83n9AkWBWmj,White Noise for Babies,Rising Sun,Missing,0,185003,False,0.232,0.146,4,-23.397,1,0.0461,0.934,0.948,0.146,0.041,136.158,4,sleep
4WgO2vtQWeMlyOAJ62OvCK,White Noise for Babies,Twilight Noise,Soothing Tone,0,128364,False,0.217,0.197,0,-16.778,0,0.0419,0.95,0.942,0.22,0.0301,126.733,4,sleep
5VoqtEn14wIXdD5lcbqTxB,White Noise for Babies,Rising Sun,Night,0,186707,False,0.152,0.165,2,-19.544,1,0.0497,0.987,0.995,0.0959,0.0307,137.613,1,sleep
1Trw5Jn2E1kNVTwZqnyLHM,White Noise for Babies,Thinned Phaser,Odd Harmonics,0,207543,False,0.168,0.0427,2,-15.065,1,0.041,0.978,0.912,0.362,0.0183,124.214,5,sleep
75O62W40uqNDVFeB5tU2Ta,White Noise for Babies,Sea of White Noise,Starlights,0,187464,False,0.265,0.152,2,-21.963,1,0.0438,0.84,0.918,0.116,0.031,145.814,4,sleep
1UTqeEmmsHrul7iTyOOcJI,White Noise for Babies,Rising Sun,Reverb Beat,0,155253,False,0.439,0.182,0,-29.579,1,0.0393,0.996,0.998,0.11,0.0755,139.957,4,sleep
2t8L5xPymKvyZ5LtdYPR3r,White Noise for Babies,Thinned Phaser,Ocean of Reverb,0,206736,False,0.0791,0.678,8,-32.316,1,0.044,0.984,0.957,0.0952,0.0188,173.351,5,sleep
6kPwu7QnNdOdmx5XMlK9d3,White Noise for Babies,Sea of White Noise,The Choir,0,185760,False,0.187,0.38,4,-12.22,1,0.0346,0.883,0.995,0.175,0.0358,79.347,4,sleep
2L2D0aPziCdIjm57GDMULG,White Noise for Babies,Twilight Noise,Twilight Movements,0,180000,False,0.216,0.0754,2,-24.969,1,0.0442,0.795,0.87,0.113,0.0383,138.291,3,sleep
7gj4r6WJSjvjsrwQjtyGva,White Noise for Babies,Rising Sun,Gentle Noises,0,206000,False,0.0934,0.443,5,-17.273,0,0.229,0.139,0.677,0.156,0.0363,89.647,4,sleep
