track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
5ZEQjTroORCu6uWvZrdeNc,Cecilia Krull,My Life Is Going On (Música Original De La Serie De TV La Casa De Papel / Money Heist),My Life Is Going On (Música Original De La Serie De TV La Casa De Papel / Money Heist),62,214200,False,0.427,0.647,6,-8.944,0,0.0353,0.102,2.13e-06,0.133,0.298,99.753,4,spanish
0hjpo40L9XPirSdaJZOGB2,Lola Indigo;Maria Becerra,Bájale como 7500,DISCOTEKA,2,174801,False,0.795,0.854,0,-5.462,1,0.0444,0.162,1.21e-06,0.0923,0.549,105.992,4,spanish
5QqSYrL0dN5fvwQYEfltOa,Lola Indigo;Maria Becerra,El perreo es el futuro,DISCOTEKA,0,174801,False,0.795,0.854,0,-5.462,1,0.0444,0.162,1.21e-06,0.0923,0.549,105.992,4,spanish
7sNBIIStlc2ifqAkdySXLM,Aitana;Sebastian Yatra,Dulce Balada,Corazón Sin Vida,0,181978,False,0.48,0.572,2,-4.013,1,0.0412,0.169,0.0,0.0711,0.452,89.89,4,spanish
6QdFtyixbbTami8OPxtJuw,Lola Indigo;Maria Becerra,Clásicos de ahora: Perreo,DISCOTEKA,0,174801,False,0.795,0.854,0,-5.462,1,0.0444,0.162,1.21e-06,0.0923,0.549,105.992,4,spanish
4m9fRIegA8wUHdBEFUzkaG,Aitana;Emilia;Ptazeta,Perreo en Halloween,Quieres,4,213666,False,0.796,0.646,11,-3.925,0,0.158,0.0744,0.0,0.127,0.663,180.03,4,spanish
3N0BsG6OnHao4tm6kwGRke,Aitana,Dulce Balada,Vas A Quedarte,0,226213,False,0.394,0.508,7,-3.522,1,0.0326,0.795,3.87e-06,0.0627,0.167,89.222,4,spanish
6MVVLMg67DcdaoHKmAV3ME,David Bisbal,Retro Baladas,Dígale,0,265226,False,0.559,0.472,2,-6.814,1,0.0299,0.583,0.0,0.146,0.305,129.945,4,spanish
5swvY8PV11FXc4khaWpW8j,Aitana;Nicki Nicole,Verano en Junio,Formentera,0,207333,False,0.781,0.645,1,-4.136,0,0.0399,0.0903,1.58e-06,0.226,0.803,128.007,4,spanish
4D0cs8YKxzr30UTQ8RquNQ,Lola Indigo;Maria Becerra,Frescura y Perreo,DISCOTEKA,4,174801,False,0.795,0.854,0,-5.462,1,0.0444,0.162,1.21e-06,0.0923,0.549,105.992,4,spanish
5JxfniFnfVXxL71Bs41G9u,Aitana;Emilia;Ptazeta,Bájale como 7500,Quieres,2,213666,False,0.796,0.646,11,-3.925,0,0.158,0.0744,0.0,0.127,0.663,180.03,4,spanish
5PDSxvzJnXM0WnhVPBUvMS,Aitana;Morat,Dulce Balada,Más De Lo Que Aposté,0,205031,False,0.621,0.918,1,-3.01,0,0.0552,0.0753,0.0,0.13,0.838,151.988,4,spanish
2yjsLhI8323uXRgVU6d1j8,Lola Indigo;Danna Paola;Denise Rosenthal,El perreo es el futuro,Santería,0,184000,False,0.74,0.892,11,-2.756,0,0.0664,0.025,0.0,0.188,0.826,105.003,4,spanish
1MVEFNenJjyEbqZfbnbiwA,Lola Indigo;Maria Becerra,Reggaeton Mix Perreito,DISCOTEKA,3,174801,False,0.795,0.854,0,-5.462,1,0.0444,0.162,1.21e-06,0.0923,0.549,105.992,4,spanish
7pXuB2ZfTEmltCxaVCxhWf,Lola Indigo;Danna Paola;Denise Rosenthal,Clásicos de ahora: Perreo,Santería,0,184000,False,0.74,0.892,11,-2.756,0,0.0664,0.025,0.0,0.188,0.826,105.003,4,spanish
0bEKqlZOze95J2a2ICZL3F,Aitana,Halloween 2022 Pop Vol. 1,11 RAZONES,0,213179,False,0.55,0.874,5,-3.937,1,0.0508,0.00599,0.0,0.214,0.348,166.011,4,spanish
2YG0kV3M9JNde63YtelgUt,Lola Indigo;Maria Becerra,Esto me suena a Farra,DISCOTEKA,0,174801,False,0.795,0.854,0,-5.462,1,0.0444,0.162,1.21e-06,0.0923,0.549,105.992,4,spanish
5UtcEYRfaqBRzXsoG8ARts,Aitana;Emilia;Ptazeta,Frescura y Perreo,Quieres,1,213666,False,0.796,0.646,11,-3.925,0,0.158,0.0744,0.0,0.127,0.663,180.03,4,spanish
1gdghsFly6UyRWpARtW5mp,Aitana;Emilia;Ptazeta,Reggeaton Imperdible,Quieres,1,213666,False,0.796,0.646,11,-3.925,0,0.158,0.0744,0.0,0.127,0.663,180.03,4,spanish
00tFl7H7UaITu6p9PM6UJM,Aitana;Ana Guerra;Greeicy;TINI,Carrete con besties,Lo Malo - Remix,0,184009,False,0.703,0.736,1,-4.397,0,0.047,0.289,1.55e-06,0.111,0.603,94.998,4,spanish
0qvdnUqKlWB0HXjOPco8vg,Lola Indigo;Mala Rodríguez,Perreo Tenebroso Vol. 5,Mujer Bruja,0,203773,False,0.773,0.917,10,-2.166,0,0.0629,0.0946,0.000106,0.0885,0.763,105.964,4,spanish
2aGaBLYxakwHTqcOk4iD4p,David Bisbal,Retro Baladas,Me Enamoré De Ti,0,206173,False,0.497,0.524,2,-8.111,1,0.0293,0.191,0.0,0.0896,0.209,143.961,4,spanish
5ISy0AzfziXIsYde5UdsN9,David Bisbal,Carrete con besties,Antes Que No,0,226270,False,0.635,0.924,5,-4.856,1,0.0546,0.153,2.63e-05,0.0827,0.666,94.008,4,spanish
5MZWvWUZzhdysz2J1igSjN,Lola Indigo;Danna Paola;Denise Rosenthal,Bájale como 7500,Santería,0,184000,False,0.74,0.892,11,-2.756,0,0.0664,0.025,0.0,0.188,0.826,105.003,4,spanish
6p9Waa5CN1FjDA2nYCWc5a,Coti,Triste Hora,Días,0,251253,False,0.575,0.864,4,-5.321,0,0.0311,0.00871,0.000427,0.129,0.566,127.01,4,spanish
0zAP6dNWTxFl774n6qjWNO,Alejandro Sanz,Halloween 2022 Pop Vol. 2,Pero Tú,0,282243,False,0.687,0.559,0,-4.661,1,0.0351,0.714,0.0,0.116,0.404,136.073,4,spanish
3cgLxohD5Xscb1qBdmv0bp,Lola Indigo,Bájale como 7500,Las Solteras,0,150237,False,0.851,0.759,6,-3.08,0,0.0703,0.112,0.000259,0.0697,0.694,119.961,4,spanish
1hLgXDyabDLzzuAxujQPBU,Lola Indigo;TINI;Belinda,Perreo Tenebroso Vol. 2,La Niña de la Escuela,0,204414,False,0.707,0.876,1,-1.887,1,0.0787,0.173,9.36e-06,0.932,0.853,176.068,4,spanish
51k2HHdW9aUAQ1uiP3kn7F,Coti;Dani Martín,Pop x siempre,Antes Que Ver El Sol,0,221626,False,0.677,0.689,9,-7.494,1,0.0312,0.0833,0.0,0.167,0.887,134.045,4,spanish
3fM4uF5RuWugpR29Ue9HHy,Coti,Triste Hora,50 Horas,0,213626,False,0.596,0.906,1,-5.654,0,0.046,0.04,0.000184,0.285,0.746,122.045,4,spanish
0Nq0igeWY9j7TtqWCYuTM6,Alejandro Sanz,Retro Baladas,Camino De Rosas,0,260573,False,0.776,0.609,9,-6.146,1,0.0929,0.481,0.0,0.0508,0.612,96.04,4,spanish
0qrJmDNacWUc7zGLI1o2mX,Pablo Alborán;David Bisbal;Antonio Carmona;Jesse & Joy;Juanes;Malú;Vanesa Martín;India Martinez;Antonio Orozco;Niña Pastori;Laura Pausini;Abel Pintos;Rozalén;Shakira;Tommy Torres;Manuel Carrasco;Pablo López,Dulce Balada,"Y, ¿Si Fuera Ella? - + Es +",0,250000,False,0.459,0.536,5,-5.76,1,0.0304,0.34,0.0,0.209,0.203,75.999,4,spanish
58V8EB4yZaB1MFVsnU3I06,Pablo Alborán;David Bisbal;Antonio Carmona;Jesse & Joy;Juanes;Malú;Vanesa Martín;India Martinez;Antonio Orozco;Niña Pastori;Laura Pausini;Abel Pintos;Rozalén;Shakira;Tommy Torres;Manuel Carrasco;Pablo López,Retro Baladas,"Y, ¿Si Fuera Ella? - + Es +",0,250000,False,0.459,0.536,5,-5.76,1,0.0304,0.34,0.0,0.209,0.203,75.999,4,spanish
2UFAjlh6NmjWX9IyMTMcxD,Alejandro Sanz,Para entrar en calor,Te Canto Un Son,0,192551,False,0.815,0.66,9,-7.68,0,0.25,0.381,0.0,0.128,0.643,101.006,4,spanish
569hk4SuiumGEtW4Ps7Hph,Alejandro Sanz;Alejandro Fernández,Halloween 2022 Pop Vol. 1,A Que No Me Dejas,1,321323,False,0.597,0.665,7,-4.403,1,0.129,0.424,0.0,0.115,0.443,94.467,4,spanish
0qU2ukOrwNTkA9mB6bb1DJ,David Bisbal;Sebastian Yatra,Para entrar en calor,A Partir De Hoy,0,196802,False,0.652,0.847,6,-5.035,1,0.0552,0.188,0.0,0.378,0.515,163.942,4,spanish
453sNAmiyjCqcJQn9cOjUA,Alejandro Sanz,Halloween 2022 Pop Vol. 2,No Tengo Nada,0,225599,False,0.534,0.614,10,-6.69,1,0.0406,0.557,0.0,0.199,0.238,147.739,4,spanish
3S1x2oj2T4CL8pnJON66qi,David Bisbal,Halloween 2022 Pop Vol. 2,Diez Mil Maneras,0,212028,False,0.665,0.765,0,-6.036,1,0.0316,0.13,0.0,0.0831,0.744,153.984,4,spanish
28kat5VccKACzCXiQe25FK,Alejandro Sanz;Camila Cabello,Dulce Balada,Mi Persona Favorita,0,239972,False,0.581,0.659,8,-7.511,1,0.116,0.538,0.0,0.0656,0.577,155.945,4,spanish
1sojpRoFJYHTiting2LP7Y,Alejandro Sanz,Diversión para los peques,Bajo El Mar,0,250520,False,0.682,0.683,0,-5.977,1,0.04,0.398,0.0,0.0603,0.776,90.017,4,spanish
1XSxP8pGMS1gqCiCWJEPvH,Lola Indigo;TINI;Belinda,Halloween 2022 Pop Vol. 5,La Niña de la Escuela,0,204414,False,0.707,0.876,1,-1.887,1,0.0787,0.173,9.36e-06,0.932,0.853,176.068,4,spanish
2aHvfapu1RPMlEhzeEQIdS,Manuel Carrasco,Dulce Balada,Qué Bonito Es Querer,0,270187,False,0.609,0.717,11,-7.177,1,0.045,0.6,0.0,0.082,0.425,93.941,4,spanish
1C6kyXe2Ey9fJWbKJbHyGD,Alejandro Sanz;Alejandro Fernández,Retro Baladas,A Que No Me Dejas,0,321323,False,0.597,0.665,7,-4.403,1,0.129,0.424,0.0,0.115,0.443,94.467,4,spanish
30JbQlyoAUUud1FjAq4KPn,La Oreja de Van Gogh,Éxitos del Pop en Español de los Años 2000,Rosas,0,237146,False,0.773,0.691,9,-4.539,1,0.0268,0.655,2.77e-06,0.111,0.529,106.988,4,spanish
2Ivtk3iVMAfp2XaWhgDNAn,La Oreja de Van Gogh,Éxitos del Pop en Español de los Años 2000,Jueves,0,238720,False,0.546,0.229,5,-7.715,1,0.0398,0.938,0.0,0.0927,0.155,69.216,3,spanish
4CrvuZnTyzReLCcXRMETLK,Manuel Carrasco,Para entrar en calor,Yo Quiero Vivir,0,243093,False,0.69,0.733,0,-6.194,1,0.105,0.143,0.0,0.147,0.704,117.969,4,spanish
5aJfplUysEgC70Ol9sJWRB,Estopa,Éxitos del Pop en Español de los Años 2000,Vino Tinto,0,197173,False,0.696,0.932,7,-3.855,1,0.1,0.369,0.0,0.0379,0.802,92.397,4,spanish
2AyaZKV3wtakDMNHMyMY3h,Estopa;Rosario,Éxitos del Pop en Español de los Años 2000,El Run Run (with Rosario),0,203106,False,0.699,0.811,0,-5.507,0,0.0398,0.676,5.41e-06,0.245,0.814,129.939,4,spanish
3gnUhfve9KfjrBca9s1weI,La Quinta Estacion,Éxitos del Pop en Español de los Años 2000,Me Muero,0,190613,False,0.423,0.723,5,-3.741,1,0.036,0.14,0.0,0.236,0.623,170.022,4,spanish
5SfpLM5B1l3CKDTYdbFhKV,Joaquín Sabina,Éxitos del Pop en Español de los Años 2000,Tiramisu de Limon,0,249586,False,0.563,0.588,2,-7.125,1,0.0318,0.0185,0.0,0.0976,0.413,111.951,4,spanish
3fjN3y5x4hN53rykAN2LHQ,Rels B,cómo dormiste?,cómo dormiste?,89,112572,True,0.627,0.429,1,-8.255,1,0.234,0.238,0.0,0.122,0.565,126.426,5,spanish
0EpdLuptraYGFZ6J7HNSLc,Ana Mena;Belinda,LAS 12,LAS 12,79,165230,False,0.784,0.814,6,-2.436,1,0.0464,0.0559,0.0,0.194,0.728,129.96,4,spanish
511ZMyXhrPlJvQSYtBWDy3,Beret;Estopa,Diablo,Diablo,75,164669,False,0.542,0.871,1,-2.871,1,0.0456,0.051,0.0,0.195,0.557,134.983,3,spanish
4iGnpp1h0i33lpoP42Y8Jt,Aitana;Emilia;Ptazeta,Quieres,Quieres,76,213666,False,0.796,0.646,11,-3.925,0,0.158,0.0744,0.0,0.127,0.663,180.03,4,spanish
3eKQ99bghyGg0Zx5sVWBEP,Antonio José,Dulce Balada,Tu Boca,0,225876,False,0.503,0.455,2,-6.959,1,0.0348,0.806,0.0,0.153,0.321,72.743,1,spanish
