track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
6qbe2xJVwt7wwpeocsrVvc,Talented Mr Tipsy,Ritual,Ritual,53,173333,False,0.657,0.717,10,-6.007,0,0.199,0.751,0.878,0.174,0.401,90.076,4,study
5ZOwkvgMAeI0G2USq0cIFQ,O k O,neomatter,neomatter,49,104433,False,0.67,0.371,4,-13.83,0,0.141,0.57,0.891,0.127,0.1,83.03,3,study
2L2aSrua8ZBRMogFhF6I1Q,4to28,Elastic,Elastic,50,121600,False,0.736,0.41,5,-14.587,0,0.0528,0.0361,0.854,0.38,0.587,112.509,3,study
1tNwm7phOIMzGC1VO9Dggr,Joi Casette,One Two Tree,One Two Tree,47,121875,False,0.797,0.263,6,-13.089,0,0.106,0.576,0.786,0.918,0.379,80.014,4,study
4wkQzdybc3qK4nNaxHLzvO,hope mona,humify,humify,47,161032,False,0.496,0.198,3,-18.74,1,0.323,0.947,0.885,0.0933,0.341,77.168,4,study
2IfYpqvhlKUQ7BcURXGWHo,Sail & Weep,Latex,Latex,50,157356,False,0.689,0.362,4,-12.357,0,0.04,0.825,0.454,0.113,0.564,86.992,4,study
5pEWbaagNCVwabOEPrEy1m,Beatnugget,Low 5,Low 5,49,138000,False,0.733,0.301,3,-8.049,0,0.12,0.919,0.784,0.368,0.744,160.015,4,study
6flksSGb0Z9WZYXzaRIQaM,Oscar Hollis,Windowsills & Green Falls,Windowsills,48,155454,False,0.737,0.161,5,-18.395,1,0.11,0.909,0.941,0.121,0.169,87.981,4,study
2geKkFPV5LpENULZQxv3wh,forever grown,marmalade sunset,make it right,46,164337,False,0.704,0.329,0,-15.407,1,0.0636,0.4,0.828,0.124,0.597,84.002,4,study
6qeMnGssbQmFZQ4NA9NPT2,So_nny,Wonderland,Wonderland,48,150000,False,0.726,0.369,0,-10.117,0,0.049,0.841,0.84,0.138,0.726,80.018,4,study
3UdSY1SgSF60lpYdMbmeXm,Von Von Bon,Seven,Seven,49,149333,False,0.691,0.32,1,-7.301,1,0.0713,0.829,0.687,0.11,0.407,89.973,4,study
2gQmlDrCMN49X5E2tiKT5I,Lazy Leopard,Fingers Crossed,Fingers Crossed,46,85071,False,0.644,0.117,7,-12.183,1,0.0957,0.735,0.79,0.123,0.372,70.02,4,study
4SMMdkI3aMh08Ntf9DxuCh,Moon Ladder,Epsom Road,Eskgrow,50,195883,False,0.69,0.39,0,-11.915,1,0.051,0.835,0.944,0.106,0.609,168.115,4,study
553ntYSPcu70QIRXtBjAHD,Moodula,Echo Cliff,Peach Sky,48,124235,False,0.497,0.287,9,-13.128,0,0.0331,0.641,0.899,0.117,0.205,84.935,4,study
6dtGKLkb3KjWffRKNDfrYu,Lazy Leopard,Brooklyn,Brooklyn,47,113835,False,0.755,0.368,5,-12.653,1,0.172,0.117,0.839,0.0982,0.616,146.0,4,study
3jNkhv4Hn6MnogaKf6qJMk,Timothy Infinite,As The Curtain Falls,Distractions,55,135551,False,0.476,0.41,8,-11.16,1,0.0822,0.844,0.895,0.0964,0.284,86.818,4,study
69oebUHeibzbgcD1MUsSsl,Midnight Smoothie,Night Blue Skies,Night Blue Skies,49,128440,False,0.543,0.602,1,-10.862,1,0.0646,0.00768,0.867,0.191,0.527,84.985,4,study
34VlfUUS5Ogo3IM5lb7EZY,Oscar Hollis,4WHEELS,cotton candy clouds,45,133333,False,0.579,0.157,3,-19.245,1,0.0572,0.296,0.923,0.11,0.151,143.996,4,study
1bFNVPttUZyzRxfsJAFkJx,Nathan Kawanishi,Nostalgia,Tokyo Trainspotting,47,120769,False,0.595,0.526,6,-10.11,1,0.167,0.778,0.875,0.322,0.944,78.002,4,study
6iEEf0a4KOHbOsbJ4TslLY,Dusty Decks,RPM,Strummer Boy,52,129819,False,0.681,0.36,11,-9.901,0,0.159,0.926,0.95,0.124,0.417,84.896,4,study
5XsrMxCmiQsx7zaRn4t3W2,Matt Large,3 Days in Kadiköy,3 Days in Kadiköy,48,206386,False,0.584,0.555,8,-9.197,0,0.158,0.28,0.849,0.212,0.478,172.172,4,study
0w1Bmnum1Fk0Unjy5Ok2ov,Ensidya,Youth,Youth,51,144615,False,0.675,0.133,6,-10.8,1,0.0367,0.513,0.927,0.12,0.262,78.001,4,study
1D5NGDRg9CFCIm6WXgjtd8,Beat Oven,GROOVE!,"Why, Yes My Good Sir",48,103448,False,0.668,0.441,3,-11.824,1,0.0569,0.523,0.918,0.101,0.183,173.991,4,study
1p0vYiUriWNU5mKQnOFJWI,Stratotune,Gold Plated,Gold Plated,45,133333,False,0.701,0.294,4,-8.645,0,0.0544,0.792,0.3,0.108,0.438,180.085,4,study
0tL9E43q9uXQftXBeZMM8D,Timothy Infinite,Sudden Impulses,Skin Tone,54,166017,False,0.662,0.484,6,-6.697,0,0.0731,0.685,0.883,0.131,0.197,83.741,4,study
0A8jHHS6r4XsCKq1NKLIZQ,Wibke Komi,moog me up,moog me up,49,114000,False,0.602,0.315,1,-15.164,0,0.0296,0.662,0.927,0.35,0.281,80.07,3,study
1oQt6kTiuPsQEFaHWFH6Pl,Dusty Decks,Neon Tapestries,Neon Tapestries,53,156037,False,0.657,0.155,6,-6.702,1,0.0852,0.472,0.92,0.113,0.44,162.269,4,study
2hkWgVbqRizZklKGPInc5x,Matt Large,Rare Breed,Water under the Bridge,48,207303,False,0.748,0.653,5,-6.354,0,0.0577,0.0528,0.948,0.354,0.784,81.001,4,study
4BfOkMlyoev0VEN5ClXMby,Timothy Infinite,As The Sun Rises,Morning Stretch,50,144078,False,0.705,0.501,11,-8.953,0,0.288,0.453,0.0393,0.284,0.542,166.33,4,study
55F8bO2fpwlUyFa4AFPJQa,Nathan Kawanishi,Nostalgia,Views from Yamashita Park,51,100363,False,0.706,0.253,0,-18.513,1,0.0355,0.941,0.921,0.123,0.382,110.036,4,study
0PMlGvzeLrQ27h8oGyfGMV,Breakfast For Brunch,Post It Beats Pt.1,After Surf Sandwich,52,152200,False,0.63,0.357,4,-17.251,0,0.0409,0.783,0.861,0.19,0.324,150.011,4,study
0wmr45zDNsSMy9cRgddm4E,Talented Mr Tipsy,Can We Just Vibe?,Can We Just Vibe?,48,164117,False,0.553,0.827,6,-7.83,1,0.0446,0.00993,0.844,0.173,0.821,170.021,4,study
5ueBL4PSEp7B7TInLXxhFA,kahlooa station,Late Hour,Late Hour,46,138666,False,0.721,0.557,9,-13.489,0,0.125,0.328,0.897,0.0796,0.466,90.03,4,study
0CQq9NEFcGNi3FMxpMKwj4,Clint Is Quinn,Shoreditch,Shoreditch,55,153000,False,0.636,0.105,9,-17.421,0,0.0358,0.923,0.933,0.1,0.396,79.986,4,study
06K21lIuMVgM5U8DpJTdOK,Wibke Komi,r u kiddin me?,r u kiddin me?,51,148965,False,0.592,0.458,1,-8.127,0,0.169,0.284,0.883,0.156,0.215,174.073,4,study
5vMkAdCEgGVbPqmyFR9fB8,vibe academy,frozen grapes,frozen grapes,46,95853,False,0.766,0.659,3,-11.221,1,0.0943,0.954,0.925,0.386,0.626,81.988,4,study
16N0uGSoGeW41PrPCEnh8T,Olivier Abeille,Chapman,Chapman,52,129048,False,0.586,0.295,0,-16.641,1,0.0402,0.86,0.777,0.117,0.279,68.961,4,study
2FnpKIYWlU8oPpwlT9049r,Beat Oven,Beat Soup,Beat Soup,49,111374,False,0.727,0.295,3,-10.21,0,0.077,0.402,0.887,0.0991,0.949,80.008,4,study
2LQvFDHnUiT3D612LHntIN,huglord,12 Weeks,12 Weeks,49,160941,False,0.584,0.411,11,-10.995,1,0.0355,0.84,0.853,0.112,0.249,84.986,4,study
4fWFGd70ErhNWIr3B1caod,flowtide,wandsworth park,wandsworth park,51,107578,False,0.712,0.378,10,-9.692,0,0.176,0.93,0.917,0.109,0.241,80.089,4,study
7cO2sDDjsSG6altNBcy8h6,PIÑA PINK,Rosé For Breakfast,Rosé For Breakfast,48,164810,False,0.726,0.213,10,-15.004,1,0.0489,0.973,0.909,0.683,0.14,79.027,4,study
4FTWqP9PgQ24kmVctCWREf,Dusty Decks,Solid Centre,Dust till Dawn,46,134000,False,0.747,0.571,10,-6.985,0,0.119,0.0264,0.888,0.102,0.71,89.96,4,study
7CzwNHiknbQ5p7IinDOYwU,Talented Mr Tipsy,Jukebox Dim,Jukebox Dim,45,138352,False,0.689,0.343,0,-8.091,1,0.0522,0.831,0.928,0.131,0.263,84.984,4,study
6wCnpERMZgRELDljSEDKR9,Dusty Decks,Neon Tapestries,Inlay,45,138221,False,0.737,0.184,6,-10.659,1,0.08,0.844,0.941,0.111,0.291,142.142,4,study
2LWBOPGmgxCI9awFaBN5JL,Magn Us,Common Sunflower,Common Sunflower,49,99317,False,0.799,0.484,11,-8.4,0,0.0907,0.722,0.916,0.0903,0.552,87.02,4,study
1YZkYaFUeA03AESAKkctld,Crate Diggers,The Cat's Meow,Payday,46,86000,False,0.696,0.447,11,-10.871,0,0.044,0.875,0.787,0.241,0.461,89.981,4,study
6oXmftIjSNes0BS1s4xHHI,"Sarah, the Illstrumentalist",Show me how good it can get,Show Me How Good It Can Get,48,134541,False,0.714,0.492,5,-10.133,1,0.0365,0.187,0.83,0.104,0.842,89.961,4,study
1hLOsZMo8YbNGhJG6ru7eG,Timothy Infinite,Stocking Stuffers,Shotgunning Eggnog,0,128070,False,0.881,0.56,5,-9.812,1,0.0472,0.028,0.589,0.128,0.703,138.064,4,study
6rNI8HRMEmjLcirobg2bgK,Timothy Infinite,Stocking Stuffers,Santa Is Running Late,0,116716,False,0.735,0.43,7,-6.195,1,0.0397,0.477,0.88,0.186,0.227,76.995,4,study
4N68MLgHNVhUzabC17e5Fg,Timothy Infinite,Stocking Stuffers,Christmas in Florida,0,132811,False,0.781,0.429,1,-6.074,1,0.0345,0.232,0.831,0.103,0.703,80.517,4,study
