track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
4eayV5M3F9A51EtTPHGZqU,Carlos Gardel,Selección Especial (Remastered),A Media Luz - Remastered,32,123626,False,0.525,0.412,5,-13.79,0,0.06,0.996,0.00826,0.404,0.672,82.111,3,tango
1i0bWJl0jwpbTaW8DeCjIC,Miguel Montero,Antiguo Reloj De Cobre,Antiguo Reloj De Cobre,28,156223,False,0.435,0.349,6,-12.048,0,0.0598,0.875,0.0104,0.367,0.488,90.889,4,tango
68RO16eZBKH9wfX4zs93lz,Roberto Goyeneche;Astor Piazzolla,Roberto Goyeneche - RCA Victor 100 Años,Balada para un Loco,37,266373,False,0.423,0.301,0,-11.091,1,0.263,0.928,4.89e-06,0.212,0.389,72.184,3,tango
3bedfbgxeLosvIfD5yDTMS,Aníbal Troilo,Para Bailar,Quejas de Bandoneón,31,158533,False,0.479,0.218,2,-13.826,0,0.0406,0.981,0.939,0.229,0.55,120.416,4,tango
2bR0drb2tOaznRIfOTHzwF,Amelita Baltar;Fito Paez,El Nuevo Rumbo,Chiquilín de Bachín,28,221934,False,0.383,0.251,1,-13.056,1,0.0442,0.826,0.0,0.115,0.14,78.434,4,tango
0UG3vO8vSbxSTMLOHq3bTU,Pepe Aguirre,Solo un recuerdo,La colegiala,30,114056,False,0.678,0.173,2,-12.587,0,0.05,0.992,0.00358,0.809,0.647,117.976,4,tango
7l5h0syV2VXj6hwkgIxto4,Julio Sosa,Varón (Remastered),En esta tarde gris - Remastered,33,228208,False,0.431,0.458,7,-11.941,0,0.0592,0.961,4.42e-06,0.4,0.453,115.706,4,tango
70TVb3hPKTC8oedVSibGRm,Julio Sosa,Grandes Éxitos De,Nada,31,167773,False,0.375,0.655,5,-8.603,0,0.0608,0.924,0.0,0.2,0.469,116.841,3,tango
4Jupi4tbrMAT8HriFC5xQN,Adriana Varela,Docke,Niebla del Riachuelo,29,179400,False,0.434,0.628,6,-8.91,1,0.36,0.815,0.0,0.862,0.51,87.765,3,tango
6dtdFWroDcxfNgv184UfB2,Hugo Del Carril,Marcha Peronista - Evita Capitana,Marcha Peronista,32,152215,False,0.713,0.415,5,-6.073,0,0.0459,0.913,0.966,0.0786,0.793,119.533,4,tango
3FfcNuVn1yyNkikUxm6qwW,Julio Sosa,Varón (Remastered),Qué me van a hablar de amor - Remastered,36,192815,False,0.441,0.537,5,-10.492,1,0.0759,0.945,0.0,0.607,0.673,124.381,4,tango
2phWfVk8HgVckkwpfTTcOW,Adriana Varela,Adriana Varela y Piano,Cuesta Abajo,31,224893,False,0.587,0.5,2,-7.876,1,0.142,0.868,0.0,0.793,0.562,107.359,4,tango
6KlNIHW7IOfiGYJiTM8gz3,Carlos Gardel,The Greatest Interpreter of Argentine Tempos,La Cumparsita,31,139099,False,0.681,0.209,1,-13.501,1,0.139,0.99,0.00186,0.113,0.518,117.996,1,tango
5kXkDCUSDTSSrpG21qdEI2,Julio Sosa;Orquesta de Leopoldo Federico,20 Great Tangos,Margot,28,186306,False,0.506,0.536,9,-9.75,0,0.0607,0.895,0.146,0.357,0.661,110.483,4,tango
2qy2u4LhIS8OSnnmJdvo1n,Nelly Omar,Nelly Omar - Desde el alma,Desde el alma,31,156920,False,0.534,0.456,4,-6.494,0,0.0595,0.928,4.73e-05,0.155,0.772,89.14,3,tango
