track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
2vXKRlJBXyOcvZYTdNeckS,Gesaffelstein;The Weeknd,Hyperion,Lost in the Fire (feat. The Weeknd),85,202093,True,0.658,0.671,2,-12.21,1,0.0363,0.0933,0.000927,0.115,0.166,100.966,4,techno
0b6wdul3A5sQNpIOv03OxP,Duke Dumont,Ocean Drive,Ocean Drive,72,206320,False,0.686,0.718,8,-5.054,0,0.0431,0.00637,0.000703,0.119,0.557,115.026,4,techno
0zoGVO4bQXG8U6ChKwNgeg,Taeko Onuki,MIGNONNE (Mastered by Bernie Grundman),4:00A.M.,70,336960,False,0.631,0.644,10,-10.81,0,0.0348,0.341,0.000411,0.0877,0.861,103.376,4,techno
6uBhi9gBXWjanegOb2Phh0,Zedd;Alessia Cara,Stay,Stay,76,210090,False,0.69,0.622,5,-5.025,0,0.0622,0.253,0.0,0.116,0.544,102.04,4,techno
5aUSEPNd3m5xliFK4pn5mU,Zedd;Kehlani,Good Thing (with Kehlani),Good Thing (with Kehlani),68,210901,True,0.693,0.564,1,-3.857,0,0.0378,0.399,0.0,0.0409,0.574,185.913,3,techno
1vdYudatKL5iRIM7i6vkvG,Argy,Tataki,Tataki,59,328780,False,0.826,0.401,2,-11.684,1,0.117,0.0154,0.795,0.0999,0.0561,122.017,4,techno
1elhmWW7Bv0MOQj2gAsyoV,Zedd;Maren Morris;BEAUZ,Make You Say,Make You Say,75,206000,False,0.687,0.61,8,-4.713,0,0.0499,0.351,0.0,0.175,0.649,128.15,4,techno
09IStsImFySgyp0pIQdqAc,Zedd;Maren Morris;Grey,The Middle,The Middle,80,184732,False,0.753,0.657,7,-3.061,1,0.0449,0.171,0.0,0.112,0.437,107.01,4,techno
1VSqQykTamK4ubyZV7p8Bp,Raving George;Oscar and the Wolf,You're Mine (feat. Oscar And The Wolf),You're Mine (feat. Oscar And The Wolf),57,331240,False,0.741,0.474,10,-9.362,0,0.0383,0.0392,0.411,0.0946,0.174,107.983,4,techno
2syQ0f4SAQdzvlAewPl1DJ,Zedd;Liam Payne,Get Low (with Liam Payne),Get Low (with Liam Payne),57,204583,False,0.718,0.926,1,-3.511,1,0.0494,0.027,1.76e-05,0.0513,0.54,108.018,4,techno
0B2GWovtxzsh0a02PBbNl7,Avoure,U,Aura,56,521401,False,0.684,0.604,11,-9.088,0,0.0471,0.00487,0.887,0.0456,0.364,123.0,4,techno
5YaskwnGDZFDRipaqzbwQx,ATB;Topic;A7S,Your Love (9PM),Your Love (9PM),78,150052,False,0.669,0.784,7,-5.603,1,0.112,0.194,6.28e-06,0.115,0.517,125.993,4,techno
60wwxj6Dd9NJlirf84wr2c,Zedd;Foxes,Clarity,Clarity,75,271426,False,0.509,0.781,8,-3.48,1,0.072,0.0398,0.0,0.0749,0.176,128.0,4,techno
2XWjPtKdi5sucFYtVav07d,Zedd;Katy Perry,365,365,66,181899,False,0.745,0.693,2,-5.479,0,0.034,0.339,0.0,0.123,0.248,98.039,4,techno
4b93D55xv3YCH5mT4p6HPn,Duke Dumont,Duality,Ocean Drive,70,206320,False,0.67,0.776,8,-4.091,0,0.047,0.00388,0.000184,0.122,0.624,115.034,4,techno
2ISSQPb9LHHiV6ng2NXosL,Zedd;Jon Bellion,True Colors,Beautiful Now,69,218293,False,0.628,0.833,11,-4.126,0,0.0282,0.0079,1.48e-05,0.074,0.56,128.003,4,techno
