track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
2nLeVfLE8t3hzHhXkZ6Ez2,Serhat Durmus,La Câlin,La Câlin,67,172008,False,0.598,0.439,2,-10.987,1,0.0429,0.0879,0.868,0.103,0.0673,147.84,4,turkish
1acHg5hL2dLV7Zo2tBWSj5,Lil Zey;Kozmos,Viral Şarkılar,Eskisi Gibi,0,186461,True,0.802,0.592,1,-7.495,0,0.12,0.629,0.0058,0.09,0.665,129.899,4,turkish
21monEVgRlouZOarTXChkL,Serhat Durmus,Gesi Bağları,Gesi Bağları,51,215973,False,0.59,0.46,5,-11.046,0,0.0271,0.0396,0.121,0.134,0.0392,100.987,4,turkish
1NpNY2V9pyCZW2xPbkcQaM,Serhat Durmus;Ecem Telli,Yalan,Yalan,53,201775,False,0.58,0.525,3,-10.873,0,0.0363,0.00695,0.0509,0.0759,0.0925,112.991,4,turkish
7uYyhUnxIsSF2LMWUpLs5V,Ilkay Sencan,Do It,Do It,52,210146,True,0.795,0.874,1,-3.502,1,0.0506,0.0812,0.0906,0.065,0.2,108.001,4,turkish
4a1WLOoydq7u011UG9jjC9,UZI,Kan,Krvn,66,171880,True,0.966,0.582,8,-6.225,1,0.0837,0.138,1.92e-05,0.112,0.186,115.05,4,turkish
7w749aVZCoiZZwxhMLslw5,Serhat Durmus;Mazlum Uruc,Duhan,Duhan,47,177272,False,0.42,0.681,5,-8.029,0,0.176,0.0768,0.00016,0.171,0.0898,193.928,4,turkish
294KvzBHtUO0nmbPS5uhJU,Lil Zey;Kozmos,Best Viral Tunes,Eskisi Gibi,0,186461,True,0.802,0.592,1,-7.495,0,0.12,0.629,0.0058,0.09,0.665,129.899,4,turkish
4OgwXdylh75fHfwUzJTUqg,Ilkay Sencan;Dynoro,Rockstar,Rockstar,70,212280,False,0.771,0.826,11,-3.978,1,0.0604,0.142,0.03,0.145,0.185,100.012,4,turkish
0UC22lRMZdf2dUoWMcdwwS,Serhat Durmus;BÖ,Shaman,Shaman,43,202909,False,0.629,0.679,11,-8.169,1,0.0581,0.022,0.0518,0.371,0.0989,109.841,4,turkish
4I2WkgpBY4OtFTqH2jRBqq,Serhat Durmus;Georgia Ku,My Feelings,My Feelings,61,207692,False,0.612,0.542,1,-6.916,0,0.0632,0.381,0.000565,0.0977,0.0745,129.773,4,turkish
0DMzkDvrWz7GaTNf3257uZ,Serhat Durmus,ME and U,Mirror,53,183199,False,0.476,0.473,0,-8.555,0,0.0397,0.397,7.09e-06,0.0858,0.155,76.171,4,turkish
5qYuO20KldSxvWQrJCbyM7,Serhat Durmus;Melanie Fontana,Arres,Arres,54,167625,False,0.532,0.56,2,-5.452,0,0.0275,0.246,0.000169,0.127,0.131,79.961,4,turkish
3D3mz2uMaOmxjlLp9yjW1h,Şam;No.1;Seda Erciyes,P.O.P Mixtape pt.2,POP,50,155384,False,0.682,0.532,9,-7.945,0,0.291,0.172,1.05e-06,0.0699,0.56,77.989,4,turkish
6KKskhz8aQU9uR8n1SjQFY,DJ Kantik,Our Streets,Our Streets,44,262654,False,0.812,0.598,11,-7.325,0,0.0705,0.0205,0.837,0.335,0.521,103.0,4,turkish
0uTEaevJy8TUD8MgzuEOc5,Arem Ozguc;Arman Aydin;Jordan Rys,Astronaut In The Ocean,Astronaut In The Ocean,68,156205,False,0.712,0.867,4,-5.623,0,0.0581,0.0134,0.00939,0.196,0.544,126.005,4,turkish
0RTqRMNHselkQSCxbnsGYz,Armağan Oruç,Gun Double,Gun Double,51,168638,False,0.77,0.533,1,-11.022,1,0.0885,0.0331,0.463,0.0935,0.493,95.017,4,turkish
2tE7RudE4JHwDP2TMU0jtS,DJ Kantik,Zooo,Kul,44,161382,False,0.802,0.874,3,-1.984,0,0.0542,0.217,0.761,0.116,0.495,94.983,4,turkish
2kTwN4aDpAmCLVbVWAdb6j,Tepki,Şehir Efsanesi,Lambalar Ve Kelebek,52,179483,False,0.717,0.44,8,-7.563,0,0.263,0.368,9.12e-06,0.108,0.217,83.924,4,turkish
1Btjr5d0cOIazDQC9HHyKh,Lil Zey;Rosalie.,Viral Şarkılar,80 Kere,0,159190,True,0.726,0.781,1,-6.595,0,0.0484,0.212,0.0,0.109,0.428,98.03,4,turkish
0LnT7NTyTW8hJGffRCNoy6,Khontkar,Ondan Böyleyim,Ondan Böyleyim,50,129802,True,0.653,0.585,11,-6.42,1,0.0242,0.0628,0.0,0.36,0.277,110.005,4,turkish
5BuKHYnXTIVxSV88Pewmpf,Pinhani,Çok Alıştım Sana,Çok Alıştım Sana,49,293930,False,0.459,0.329,2,-11.41,0,0.0291,0.0798,0.000286,0.082,0.369,149.956,3,turkish
2tzxyUrihN6rOy3YHIHM3m,Armağan Oruç,Plevne,Plevne,42,198673,False,0.523,0.716,11,-7.017,1,0.0499,0.305,0.737,0.321,0.542,179.989,4,turkish
3fSfUFlvKQ6E6aHSYaZYRu,Mavi,Best Viral Tunes,ama hala,0,267209,False,0.541,0.754,10,-9.565,1,0.0835,0.0116,0.196,0.0908,0.891,172.021,4,turkish
3g2TrHxAEugjJ5DtFFQBr5,Mavi,Viral Şarkılar,ama hala,0,267209,False,0.541,0.754,10,-9.565,1,0.0835,0.0116,0.196,0.0908,0.891,172.021,4,turkish
4bDt80mGRTNCH1Kg7AePVa,Lil Zey;Rosalie.,Best Viral Tunes,80 Kere,0,159190,True,0.726,0.781,1,-6.595,0,0.0484,0.212,0.0,0.109,0.428,98.03,4,turkish
5I2NN6vgWwIs76hshzIr7e,Yıldıray Gürgen,Plevne Marşı (Trap Versiyon),Plevne Marşı (Trap Versiyon),42,190566,False,0.123,0.657,6,-7.871,1,0.0637,0.00872,0.656,0.12,0.0563,171.441,4,turkish
5gfZ08BA3Oh6XaH9WHDuxg,Ayna,Bostancı Durağı,Severek Ayrılanlar,49,296866,False,0.558,0.687,11,-7.25,1,0.0369,0.293,0.0,0.104,0.298,113.037,4,turkish
1ZLExfqDJGcoZfc6l1vDws,Flört,Cemiyette Pişiyoruz,Bir Tek Sen Gelmedin,49,261373,False,0.611,0.7,9,-7.966,0,0.0302,0.00181,0.00248,0.291,0.707,145.943,4,turkish
0u9cZveZpqEwpaP5fX6UgR,Şehinşah,Denetimli Serbestlik Stili (Deluxe),Hiphop Okulu,49,210837,True,0.807,0.631,7,-8.03,1,0.338,0.171,0.0,0.271,0.748,89.983,4,turkish
2zhttCT008CWBEbQ6fuU7k,Aspova;Motive;Murgs,MATRIX (Blue),Yük Gemisi,50,172452,True,0.798,0.678,9,-8.69,1,0.306,0.076,0.0,0.144,0.339,158.944,4,turkish
3L79KPrmrGZWzjA1kPghJE,Lvbel C5,Viral Şarkılar,GELMEZSEN GELME,0,93015,True,0.76,0.555,11,-12.659,0,0.0599,0.185,0.000255,0.0916,0.269,120.003,4,turkish
1k5OoVoOdYwDrZAeqGADyv,Anıl Piyancı,Best Viral Tunes,Beraber Büyüdük,0,227691,False,0.794,0.604,1,-7.433,1,0.304,0.0326,0.0,0.353,0.343,98.048,4,turkish
