track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
5XCtjnFMKtCT7ycDwV3Kdh,Hillsong Worship;Brooke Ligertwood,What A Beautiful Name,What A Beautiful Name,66,240200,False,0.417,0.499,2,-6.364,1,0.0296,0.212,0.0,0.112,0.144,135.923,4,world-music
0fxpHpK3aw2nFWII6yveDD,Matt Redman,"10,000 Reasons (Live)","10,000 Reasons (Bless The Lord) - Live",66,342493,False,0.431,0.485,7,-8.085,1,0.0274,0.452,0.0,0.544,0.367,145.22,4,world-music
0rH0mprtecH3grD9HFM5AD,Cory Asbury,Reckless Love,Reckless Love,70,333386,False,0.572,0.685,6,-7.29,1,0.0356,0.0291,0.0,0.0963,0.232,110.698,4,world-music
1O6OPFAXdTdjHtT7Z2Hlt8,Bethel Music;Jenn Johnson,Peace,Goodness of God,61,456480,False,0.37,0.119,6,-11.513,1,0.0392,0.953,1.97e-06,0.099,0.183,110.424,4,world-music
0H4BGX7L8UfoD0g4wgXd0D,Leeland,Way Maker,Way Maker - Single Version,64,206440,False,0.468,0.655,4,-6.384,1,0.0296,0.0149,0.0,0.104,0.222,144.045,4,world-music
40lKptao1hxVqA7fd1OOGp,Chris Tomlin,And If Our God Is For Us...,Our God,63,285160,False,0.509,0.778,11,-3.608,1,0.0295,0.00998,0.0,0.19,0.216,105.066,4,world-music
6aRwLqDf1bN3lI2gMd6wXp,Passion;Kristian Stanfill,Passion: Let The Future Begin,In Christ Alone - Live,57,339493,False,0.378,0.596,5,-5.406,1,0.0323,0.0182,1.14e-05,0.144,0.172,135.968,3,world-music
1QoQC9g6R0K1SrPQifxaWB,Hillsong Worship;Brooke Ligertwood,Who You Say I Am,Who You Say I Am,56,198704,False,0.377,0.644,6,-8.139,1,0.0404,0.0041,0.0,0.089,0.299,171.908,3,world-music
4ElNxglBjcrASiGn58t9Jm,for KING & COUNTRY,Burn The Ships,God Only Knows,64,229760,False,0.597,0.417,2,-7.952,1,0.0502,0.395,8.35e-06,0.128,0.263,143.839,4,world-music
35WtFQK3iG2WPjstuuKaVc,Hillsong Worship;TAYA,No Other Name,Broken Vessels (Amazing Grace),63,568791,False,0.379,0.489,7,-7.051,1,0.0281,0.293,8.83e-06,0.721,0.0871,140.937,4,world-music
5pF1L2TboIEiZQwHekySET,Phil Wickham,Hymn of Heaven,Battle Belongs,52,287532,False,0.375,0.798,1,-5.495,1,0.0497,0.00125,0.0,0.117,0.316,161.794,4,world-music
4irEfIEfEXuaPVOYDCw5Rm,Hillsong Worship,Cornerstone (Live),I Surrender - Live,56,346346,False,0.269,0.521,5,-7.402,1,0.0338,0.023,0.00228,0.205,0.12,154.087,3,world-music
5d9RSSwDvlTyuwfmeafUah,Phil Wickham,Living Hope,Living Hope,54,327000,False,0.292,0.535,3,-6.892,1,0.0393,0.0355,0.0,0.0977,0.316,143.949,4,world-music
1gj9poFl2mLKkguqWo5Y1i,Bethel Music;Jenn Johnson,Victory (Live),Goodness of God - Live,66,296400,False,0.466,0.67,8,-4.701,1,0.0297,0.155,0.0,0.145,0.395,126.142,4,world-music
27uBwOJbW6kHsCbKGukxMK,Chris Tomlin,Love Ran Red,At The Cross (Love Ran Red),58,250626,False,0.391,0.535,8,-4.516,1,0.0291,0.00324,0.0,0.205,0.127,145.937,4,world-music
0YxrPdW9NpNFtqh7Fw0rva,Bethel Music;Jonathan David Helser;Melissa Helser,Victory (Live),Raise a Hallelujah - Live,63,470880,False,0.452,0.866,1,-4.431,1,0.04,0.0041,0.0,0.134,0.291,81.972,4,world-music
0RW1xWSPxmbXf012RN3yWl,Phil Wickham,The Ascension,This Is Amazing Grace,65,279786,False,0.512,0.814,10,-5.467,1,0.0327,0.00419,0.0,0.0991,0.277,97.996,4,world-music
0qf2iUDfPDtrLeJFmOvVn6,Bethel Music;Steffany Gretzinger,Starlight (Live),King of My Heart - Live,63,299365,False,0.438,0.529,9,-9.224,1,0.0324,0.0113,0.0,0.109,0.395,136.147,4,world-music
584GnCDcDhRV6R8iZ7gzxC,Bethel Music;Jonathan David Helser;Melissa Helser,We Will Not Be Shaken (Live),No Longer Slaves (Spontaneous) - Live,62,373691,False,0.412,0.61,10,-7.988,1,0.0379,0.177,0.000102,0.0851,0.242,148.005,4,world-music
40ozK0lCJ0EQzVGWsCNUhk,Leeland,Better Word (Live),Way Maker - Live,67,503240,False,0.432,0.524,4,-8.721,1,0.0321,0.0289,0.0,0.682,0.183,135.956,4,world-music
2UNSjAMTbEYRVgj0VscPEA,Chris Tomlin,Holy Roar,Nobody Loves Me Like You,49,266000,False,0.493,0.692,11,-5.428,1,0.0265,0.05,0.0,0.113,0.411,83.501,4,world-music
6BxW8Umq3QIbipmo2c7WYz,Hillsong Worship,No Other Name,This I Believe (The Creed),63,401759,False,0.427,0.612,0,-6.812,1,0.0309,0.0105,0.0,0.574,0.154,142.053,4,world-music
14lvgljH9T2JOhBSLBty0j,Hillsong Worship,Ultimate Worship Vol 1,Here I Am To Worship,61,220826,False,0.373,0.435,4,-6.685,1,0.029,0.352,0.0,0.128,0.176,143.868,4,world-music
0jOSpB2zK2O0SNxj8ZT5lp,Chris Tomlin,How Great Is Our God: The Essential Collection,How Great Is Our God,64,305426,False,0.318,0.573,1,-5.653,1,0.0324,0.107,0.0,0.0854,0.0765,156.054,4,world-music
1mWdyqs6Zvg8b1lKjDc8yB,Chris Tomlin,The Ultimate Playlist,Good Good Father,66,293398,False,0.429,0.587,9,-4.588,1,0.0275,0.315,0.0,0.108,0.164,145.003,3,world-music
